,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Tottenham,1,1,0,0,4,1,3,1.62,1.62,0.39,0.39,1.23,5.7,15.55,12,7,2.32
2,Bournemouth,1,1,0,0,2,0,3,0.59,0.59,0.49,0.49,0.1,11.68,6.61,3,11,1.4
3,Arsenal,1,1,0,0,2,0,3,1.44,1.44,1.21,1.21,0.23,12.68,10.25,13,8,1.56
4,Newcastle United,1,1,0,0,2,0,3,1.8599999999999999,1.8599999999999999,0.24,0.24,1.62,6.08,13.33,24,2,2.58
5,Manchester City,1,1,0,0,2,0,3,2.59,1.83,0.25,0.25,1.58,25.5,26.0,11,2,2.86
6,Chelsea,1,1,0,0,1,0,3,1.92,1.16,0.54,0.54,0.62,6.19,12.0,7,3,2.48
7,Brighton,1,1,0,0,2,1,3,1.73,1.73,1.42,1.42,0.31,9.96,10.09,5,7,1.62
8,Leeds,1,1,0,0,2,1,3,0.89,0.89,1.1,1.1,-0.21,9.29,10.65,5,9,1.16
9,Leicester,1,0,1,0,2,2,1,0.46,0.46,0.93,0.93,-0.48,17.71,22.21,5,3,0.8300000000000001
10,Liverpool,1,0,1,0,2,2,1,2.34,2.34,1.27,0.51,1.83,6.33,18.47,11,4,2.21
11,Fulham,1,0,1,0,2,2,1,1.27,0.51,2.34,2.34,-1.83,18.47,6.33,4,11,0.58
12,Brentford,1,0,1,0,2,2,1,0.93,0.93,0.46,0.46,0.48,22.21,17.71,3,5,1.82
13,Everton,1,0,0,1,0,1,0,0.54,0.54,1.92,1.16,-0.62,12.0,6.19,3,7,0.35000000000000003
14,Manchester United,1,0,0,1,1,2,0,1.42,1.42,1.73,1.73,-0.31,10.09,9.96,7,5,1.11
15,Wolverhampton Wanderers,1,0,0,1,1,2,0,1.1,1.1,0.89,0.89,0.21,10.65,9.29,9,5,1.53
16,Aston Villa,1,0,0,1,0,2,0,0.49,0.49,0.59,0.59,-0.1,6.61,11.68,11,3,1.16
17,Crystal Palace,1,0,0,1,0,2,0,1.21,1.21,1.44,1.44,-0.23,10.25,12.68,8,13,1.15
18,West Ham,1,0,0,1,0,2,0,0.25,0.25,2.59,1.83,-1.58,26.0,25.5,2,11,0.08
19,Nottingham Forest,1,0,0,1,0,2,0,0.24,0.24,1.8599999999999999,1.8599999999999999,-1.62,13.33,6.08,2,24,0.25
20,Southampton,1,0,0,1,1,4,0,0.39,0.39,1.62,1.62,-1.23,15.55,5.7,7,12,0.46
