,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Barcelona,38,29,4,5,112,29,91,113.6,99.48,34.03,33.29,66.19,5.66,13.68,570,163,94.38
2,Real Madrid,38,28,6,4,110,34,90,90.45,83.76,45.23,42.26,41.5,8.86,12.62,404,211,79.09
3,Atletico Madrid,38,28,4,6,63,18,88,54.93,53.44,27.8,27.05,26.39,8.42,8.49,261,170,72.28
4,Villarreal,38,18,10,10,44,35,64,40.49,38.26,41.63,39.4,-1.1400000000000001,9.35,8.33,188,215,52.11
5,Athletic Club,38,18,8,12,58,45,62,53.9,50.04,45.33,40.12,9.92,7.61,9.17,221,174,58.24
6,Celta Vigo,38,17,9,12,51,59,60,50.2,46.49,51.98,48.27,-1.78,6.21,9.87,321,245,53.08
7,Sevilla,38,14,10,14,51,50,52,62.97,57.77,46.09,43.86,13.91,7.88,8.35,296,216,63.64
8,Malaga,38,12,12,14,38,35,48,45.75,42.78,45.25,43.77,-0.99,7.29,7.07,196,191,53.08
9,Real Sociedad,38,13,9,16,45,48,48,47.95,47.2,48.04,42.82,4.38,7.63,8.08,185,183,52.75
10,Real Betis,38,11,12,15,34,52,45,40.11,37.14,64.39,63.65,-26.51,9.22,6.42,152,283,40.49
11,Valencia,38,11,11,16,46,48,44,50.51,46.64,61.69,58.59,-11.95,8.54,6.92,203,250,46.73
12,Las Palmas,38,12,8,18,45,53,44,38.68,34.95,59.24,56.26,-21.31,9.15,8.48,228,250,41.18
13,Eibar,38,11,10,17,49,61,43,52.92,46.84,50.58,47.45,-0.61,7.62,7.23,191,218,54.03
14,Espanyol,38,12,7,19,40,74,43,46.09,43.86,60.84,56.38,-12.52,7.97,6.89,186,219,43.15
15,Deportivo La Coruna,38,8,18,12,45,61,42,43.75,43.0,52.37,49.4,-6.4,10.25,8.42,166,240,46.08
16,Sporting Gijon,38,10,9,19,40,62,39,42.57,40.98,60.62,53.04,-12.06,10.51,6.53,132,265,40.61
17,Granada,38,10,9,19,46,69,39,41.35,36.15,62.37,58.66,-22.51,8.45,6.8100000000000005,117,268,38.5
18,Rayo Vallecano,38,9,11,18,52,73,38,52.26,49.89,65.09,58.4,-8.51,6.39,8.76,157,240,45.78
19,Getafe,38,9,9,20,37,67,36,41.77,40.29,63.35,55.78,-15.49,9.38,6.91,159,229,40.88
20,Levante,38,8,8,22,37,70,32,39.22,37.74,63.55,58.24,-20.51,9.7,7.05,169,272,37.33
