,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Barcelona,38,28,9,1,99,29,93,90.49,86.77,41.62,40.13,46.64,8.37,12.54,528,188,79.44
2,Atletico Madrid,38,23,10,5,58,22,79,50.29,46.57,35.48,32.51,14.06,9.54,9.27,257,233,61.6
3,Real Madrid,38,22,10,6,94,44,76,91.29,83.7,45.1,42.12,41.58,8.91,13.27,453,188,79.99
4,Valencia,38,22,7,9,65,38,73,57.76,51.82,47.89,44.17,7.64,10.13,8.25,234,250,58.23
5,Villarreal,38,18,7,13,57,50,61,55.67,51.95,54.24,48.29,3.66,9.11,10.81,230,257,54.96
6,Real Betis,38,18,6,14,60,61,60,46.72,44.49,49.76,46.62,-2.14,9.13,11.9,183,236,50.51
7,Sevilla,38,17,7,14,49,58,58,61.49,57.77,54.03,48.09,9.69,8.51,10.86,350,233,58.61
8,Getafe,38,15,10,13,42,33,55,49.03,39.95,39.65,36.68,3.27,9.16,5.35,189,208,57.53
9,Eibar,38,14,9,15,44,50,51,41.42,39.19,45.53,42.56,-3.36,7.33,10.69,149,168,50.79
10,Girona,38,14,9,15,50,59,51,52.1,46.15,51.6,47.89,-1.74,9.0,8.45,137,236,53.03
11,Real Sociedad,38,14,7,17,66,59,49,56.35,52.63,51.13,44.9,7.73,9.32,11.31,243,195,55.84
12,Celta Vigo,38,13,10,15,59,60,49,54.59,52.36,57.68,53.97,-1.6099999999999999,9.84,10.99,250,274,48.83
13,Espanyol,38,12,13,13,36,42,49,41.58,39.18,53.37,48.91,-9.73,10.44,8.95,175,219,44.68
14,Alaves,38,15,2,21,40,50,47,37.88,35.65,58.2,50.77,-15.12,11.2,6.44,134,277,39.03
15,Levante,38,11,13,14,44,58,46,44.2,40.49,65.12,60.66,-20.17,11.51,7.21,179,283,41.82
16,Athletic Club,38,10,13,15,41,49,43,51.79,45.84,50.71,46.25,-0.41000000000000003,8.32,9.56,208,204,54.13
17,Leganes,38,12,7,19,34,51,43,39.26,37.03,48.77,43.56,-6.54,10.16,7.04,145,186,44.58
18,Deportivo La Coruna,38,6,11,21,38,76,29,49.78,46.06,60.87,57.16,-11.1,10.28,8.66,217,277,49.16
19,Las Palmas,38,5,7,26,24,74,22,37.88,31.93,74.43,70.71,-38.78,8.66,8.59,215,230,31.05
20,Malaga,38,5,5,28,24,61,20,35.88,31.29,60.24,54.88,-23.59,9.9,7.82,122,256,35.83
