,team_id,team_name,clean_sheets
0,94,Verona,3
1,96,Lazio,11
2,98,Juventus,22
3,100,Palermo,9
4,102,Sampdoria,6
5,104,Sassuolo,10
6,106,Inter,14
7,108,Empoli,10
8,110,Fiorentina,13
9,112,Frosinone,4
10,97,Bologna,11
11,111,AC Milan,9
12,95,Roma,8
13,113,Torino,4
14,99,Udinese,5
15,105,Napoli,14
16,103,Carpi,5
17,109,Chievo,9
18,101,Genoa,9
19,107,Atalanta,10
