,clearances_per_game,dribbled_past_per_game,fouls_per_game,interceptions_per_game,offsides_won_per_game,outfielder_blocks_per_game,own_goals,player_number,tackles_per_game,Team,Year_end,Year_start
4,8.3,0.5,0.5,2.7,0.9,0.8,0.0,3817,2.2,Manchester City,2010,2009
5,2.7,0.2,0.8,1.1,0.4,0.0,0.0,6210,2.2,Manchester City,2010,2009
6,3.9,0.5,0.7,2.8,0.1,0.2,0.0,836,2.2,Manchester City,2010,2009
7,7.5,0.3,1.0,2.8,0.6,0.5,0.0,10136,2.0,Manchester City,2010,2009
8,0.8,0.6,0.3,2.0,0.0,0.3,0.0,14169,1.6,Manchester City,2010,2009
9,4.1,0.2,0.5,1.1,0.7,0.4,0.0,11669,1.5,Manchester City,2010,2009
10,8.0,1.0,0.5,1.0,1.0,2.5,0.0,831,1.5,Manchester City,2010,2009
11,7.7,0.2,0.7,2.3,0.7,0.9,0.0,8137,1.4,Manchester City,2010,2009
12,3.3,0.0,1.0,0.7,1.0,0.0,0.0,83032,1.3,Manchester City,2010,2009
13,0.9,0.6,0.4,0.9,0.1,0.3,0.0,130,1.2,Manchester City,2010,2009
14,4.0,0.5,1.3,1.5,0.3,0.3,0.0,14168,1.2,Manchester City,2010,2009
15,0.4,0.3,0.9,1.3,0.0,0.1,0.0,1982,1.1,Manchester City,2010,2009
16,0.3,0.3,0.6,1.5,0.0,0.1,0.0,14269,1.0,Manchester City,2010,2009
17,0.9,0.5,0.7,1.1,0.0,0.0,0.0,2703,1.0,Manchester City,2010,2009
18,0.1,0.5,1.2,0.5,0.0,0.0,0.0,14167,0.9,Manchester City,2010,2009
19,0.0,0.2,0.6,0.7,0.0,0.0,0.0,14247,0.8,Manchester City,2010,2009
20,1.2,0.5,1.5,0.2,0.0,0.0,1.0,6363,0.6,Manchester City,2010,2009
21,0.3,0.0,0.4,0.6,0.0,0.0,0.0,954,0.5,Manchester City,2010,2009
22,0.3,0.1,0.3,0.3,0.0,0.1,0.0,2910,0.3,Manchester City,2010,2009
23,0.0,1.0,2.0,1.0,0.0,1.0,0.0,83211,0.0,Manchester City,2010,2009
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85465,0.0,Manchester City,2010,2009
25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3987,0.0,Manchester City,2010,2009
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83394,0.0,Manchester City,2010,2009
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43073,0.0,Manchester City,2010,2009
28,0.7,0.0,0.0,0.0,0.0,0.0,0.0,31212,0.0,Manchester City,2010,2009
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22606,0.0,Manchester City,2010,2009
30,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1034,0.0,Manchester City,2010,2009
0,4.1,0.8,2.0,2.4,0.0,0.1,0.0,4092,6.0,Manchester United,2010,2009
1,6.0,0.0,1.5,2.5,0.5,0.5,0.0,31856,4.5,Manchester United,2010,2009
2,0.4,0.8,1.2,1.4,0.0,0.3,0.0,11,2.9,Manchester United,2010,2009
3,1.0,1.0,1.2,1.9,0.1,0.1,0.0,5835,2.7,Manchester United,2010,2009
4,3.3,0.8,1.1,1.9,0.1,0.4,0.0,6410,2.7,Manchester United,2010,2009
5,1.4,0.6,0.5,1.5,0.1,0.4,0.0,2115,2.3,Manchester United,2010,2009
6,9.3,0.3,1.3,2.5,0.2,1.1,0.0,9685,2.2,Manchester United,2010,2009
7,0.5,0.5,1.0,0.9,0.0,0.0,0.0,19104,2.1,Manchester United,2010,2009
8,8.0,0.4,1.1,2.6,0.7,0.4,0.0,22079,2.0,Manchester United,2010,2009
9,5.0,0.5,1.3,2.0,0.5,0.5,0.0,1019,2.0,Manchester United,2010,2009
10,2.1,0.3,0.8,0.6,0.1,0.1,0.0,3841,1.7,Manchester United,2010,2009
11,0.3,0.2,1.2,0.9,0.0,0.0,0.0,18296,1.6,Manchester United,2010,2009
12,0.5,0.4,0.4,0.7,0.0,0.0,0.0,77,1.6,Manchester United,2010,2009
13,2.5,0.3,0.9,1.5,0.0,0.2,0.0,119,1.6,Manchester United,2010,2009
14,0.2,0.5,1.3,1.0,0.0,0.1,0.0,21723,1.5,Manchester United,2010,2009
15,1.0,0.8,0.6,0.8,0.0,0.0,0.0,44031,1.4,Manchester United,2010,2009
16,0.7,0.5,0.5,0.7,0.0,0.2,0.0,30395,0.9,Manchester United,2010,2009
17,5.2,0.1,0.2,1.9,1.0,0.3,0.0,928,0.9,Manchester United,2010,2009
18,0.5,0.4,0.5,1.1,0.0,0.0,0.0,3203,0.8,Manchester United,2010,2009
19,0.3,0.3,0.8,0.4,0.0,0.0,0.0,3859,0.7,Manchester United,2010,2009
20,0.0,0.4,0.8,0.4,0.0,0.0,0.0,39308,0.6,Manchester United,2010,2009
