,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
267,Paderborn,2019,2020,34,4,8,22,37,74,20,12.0,7.0,15.0,44.0,-24.0
268,Bayern Munich,2020,2021,34,24,6,4,99,44,78,21.0,5.0,8.0,67.0,11.0
269,RasenBallsport Leipzig,2020,2021,34,19,8,7,60,32,65,20.0,8.0,6.0,67.0,-2.0
270,Borussia Dortmund,2020,2021,34,20,4,10,75,46,64,19.0,6.0,9.0,63.0,1.0
271,Wolfsburg,2020,2021,34,17,10,7,61,37,61,19.0,7.0,8.0,65.0,-4.0
272,Eintracht Frankfurt,2020,2021,34,16,12,6,69,53,60,18.0,6.0,10.0,60.0,0.0
273,Bayer Leverkusen,2020,2021,34,14,10,10,53,39,52,18.0,8.0,8.0,61.0,-9.0
274,Union Berlin,2020,2021,34,12,14,8,50,43,50,17.0,7.0,10.0,59.0,-9.0
275,Borussia M.Gladbach,2020,2021,34,13,10,11,64,56,49,17.0,6.0,11.0,57.0,-8.0
276,VfB Stuttgart,2020,2021,34,12,9,13,56,55,45,16.0,6.0,12.0,56.0,-11.0
277,Freiburg,2020,2021,34,12,9,13,52,52,45,16.0,7.0,11.0,56.0,-11.0
278,Hoffenheim,2020,2021,34,11,10,13,52,54,43,16.0,7.0,11.0,55.0,-12.0
279,Mainz 05,2020,2021,34,10,9,15,39,56,39,14.0,7.0,13.0,50.0,-11.0
280,Augsburg,2020,2021,34,10,6,18,36,54,36,14.0,8.0,12.0,50.0,-14.0
281,Hertha Berlin,2020,2021,34,8,11,15,41,52,35,15.0,7.0,12.0,52.0,-17.0
282,Arminia Bielefeld,2020,2021,34,9,8,17,26,52,35,12.0,9.0,13.0,46.0,-11.0
283,FC Cologne,2020,2021,34,8,9,17,34,60,33,13.0,8.0,13.0,47.0,-14.0
284,Werder Bremen,2020,2021,34,7,10,17,36,57,31,14.0,8.0,12.0,49.0,-18.0
285,Schalke 04,2020,2021,34,3,7,24,25,86,16,10.0,7.0,17.0,36.0,-20.0
286,Bayern Munich,2021,2022,34,24,5,5,97,37,77,21.0,6.0,7.0,71.0,6.0
287,Borussia Dortmund,2021,2022,34,22,3,9,85,52,69,19.0,5.0,10.0,63.0,6.0
288,Bayer Leverkusen,2021,2022,34,19,7,8,80,47,64,19.0,6.0,9.0,64.0,0.0
289,RasenBallsport Leipzig,2021,2022,34,17,7,10,72,37,58,20.0,7.0,7.0,67.0,-9.0
290,Union Berlin,2021,2022,34,16,9,9,50,44,57,17.0,7.0,10.0,58.0,-1.0
291,Freiburg,2021,2022,34,15,10,9,58,46,55,17.0,7.0,10.0,60.0,-5.0
292,FC Cologne,2021,2022,34,14,10,10,52,49,52,17.0,7.0,10.0,57.0,-5.0
293,Mainz 05,2021,2022,34,13,7,14,50,45,46,17.0,7.0,10.0,58.0,-12.0
294,Hoffenheim,2021,2022,34,13,7,14,58,60,46,16.0,6.0,12.0,54.0,-8.0
295,Borussia M.Gladbach,2021,2022,34,12,9,13,54,61,45,15.0,6.0,13.0,53.0,-8.0
296,Eintracht Frankfurt,2021,2022,34,10,12,12,45,49,42,16.0,7.0,11.0,55.0,-13.0
297,Wolfsburg,2021,2022,34,12,6,16,43,54,42,15.0,7.0,12.0,52.0,-10.0
298,Bochum,2021,2022,34,12,6,16,38,52,42,14.0,8.0,12.0,51.0,-9.0
299,Augsburg,2021,2022,34,10,8,16,39,56,38,14.0,7.0,13.0,50.0,-12.0
300,VfB Stuttgart,2021,2022,34,7,12,15,41,59,33,14.0,7.0,13.0,50.0,-17.0
301,Hertha Berlin,2021,2022,34,9,6,19,37,71,33,13.0,7.0,14.0,45.0,-12.0
302,Arminia Bielefeld,2021,2022,34,5,13,16,27,53,28,12.0,9.0,13.0,47.0,-19.0
303,Greuther Fuerth,2021,2022,34,3,9,22,28,82,18,11.0,7.0,16.0,39.0,-21.0
304,Barcelona,2014,2015,38,30,4,4,110,21,94,28.0,7.0,3.0,91.0,3.0
305,Real Madrid,2014,2015,38,30,2,6,118,38,92,25.0,6.0,7.0,81.0,11.0
306,Atletico Madrid,2014,2015,38,23,9,6,67,29,78,23.0,9.0,6.0,79.0,-1.0
307,Valencia,2014,2015,38,22,11,5,70,32,77,23.0,8.0,7.0,77.0,0.0
308,Sevilla,2014,2015,38,23,7,8,71,45,76,21.0,7.0,10.0,71.0,5.0
309,Villarreal,2014,2015,38,16,12,10,48,37,60,20.0,9.0,9.0,69.0,-9.0
310,Athletic Club,2014,2015,38,15,10,13,42,41,55,18.0,9.0,11.0,64.0,-9.0
311,Celta Vigo,2014,2015,38,13,12,13,47,44,51,18.0,8.0,12.0,64.0,-13.0
312,Malaga,2014,2015,38,14,8,16,42,48,50,17.0,8.0,13.0,61.0,-11.0
313,Espanyol,2014,2015,38,13,10,15,47,51,49,18.0,8.0,12.0,61.0,-12.0
314,Rayo Vallecano,2014,2015,38,15,4,19,46,68,49,16.0,7.0,15.0,54.0,-5.0
315,Real Sociedad,2014,2015,38,11,13,14,44,51,46,17.0,8.0,13.0,60.0,-14.0
316,Elche,2014,2015,38,11,8,19,35,62,41,15.0,8.0,15.0,53.0,-12.0
317,Getafe,2014,2015,38,10,7,21,33,64,37,14.0,8.0,16.0,50.0,-13.0
318,Levante,2014,2015,38,9,10,19,34,67,37,14.0,8.0,16.0,50.0,-13.0
319,Eibar,2014,2015,38,9,8,21,34,55,35,15.0,9.0,14.0,54.0,-19.0
320,Deportivo La Coruna,2014,2015,38,7,14,17,35,60,35,15.0,8.0,15.0,53.0,-18.0
321,Granada,2014,2015,38,7,14,17,29,64,35,13.0,9.0,16.0,49.0,-14.0
322,Almeria,2014,2015,38,8,8,22,35,64,32,14.0,8.0,16.0,52.0,-20.0
323,Cordoba,2014,2015,38,3,11,24,22,68,20,11.0,9.0,18.0,44.0,-24.0
324,Barcelona,2015,2016,38,29,4,5,112,29,91,26.0,7.0,5.0,85.0,6.0
325,Real Madrid,2015,2016,38,28,6,4,110,34,90,25.0,6.0,7.0,82.0,8.0
326,Atletico Madrid,2015,2016,38,28,4,6,63,18,88,25.0,10.0,3.0,87.0,1.0
327,Villarreal,2015,2016,38,18,10,10,44,35,64,20.0,9.0,9.0,69.0,-5.0
328,Athletic Club,2015,2016,38,18,8,12,58,45,62,20.0,8.0,10.0,67.0,-5.0
329,Celta Vigo,2015,2016,38,17,9,12,51,59,60,17.0,7.0,14.0,59.0,1.0
330,Sevilla,2015,2016,38,14,10,14,51,50,52,18.0,8.0,12.0,63.0,-11.0
331,Malaga,2015,2016,38,12,12,14,38,35,48,18.0,10.0,10.0,66.0,-18.0
332,Real Sociedad,2015,2016,38,13,9,16,45,48,48,18.0,8.0,12.0,61.0,-13.0
333,Real Betis,2015,2016,38,11,12,15,34,52,45,15.0,9.0,14.0,56.0,-11.0
334,Valencia,2015,2016,38,11,11,16,46,48,44,18.0,8.0,12.0,62.0,-18.0
335,Las Palmas,2015,2016,38,12,8,18,45,53,44,17.0,8.0,13.0,60.0,-16.0
336,Eibar,2015,2016,38,11,10,17,49,61,43,17.0,7.0,14.0,58.0,-15.0
337,Espanyol,2015,2016,38,12,7,19,40,74,43,14.0,7.0,17.0,51.0,-8.0
338,Deportivo La Coruna,2015,2016,38,8,18,12,45,61,42,16.0,7.0,15.0,56.0,-14.0
339,Sporting Gijon,2015,2016,38,10,9,19,40,62,39,16.0,8.0,14.0,55.0,-16.0
340,Granada,2015,2016,38,10,9,19,46,69,39,16.0,7.0,15.0,54.0,-15.0
341,Rayo Vallecano,2015,2016,38,9,11,18,52,73,38,16.0,6.0,16.0,55.0,-17.0
342,Getafe,2015,2016,38,9,9,20,37,67,36,14.0,8.0,16.0,51.0,-15.0
343,Levante,2015,2016,38,8,8,22,37,70,32,14.0,8.0,16.0,51.0,-19.0
344,Real Madrid,2016,2017,38,29,6,3,106,41,93,24.0,6.0,8.0,78.0,15.0
345,Barcelona,2016,2017,38,28,6,4,116,37,90,25.0,6.0,7.0,81.0,9.0
346,Atletico Madrid,2016,2017,38,23,9,6,70,27,78,24.0,9.0,5.0,80.0,-2.0
347,Sevilla,2016,2017,38,21,9,8,69,49,72,20.0,7.0,11.0,69.0,3.0
348,Villarreal,2016,2017,38,19,10,9,56,33,67,21.0,9.0,8.0,74.0,-7.0
349,Real Sociedad,2016,2017,38,19,7,12,59,53,64,19.0,7.0,12.0,64.0,0.0
350,Athletic Club,2016,2017,38,19,6,13,53,43,63,19.0,8.0,11.0,67.0,-4.0
351,Espanyol,2016,2017,38,15,11,12,49,50,56,18.0,8.0,12.0,62.0,-6.0
352,Alaves,2016,2017,38,14,13,11,41,43,55,18.0,9.0,11.0,63.0,-8.0
353,Eibar,2016,2017,38,15,9,14,56,51,54,19.0,7.0,12.0,64.0,-10.0
354,Malaga,2016,2017,38,12,10,16,49,55,46,17.0,8.0,13.0,60.0,-14.0
355,Valencia,2016,2017,38,13,7,18,56,65,46,17.0,7.0,14.0,59.0,-13.0
356,Celta Vigo,2016,2017,38,13,6,19,53,69,45,16.0,7.0,15.0,56.0,-11.0
357,Las Palmas,2016,2017,38,10,9,19,53,74,39,16.0,6.0,16.0,55.0,-16.0
358,Real Betis,2016,2017,38,10,9,19,41,64,39,15.0,8.0,15.0,54.0,-15.0
359,Deportivo La Coruna,2016,2017,38,8,12,18,43,61,36,16.0,7.0,15.0,56.0,-20.0
360,Leganes,2016,2017,38,8,11,19,36,55,35,16.0,8.0,14.0,56.0,-21.0
361,Sporting Gijon,2016,2017,38,7,10,21,42,72,31,15.0,7.0,16.0,52.0,-21.0
362,Osasuna,2016,2017,38,4,10,24,40,94,22,13.0,6.0,19.0,46.0,-24.0
363,Granada,2016,2017,38,4,8,26,30,82,20,12.0,8.0,18.0,44.0,-24.0
364,Barcelona,2017,2018,38,28,9,1,99,29,93,25.0,7.0,6.0,84.0,9.0
365,Atletico Madrid,2017,2018,38,23,10,5,58,22,79,24.0,10.0,4.0,82.0,-3.0
366,Real Madrid,2017,2018,38,22,10,6,94,44,76,23.0,6.0,9.0,75.0,1.0
367,Valencia,2017,2018,38,22,7,9,65,38,73,22.0,8.0,8.0,73.0,0.0
368,Villarreal,2017,2018,38,18,7,13,57,50,61,19.0,7.0,12.0,65.0,-4.0
369,Real Betis,2017,2018,38,18,6,14,60,61,60,18.0,6.0,14.0,61.0,-1.0
370,Sevilla,2017,2018,38,17,7,14,49,58,58,17.0,7.0,14.0,59.0,-1.0
371,Getafe,2017,2018,38,15,10,13,42,33,55,20.0,10.0,8.0,69.0,-14.0
372,Eibar,2017,2018,38,14,9,15,44,50,51,17.0,8.0,13.0,61.0,-10.0
373,Girona,2017,2018,38,14,9,15,50,59,51,17.0,7.0,14.0,59.0,-8.0
374,Real Sociedad,2017,2018,38,14,7,17,66,59,49,19.0,6.0,13.0,63.0,-14.0
375,Celta Vigo,2017,2018,38,13,10,15,59,60,49,18.0,7.0,13.0,61.0,-12.0
376,Espanyol,2017,2018,38,12,13,13,36,42,49,17.0,10.0,11.0,62.0,-13.0
377,Alaves,2017,2018,38,15,2,21,40,50,47,17.0,8.0,13.0,59.0,-12.0
378,Levante,2017,2018,38,11,13,14,44,58,46,17.0,8.0,13.0,58.0,-12.0
379,Athletic Club,2017,2018,38,10,13,15,41,49,43,17.0,9.0,12.0,60.0,-17.0
380,Leganes,2017,2018,38,12,7,19,34,51,43,16.0,9.0,13.0,56.0,-13.0
381,Deportivo La Coruna,2017,2018,38,6,11,21,38,76,29,14.0,7.0,17.0,49.0,-20.0
382,Las Palmas,2017,2018,38,5,7,26,24,74,22,12.0,9.0,17.0,44.0,-22.0
383,Malaga,2017,2018,38,5,5,28,24,61,20,12.0,9.0,17.0,47.0,-27.0
384,Barcelona,2018,2019,38,26,9,3,90,36,87,24.0,7.0,7.0,78.0,9.0
385,Atletico Madrid,2018,2019,38,22,10,6,55,29,76,22.0,9.0,7.0,76.0,0.0
386,Real Madrid,2018,2019,38,21,5,12,63,46,68,20.0,7.0,11.0,68.0,0.0
387,Valencia,2018,2019,38,15,16,7,51,35,61,20.0,9.0,9.0,71.0,-10.0
388,Sevilla,2018,2019,38,17,8,13,62,47,59,20.0,7.0,11.0,67.0,-8.0
389,Getafe,2018,2019,38,15,14,9,48,35,59,20.0,9.0,9.0,70.0,-11.0
390,Espanyol,2018,2019,38,14,11,13,48,50,53,18.0,8.0,12.0,62.0,-9.0
391,Athletic Club,2018,2019,38,13,14,11,41,45,53,17.0,9.0,12.0,62.0,-9.0
392,Real Sociedad,2018,2019,38,13,11,14,45,46,50,18.0,8.0,12.0,63.0,-13.0
393,Real Betis,2018,2019,38,14,8,16,44,52,50,17.0,8.0,13.0,60.0,-10.0
394,Alaves,2018,2019,38,13,11,14,39,50,50,17.0,9.0,12.0,59.0,-9.0
395,Eibar,2018,2019,38,11,14,13,46,50,47,18.0,8.0,12.0,61.0,-14.0
396,Leganes,2018,2019,38,11,12,15,37,43,45,17.0,9.0,12.0,61.0,-16.0
397,Villarreal,2018,2019,38,10,14,14,49,52,44,18.0,8.0,12.0,61.0,-17.0
398,Levante,2018,2019,38,11,11,16,59,66,44,18.0,6.0,14.0,59.0,-15.0
399,Celta Vigo,2018,2019,38,10,11,17,53,62,41,17.0,7.0,14.0,59.0,-18.0
400,Real Valladolid,2018,2019,38,10,11,17,32,51,41,15.0,9.0,14.0,55.0,-14.0
401,Girona,2018,2019,38,9,10,19,37,53,37,16.0,9.0,13.0,57.0,-20.0
402,SD Huesca,2018,2019,38,7,12,19,43,65,33,16.0,7.0,15.0,54.0,-21.0
403,Rayo Vallecano,2018,2019,38,8,8,22,41,70,32,15.0,7.0,16.0,52.0,-20.0
404,Real Madrid,2019,2020,38,26,9,3,70,25,87,24.0,9.0,5.0,82.0,5.0
405,Barcelona,2019,2020,38,25,7,6,86,38,82,23.0,7.0,8.0,77.0,5.0
406,Atletico Madrid,2019,2020,38,18,16,4,51,27,70,22.0,10.0,6.0,76.0,-6.0
407,Sevilla,2019,2020,38,19,13,6,54,34,70,21.0,9.0,8.0,72.0,-2.0
408,Villarreal,2019,2020,38,18,6,14,63,49,60,20.0,7.0,11.0,67.0,-7.0
409,Real Sociedad,2019,2020,38,16,8,14,56,48,56,19.0,7.0,12.0,65.0,-9.0
410,Granada,2019,2020,38,16,8,14,52,45,56,19.0,8.0,11.0,66.0,-10.0
411,Getafe,2019,2020,38,14,12,12,43,37,54,19.0,9.0,10.0,67.0,-13.0
412,Valencia,2019,2020,38,14,11,13,46,53,53,17.0,8.0,13.0,60.0,-7.0
413,Osasuna,2019,2020,38,13,13,12,46,54,52,17.0,8.0,13.0,60.0,-8.0
414,Athletic Club,2019,2020,38,13,12,13,41,38,51,18.0,10.0,10.0,66.0,-15.0
415,Levante,2019,2020,38,14,7,17,47,53,49,17.0,8.0,13.0,61.0,-12.0
416,Real Valladolid,2019,2020,38,9,15,14,32,43,42,16.0,10.0,12.0,59.0,-17.0
417,Eibar,2019,2020,38,11,9,18,39,56,42,16.0,8.0,14.0,56.0,-14.0
418,Real Betis,2019,2020,38,10,11,17,48,60,41,17.0,7.0,14.0,58.0,-17.0
419,Alaves,2019,2020,38,10,9,19,34,59,39,15.0,8.0,15.0,53.0,-14.0
420,Celta Vigo,2019,2020,38,7,16,15,37,49,37,16.0,9.0,13.0,58.0,-21.0
421,Leganes,2019,2020,38,8,12,18,30,51,36,15.0,10.0,13.0,54.0,-18.0
422,Mallorca,2019,2020,38,9,6,23,40,65,33,15.0,7.0,16.0,53.0,-20.0
423,Espanyol,2019,2020,38,5,10,23,27,58,25,13.0,9.0,16.0,50.0,-25.0
424,Atletico Madrid,2020,2021,38,26,8,4,67,25,86,24.0,9.0,5.0,82.0,4.0
425,Real Madrid,2020,2021,38,25,9,4,67,28,84,23.0,9.0,6.0,79.0,5.0
426,Barcelona,2020,2021,38,24,7,7,85,38,79,23.0,7.0,8.0,77.0,2.0
427,Sevilla,2020,2021,38,24,5,9,53,33,77,21.0,9.0,8.0,73.0,4.0
428,Real Sociedad,2020,2021,38,17,11,10,59,38,62,21.0,8.0,9.0,71.0,-9.0
429,Real Betis,2020,2021,38,17,10,11,50,50,61,18.0,8.0,12.0,63.0,-2.0
430,Villarreal,2020,2021,38,15,13,10,60,44,58,20.0,7.0,11.0,68.0,-10.0
431,Celta Vigo,2020,2021,38,14,11,13,55,57,53,18.0,7.0,13.0,62.0,-9.0
432,Athletic Club,2020,2021,38,11,13,14,46,42,46,19.0,9.0,10.0,65.0,-19.0
433,Granada,2020,2021,38,13,7,18,47,65,46,16.0,7.0,15.0,56.0,-10.0
434,Osasuna,2020,2021,38,11,11,16,37,48,44,16.0,9.0,13.0,58.0,-14.0
435,Cadiz,2020,2021,38,11,11,16,36,58,44,15.0,8.0,15.0,55.0,-11.0
436,Valencia,2020,2021,38,10,13,15,50,53,43,18.0,8.0,12.0,62.0,-19.0
437,Levante,2020,2021,38,9,14,15,46,57,41,17.0,8.0,13.0,59.0,-18.0
438,Getafe,2020,2021,38,9,11,18,28,43,38,15.0,11.0,12.0,57.0,-19.0
439,Alaves,2020,2021,38,9,11,18,36,57,38,15.0,8.0,15.0,55.0,-17.0
440,Elche,2020,2021,38,8,12,18,34,55,36,15.0,9.0,14.0,54.0,-18.0
441,SD Huesca,2020,2021,38,7,13,18,34,53,34,15.0,9.0,14.0,56.0,-22.0
442,Real Valladolid,2020,2021,38,5,16,17,34,57,31,15.0,9.0,14.0,54.0,-23.0
443,Eibar,2020,2021,38,6,12,20,29,52,30,14.0,10.0,14.0,53.0,-23.0
444,Real Madrid,2021,2022,38,26,8,4,80,31,86,24.0,8.0,6.0,80.0,6.0
445,Barcelona,2021,2022,38,21,10,7,68,38,73,22.0,8.0,8.0,73.0,0.0
446,Atletico Madrid,2021,2022,38,21,8,9,65,43,71,21.0,7.0,10.0,70.0,1.0
447,Sevilla,2021,2022,38,18,16,4,53,30,70,22.0,9.0,7.0,74.0,-4.0
448,Real Betis,2021,2022,38,19,8,11,62,40,65,21.0,8.0,9.0,70.0,-5.0
449,Real Sociedad,2021,2022,38,17,11,10,40,37,62,19.0,10.0,9.0,66.0,-4.0
450,Villarreal,2021,2022,38,16,11,11,63,37,59,22.0,8.0,8.0,73.0,-14.0
451,Athletic Club,2021,2022,38,14,13,11,43,36,55,19.0,9.0,10.0,67.0,-12.0
452,Valencia,2021,2022,38,11,15,12,48,53,48,18.0,8.0,12.0,61.0,-13.0
453,Osasuna,2021,2022,38,12,11,15,37,51,47,16.0,9.0,13.0,57.0,-10.0
454,Celta Vigo,2021,2022,38,12,10,16,43,43,46,18.0,9.0,11.0,64.0,-18.0
455,Rayo Vallecano,2021,2022,38,11,9,18,39,50,42,17.0,9.0,12.0,59.0,-17.0
456,Elche,2021,2022,38,11,9,18,40,52,42,16.0,8.0,14.0,58.0,-16.0
457,Espanyol,2021,2022,38,10,12,16,40,53,42,16.0,8.0,14.0,58.0,-16.0
458,Getafe,2021,2022,38,8,15,15,33,41,39,17.0,10.0,11.0,61.0,-22.0
459,Cadiz,2021,2022,38,8,15,15,35,51,39,16.0,9.0,13.0,57.0,-18.0
460,Mallorca,2021,2022,38,10,9,19,36,63,39,15.0,8.0,15.0,53.0,-14.0
461,Granada,2021,2022,38,8,14,16,44,61,38,16.0,7.0,15.0,56.0,-18.0
462,Levante,2021,2022,38,8,11,19,51,76,35,16.0,6.0,16.0,54.0,-19.0
463,Alaves,2021,2022,38,8,7,23,31,65,31,14.0,8.0,16.0,49.0,-18.0
464,Paris Saint Germain,2014,2015,38,24,11,3,83,36,83,23.0,7.0,8.0,77.0,6.0
465,Lyon,2014,2015,38,22,9,7,72,33,75,23.0,8.0,7.0,77.0,-2.0
466,Monaco,2014,2015,38,20,11,7,51,26,71,22.0,10.0,6.0,77.0,-6.0
467,Marseille,2014,2015,38,21,6,11,76,42,69,22.0,7.0,9.0,73.0,-4.0
468,Saint-Etienne,2014,2015,38,19,12,7,51,30,69,21.0,10.0,7.0,74.0,-5.0
469,Bordeaux,2014,2015,38,17,12,9,47,44,63,18.0,8.0,12.0,64.0,-1.0
470,Montpellier,2014,2015,38,16,8,14,46,39,56,19.0,9.0,10.0,67.0,-11.0
471,Lille,2014,2015,38,16,8,14,43,42,56,18.0,9.0,11.0,64.0,-8.0
472,Rennes,2014,2015,38,13,11,14,35,42,50,17.0,10.0,11.0,61.0,-11.0
473,Guingamp,2014,2015,38,15,4,19,41,55,49,16.0,8.0,14.0,57.0,-8.0
474,Nice,2014,2015,38,13,9,16,44,53,48,17.0,8.0,13.0,60.0,-12.0
475,SC Bastia,2014,2015,38,12,11,15,37,46,47,17.0,9.0,12.0,60.0,-13.0
476,Caen,2014,2015,38,12,10,16,54,55,46,18.0,7.0,13.0,62.0,-16.0
477,Nantes,2014,2015,38,11,12,15,29,40,45,16.0,11.0,11.0,59.0,-14.0
478,Reims,2014,2015,38,12,8,18,47,66,44,16.0,7.0,15.0,56.0,-12.0
479,Lorient,2014,2015,38,12,7,19,44,50,43,17.0,8.0,13.0,61.0,-18.0
480,Toulouse,2014,2015,38,12,6,20,43,64,42,16.0,7.0,15.0,55.0,-13.0
481,Evian Thonon Gaillard,2014,2015,38,11,4,23,41,62,37,16.0,8.0,14.0,55.0,-18.0
482,Metz,2014,2015,38,7,9,22,31,61,30,14.0,9.0,15.0,51.0,-21.0
483,Lens,2014,2015,38,7,8,23,32,61,29,14.0,8.0,16.0,51.0,-22.0
484,Paris Saint Germain,2015,2016,38,30,6,2,102,19,96,28.0,8.0,2.0,91.0,5.0
485,Lyon,2015,2016,38,19,8,11,67,43,65,21.0,7.0,10.0,70.0,-5.0
486,Monaco,2015,2016,38,17,14,7,57,50,65,19.0,7.0,12.0,65.0,0.0
487,Nice,2015,2016,38,18,9,11,58,41,63,20.0,8.0,10.0,69.0,-6.0
488,Lille,2015,2016,38,15,15,8,39,27,60,20.0,11.0,7.0,72.0,-12.0
489,Saint-Etienne,2015,2016,38,17,7,14,42,37,58,19.0,10.0,9.0,67.0,-9.0
490,Caen,2015,2016,38,16,6,16,39,52,54,16.0,8.0,14.0,58.0,-4.0
491,Rennes,2015,2016,38,13,13,12,52,54,52,18.0,7.0,13.0,62.0,-10.0
492,Angers,2015,2016,38,13,11,14,40,38,50,18.0,10.0,10.0,66.0,-16.0
493,SC Bastia,2015,2016,38,14,8,16,36,42,50,17.0,10.0,11.0,62.0,-12.0
494,Bordeaux,2015,2016,38,12,14,12,50,57,50,17.0,7.0,14.0,60.0,-10.0
495,Montpellier,2015,2016,38,14,7,17,49,47,49,18.0,8.0,12.0,63.0,-14.0
496,Marseille,2015,2016,38,10,18,10,48,42,48,19.0,8.0,11.0,66.0,-18.0
497,Nantes,2015,2016,38,12,12,14,33,44,48,16.0,10.0,12.0,59.0,-11.0
498,Lorient,2015,2016,38,11,13,14,47,58,46,17.0,7.0,14.0,59.0,-13.0
499,Guingamp,2015,2016,38,11,11,16,47,56,44,17.0,8.0,13.0,59.0,-15.0
500,Toulouse,2015,2016,38,9,13,16,45,55,40,17.0,8.0,13.0,59.0,-19.0
501,Reims,2015,2016,38,10,9,19,44,57,39,17.0,8.0,13.0,58.0,-19.0
502,GFC Ajaccio,2015,2016,38,8,13,17,37,58,37,15.0,8.0,15.0,55.0,-18.0
503,Troyes,2015,2016,38,3,9,26,28,83,18,12.0,8.0,18.0,43.0,-25.0
504,Monaco,2016,2017,38,30,5,3,107,31,95,25.0,7.0,6.0,83.0,12.0
505,Paris Saint Germain,2016,2017,38,27,6,5,83,27,87,25.0,8.0,5.0,83.0,4.0
506,Nice,2016,2017,38,22,12,4,63,36,78,22.0,8.0,8.0,73.0,5.0
507,Lyon,2016,2017,38,21,4,13,80,48,67,21.0,6.0,11.0,71.0,-4.0
508,Marseille,2016,2017,38,17,11,10,57,41,62,20.0,8.0,10.0,69.0,-7.0
509,Bordeaux,2016,2017,38,15,14,9,53,43,59,19.0,8.0,11.0,67.0,-8.0
510,Nantes,2016,2017,38,14,9,15,40,54,51,16.0,8.0,14.0,58.0,-7.0
511,Saint-Etienne,2016,2017,38,12,14,12,41,42,50,18.0,9.0,11.0,63.0,-13.0
512,Rennes,2016,2017,38,12,14,12,36,42,50,17.0,10.0,11.0,62.0,-12.0
513,Guingamp,2016,2017,38,14,8,16,46,53,50,17.0,8.0,13.0,60.0,-10.0
514,Lille,2016,2017,38,13,7,18,40,47,46,17.0,9.0,12.0,61.0,-15.0
515,Angers,2016,2017,38,13,7,18,40,49,46,17.0,9.0,12.0,60.0,-14.0
516,Toulouse,2016,2017,38,10,14,14,37,41,44,17.0,10.0,11.0,62.0,-18.0
517,Metz,2016,2017,38,11,10,17,39,72,43,14.0,7.0,17.0,51.0,-8.0
518,Montpellier,2016,2017,38,10,9,19,48,66,39,16.0,7.0,15.0,56.0,-17.0
519,Dijon,2016,2017,38,8,13,17,46,58,37,17.0,8.0,13.0,58.0,-21.0
520,Caen,2016,2017,38,10,7,21,36,65,37,14.0,8.0,16.0,52.0,-15.0
521,Lorient,2016,2017,38,10,6,22,44,70,36,15.0,7.0,16.0,54.0,-18.0
522,Nancy,2016,2017,38,9,8,21,29,52,35,14.0,10.0,14.0,53.0,-18.0
523,SC Bastia,2016,2017,38,8,10,20,29,57,34,14.0,9.0,15.0,51.0,-17.0
524,Paris Saint Germain,2017,2018,38,29,6,3,108,29,93,26.0,7.0,5.0,85.0,8.0
525,Monaco,2017,2018,38,24,8,6,85,45,80,22.0,6.0,10.0,73.0,7.0
526,Lyon,2017,2018,38,23,9,6,87,43,78,22.0,6.0,10.0,74.0,4.0
527,Marseille,2017,2018,38,22,11,5,80,47,77,21.0,6.0,11.0,71.0,6.0
528,Rennes,2017,2018,38,16,10,12,50,44,58,19.0,8.0,11.0,65.0,-7.0
529,Bordeaux,2017,2018,38,16,7,15,53,48,55,19.0,8.0,11.0,64.0,-9.0
530,Saint-Etienne,2017,2018,38,15,10,13,47,50,55,18.0,8.0,12.0,62.0,-7.0
531,Nice,2017,2018,38,15,9,14,53,52,54,18.0,7.0,13.0,62.0,-8.0
532,Nantes,2017,2018,38,14,10,14,36,41,52,17.0,10.0,11.0,62.0,-10.0
533,Montpellier,2017,2018,38,11,18,9,36,33,51,19.0,11.0,8.0,67.0,-16.0
534,Dijon,2017,2018,38,13,9,16,55,73,48,16.0,6.0,16.0,56.0,-8.0
535,Guingamp,2017,2018,38,12,11,15,48,59,47,17.0,7.0,14.0,59.0,-12.0
536,Amiens,2017,2018,38,12,9,17,37,42,45,17.0,10.0,11.0,62.0,-17.0
537,Angers,2017,2018,38,9,14,15,42,52,41,17.0,8.0,13.0,59.0,-18.0
538,Strasbourg,2017,2018,38,9,11,18,44,67,38,16.0,7.0,15.0,54.0,-16.0
539,Caen,2017,2018,38,10,8,20,27,52,38,14.0,10.0,14.0,52.0,-14.0
540,Lille,2017,2018,38,10,8,20,41,67,38,15.0,7.0,16.0,53.0,-15.0
541,Toulouse,2017,2018,38,9,10,19,38,54,37,16.0,8.0,14.0,57.0,-20.0
542,Troyes,2017,2018,38,9,6,23,32,59,33,14.0,9.0,15.0,52.0,-19.0
543,Metz,2017,2018,38,6,8,24,34,76,26,13.0,7.0,18.0,47.0,-21.0
544,Paris Saint Germain,2018,2019,38,29,4,5,105,35,91,25.0,6.0,7.0,81.0,10.0
545,Lille,2018,2019,38,22,9,7,68,33,75,23.0,8.0,7.0,77.0,-2.0
546,Lyon,2018,2019,38,21,9,8,70,47,72,21.0,7.0,10.0,69.0,3.0
547,Saint-Etienne,2018,2019,38,19,9,10,59,41,66,20.0,8.0,10.0,70.0,-4.0
