,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
63,Liverpool,2017,2018,38,21,12,5,84,38,75,23.0,7.0,8.0,76.0,-1.0
64,Chelsea,2017,2018,38,21,7,10,62,38,70,21.0,8.0,9.0,72.0,-2.0
65,Arsenal,2017,2018,38,19,6,13,74,51,63,20.0,6.0,12.0,68.0,-5.0
66,Burnley,2017,2018,38,14,12,12,36,39,54,18.0,10.0,10.0,63.0,-9.0
67,Everton,2017,2018,38,13,10,15,44,58,49,17.0,8.0,13.0,58.0,-9.0
68,Leicester,2017,2018,38,12,11,15,56,60,47,18.0,7.0,13.0,60.0,-13.0
69,Newcastle United,2017,2018,38,12,8,18,39,47,44,17.0,9.0,12.0,60.0,-16.0
70,Crystal Palace,2017,2018,38,11,11,16,45,55,44,17.0,8.0,13.0,59.0,-15.0
71,Bournemouth,2017,2018,38,11,11,16,45,61,44,16.0,7.0,15.0,56.0,-12.0
72,West Ham,2017,2018,38,10,12,16,48,68,42,16.0,7.0,15.0,55.0,-13.0
73,Watford,2017,2018,38,11,8,19,44,64,41,16.0,7.0,15.0,55.0,-14.0
74,Brighton,2017,2018,38,9,13,16,34,54,40,15.0,9.0,14.0,55.0,-15.0
75,Huddersfield,2017,2018,38,9,10,19,28,58,37,14.0,9.0,15.0,51.0,-14.0
76,Southampton,2017,2018,38,7,15,16,37,56,36,15.0,8.0,15.0,55.0,-19.0
77,Swansea,2017,2018,38,8,9,21,28,56,33,14.0,9.0,15.0,51.0,-18.0
78,Stoke,2017,2018,38,7,12,19,35,68,33,14.0,8.0,16.0,50.0,-17.0
79,West Bromwich Albion,2017,2018,38,6,13,19,31,56,31,14.0,9.0,15.0,53.0,-22.0
80,Manchester City,2018,2019,38,32,2,4,95,23,98,26.0,8.0,4.0,87.0,11.0
81,Liverpool,2018,2019,38,30,7,1,89,22,97,26.0,8.0,4.0,87.0,10.0
82,Chelsea,2018,2019,38,21,9,8,63,39,72,21.0,8.0,9.0,71.0,1.0
83,Tottenham,2018,2019,38,23,2,13,67,39,71,21.0,8.0,9.0,72.0,-1.0
84,Arsenal,2018,2019,38,21,7,10,73,51,70,20.0,6.0,12.0,68.0,2.0
85,Manchester United,2018,2019,38,19,9,10,65,54,66,19.0,7.0,12.0,65.0,1.0
86,Wolverhampton Wanderers,2018,2019,38,16,9,13,47,46,57,18.0,8.0,12.0,64.0,-7.0
87,Everton,2018,2019,38,15,9,14,54,46,54,19.0,8.0,11.0,66.0,-12.0
88,Leicester,2018,2019,38,15,7,16,51,48,52,18.0,8.0,12.0,64.0,-12.0
89,West Ham,2018,2019,38,15,7,16,52,55,52,18.0,7.0,13.0,61.0,-9.0
90,Watford,2018,2019,38,14,8,16,52,59,50,17.0,7.0,14.0,60.0,-10.0
91,Crystal Palace,2018,2019,38,14,7,17,51,53,49,18.0,8.0,12.0,62.0,-13.0
92,Newcastle United,2018,2019,38,12,9,17,42,48,45,17.0,8.0,13.0,61.0,-16.0
93,Bournemouth,2018,2019,38,13,6,19,56,70,45,17.0,6.0,15.0,57.0,-12.0
94,Burnley,2018,2019,38,11,7,20,45,68,40,15.0,7.0,16.0,54.0,-14.0
95,Southampton,2018,2019,38,9,12,17,45,65,39,16.0,7.0,15.0,55.0,-16.0
96,Brighton,2018,2019,38,9,9,20,35,60,36,15.0,8.0,15.0,53.0,-17.0
97,Cardiff,2018,2019,38,10,4,24,34,69,34,14.0,8.0,16.0,49.0,-15.0
98,Fulham,2018,2019,38,7,5,26,34,81,26,13.0,7.0,18.0,46.0,-20.0
99,Huddersfield,2018,2019,38,3,7,28,22,76,16,11.0,9.0,18.0,41.0,-25.0
100,Liverpool,2019,2020,38,32,3,3,85,33,99,24.0,7.0,7.0,80.0,19.0
101,Manchester City,2019,2020,38,26,3,9,102,35,81,25.0,6.0,7.0,80.0,1.0
102,Manchester United,2019,2020,38,18,12,8,66,36,66,22.0,8.0,8.0,74.0,-8.0
103,Chelsea,2019,2020,38,20,6,12,69,54,66,20.0,6.0,12.0,66.0,0.0
104,Leicester,2019,2020,38,18,8,12,67,41,62,21.0,7.0,10.0,72.0,-10.0
105,Tottenham,2019,2020,38,16,11,11,61,47,59,20.0,7.0,11.0,67.0,-8.0
106,Wolverhampton Wanderers,2019,2020,38,15,14,9,51,40,59,20.0,8.0,10.0,68.0,-9.0
107,Arsenal,2019,2020,38,14,14,10,56,48,56,19.0,7.0,12.0,65.0,-9.0
108,Sheffield United,2019,2020,38,14,12,12,39,39,54,18.0,10.0,10.0,64.0,-10.0
109,Burnley,2019,2020,38,15,9,14,43,50,54,17.0,8.0,13.0,60.0,-6.0
110,Southampton,2019,2020,38,15,7,16,51,60,52,17.0,7.0,14.0,59.0,-7.0
111,Everton,2019,2020,38,13,10,15,44,56,49,17.0,8.0,13.0,58.0,-9.0
112,Newcastle United,2019,2020,38,11,11,16,38,58,44,15.0,8.0,15.0,55.0,-11.0
113,Crystal Palace,2019,2020,38,11,10,17,31,50,43,15.0,9.0,14.0,55.0,-12.0
114,Brighton,2019,2020,38,9,14,15,39,54,41,16.0,8.0,14.0,57.0,-16.0
115,West Ham,2019,2020,38,10,9,19,49,62,39,17.0,7.0,14.0,58.0,-19.0
116,Aston Villa,2019,2020,38,9,8,21,41,67,35,15.0,7.0,16.0,53.0,-18.0
117,Bournemouth,2019,2020,38,9,7,22,40,65,34,15.0,7.0,16.0,53.0,-19.0
118,Watford,2019,2020,38,8,10,20,36,64,34,15.0,8.0,15.0,52.0,-18.0
119,Norwich,2019,2020,38,5,6,27,26,75,21,12.0,8.0,18.0,44.0,-23.0
120,Manchester City,2020,2021,38,27,5,6,83,32,86,24.0,7.0,7.0,79.0,7.0
121,Manchester United,2020,2021,38,21,11,6,73,44,74,21.0,7.0,10.0,71.0,3.0
122,Liverpool,2020,2021,38,20,9,9,68,42,69,21.0,7.0,10.0,71.0,-2.0
123,Chelsea,2020,2021,38,19,10,9,58,36,67,21.0,8.0,9.0,72.0,-5.0
124,Leicester,2020,2021,38,20,6,12,68,50,66,20.0,7.0,11.0,68.0,-2.0
125,West Ham,2020,2021,38,19,8,11,62,47,65,20.0,7.0,11.0,67.0,-2.0
126,Tottenham,2020,2021,38,18,8,12,68,45,62,21.0,7.0,10.0,70.0,-8.0
127,Arsenal,2020,2021,38,18,7,13,55,39,61,20.0,8.0,10.0,69.0,-8.0
128,Leeds,2020,2021,38,18,5,15,62,54,59,19.0,7.0,12.0,64.0,-5.0
129,Everton,2020,2021,38,17,8,13,47,48,59,18.0,8.0,12.0,62.0,-3.0
130,Aston Villa,2020,2021,38,16,7,15,55,46,55,19.0,8.0,11.0,66.0,-11.0
131,Newcastle United,2020,2021,38,12,9,17,46,62,45,16.0,7.0,15.0,57.0,-12.0
132,Wolverhampton Wanderers,2020,2021,38,12,9,17,36,52,45,16.0,9.0,13.0,57.0,-12.0
133,Crystal Palace,2020,2021,38,12,8,18,41,66,44,15.0,7.0,16.0,53.0,-9.0
134,Southampton,2020,2021,38,12,7,19,47,68,43,16.0,7.0,15.0,55.0,-12.0
135,Brighton,2020,2021,38,9,14,15,40,46,41,17.0,9.0,12.0,61.0,-20.0
136,Burnley,2020,2021,38,10,9,19,33,55,39,15.0,9.0,14.0,54.0,-15.0
137,Fulham,2020,2021,38,5,13,20,27,53,28,14.0,10.0,14.0,52.0,-24.0
138,West Bromwich Albion,2020,2021,38,5,11,22,35,76,26,13.0,7.0,18.0,48.0,-22.0
139,Sheffield United,2020,2021,38,7,2,29,20,63,23,11.0,10.0,17.0,44.0,-21.0
140,Manchester City,2021,2022,38,29,6,3,99,26,93,26.0,7.0,5.0,86.0,7.0
141,Liverpool,2021,2022,38,28,8,2,94,26,92,26.0,7.0,5.0,85.0,7.0
142,Chelsea,2021,2022,38,21,11,6,76,33,74,23.0,8.0,7.0,78.0,-4.0
143,Tottenham,2021,2022,38,22,5,11,69,40,71,22.0,7.0,9.0,72.0,-1.0
144,Arsenal,2021,2022,38,22,3,13,61,48,69,20.0,7.0,11.0,67.0,2.0
145,Manchester United,2021,2022,38,16,10,12,57,57,58,18.0,7.0,13.0,62.0,-4.0
146,West Ham,2021,2022,38,16,8,14,60,51,56,19.0,7.0,12.0,65.0,-9.0
147,Leicester,2021,2022,38,14,10,14,62,59,52,18.0,7.0,13.0,62.0,-10.0
148,Brighton,2021,2022,38,12,15,11,42,44,51,18.0,9.0,11.0,62.0,-11.0
149,Wolverhampton Wanderers,2021,2022,38,15,6,17,38,43,51,17.0,9.0,12.0,62.0,-11.0
150,Newcastle United,2021,2022,38,13,10,15,44,62,49,16.0,7.0,15.0,56.0,-7.0
151,Crystal Palace,2021,2022,38,11,15,12,50,46,48,19.0,8.0,11.0,64.0,-16.0
152,Brentford,2021,2022,38,13,7,18,48,56,46,17.0,7.0,14.0,60.0,-14.0
153,Aston Villa,2021,2022,38,13,6,19,52,54,45,18.0,7.0,13.0,62.0,-17.0
154,Southampton,2021,2022,38,9,13,16,43,67,40,15.0,7.0,16.0,54.0,-14.0
155,Everton,2021,2022,38,11,6,21,43,66,39,16.0,7.0,15.0,54.0,-15.0
156,Leeds,2021,2022,38,9,11,18,42,79,38,14.0,7.0,17.0,50.0,-12.0
157,Burnley,2021,2022,38,7,14,17,34,53,35,15.0,9.0,14.0,56.0,-21.0
158,Watford,2021,2022,38,6,5,27,34,77,23,13.0,7.0,18.0,47.0,-24.0
159,Norwich,2021,2022,38,5,7,26,23,84,22,10.0,8.0,20.0,40.0,-18.0
160,Bayern Munich,2014,2015,34,25,4,5,80,18,79,24.0,8.0,2.0,80.0,-1.0
161,Wolfsburg,2014,2015,34,20,9,5,72,38,69,20.0,7.0,7.0,66.0,3.0
162,Borussia M.Gladbach,2014,2015,34,19,9,6,53,26,66,20.0,9.0,5.0,69.0,-3.0
