,Year_end,Year_start,D,DC,G,GA,L,M,NPxG,NPxGA,NPxGD,ODC,OPPDA,PPDA,PTS,W,xG,xGA,Team,League
14,2017,2016,7,164,44,55,17,34,37.06,40.2,-3.14,189,6.89,8.55,37,10,42.36,43.23,Mainz 05,bundesliga
15,2017,2016,7,168,34,52,17,34,42.19,43.06,-0.87,174,9.78,10.16,37,10,44.47,46.85,Wolfsburg,bundesliga
16,2017,2016,8,224,36,57,18,34,38.45,43.1,-4.65,177,6.64,7.8,32,8,44.51,49.19,Ingolstadt,bundesliga
17,2017,2016,4,129,28,63,23,34,28.6,61.98,-33.37,292,6.67,12.91,25,7,33.91,68.04,Darmstadt,bundesliga
0,2018,2017,3,375,92,28,4,34,70.49,27.32,43.17,117,18.33,7.79,84,27,76.55,30.64,Bayern Munich,bundesliga
1,2018,2017,9,150,53,37,7,34,39.25,34.86,4.39,168,8.93,8.99,63,18,46.83,39.42,Schalke 04,bundesliga
2,2018,2017,10,251,66,48,9,34,46.78,42.16,4.62,202,10.83,10.71,55,15,50.72,45.2,Hoffenheim,bundesliga
3,2018,2017,10,289,64,47,9,34,61.55,38.58,22.97,172,13.34,7.48,55,15,66.1,40.86,Borussia Dortmund,bundesliga
4,2018,2017,10,274,58,44,9,34,53.19,32.37,20.82,171,10.22,9.31,55,15,56.98,36.92,Bayer Leverkusen,bundesliga
5,2018,2017,8,259,57,53,11,34,47.63,43.63,4.0,183,9.39,7.68,53,15,51.42,47.42,RasenBallsport Leipzig,bundesliga
6,2018,2017,6,148,36,36,13,34,35.64,34.8,0.8300000000000001,204,10.49,10.93,51,15,37.91,39.35,VfB Stuttgart,bundesliga
7,2018,2017,7,193,45,45,13,34,39.54,38.64,0.91,160,9.5,9.12,49,14,41.06,40.91,Eintracht Frankfurt,bundesliga
8,2018,2017,8,209,47,52,13,34,45.94,49.06,-3.11,250,11.09,10.6,47,13,51.25,52.09,Borussia M.Gladbach,bundesliga
9,2018,2017,13,115,43,46,11,34,34.79,39.41,-4.62,227,9.82,11.85,43,10,38.58,44.71,Hertha Berlin,bundesliga
10,2018,2017,12,186,37,40,12,34,38.51,40.25,-1.74,195,9.62,10.95,42,10,38.51,43.47,Werder Bremen,bundesliga
11,2018,2017,11,154,43,46,13,34,39.23,38.54,0.6900000000000001,228,8.63,10.21,41,10,42.26,40.82,Augsburg,bundesliga
12,2018,2017,9,174,44,54,15,34,37.29,51.33,-14.04,224,8.1,10.32,39,10,41.22,54.36,Hannover 96,bundesliga
13,2018,2017,9,147,38,52,16,34,28.62,39.88,-11.26,223,7.28,10.19,36,9,31.65,45.18,Mainz 05,bundesliga
14,2018,2017,12,165,32,56,14,34,29.4,41.87,-12.47,204,8.52,12.11,36,8,36.98,45.66,Freiburg,bundesliga
15,2018,2017,15,139,36,48,13,34,27.36,42.46,-15.1,237,9.75,12.39,33,6,32.11,49.43,Wolfsburg,bundesliga
16,2018,2017,7,190,29,53,19,34,32.1,51.03,-18.92,216,7.88,8.49,31,8,36.04,54.06,Hamburger SV,bundesliga
17,2018,2017,7,208,35,70,22,34,39.23,60.35,-21.12,245,9.72,11.38,22,5,41.5,67.17,FC Cologne,bundesliga
0,2019,2018,6,435,88,32,4,34,89.21,22.87,66.34,89,22.59,8.16,78,24,92.24,27.41,Bayern Munich,bundesliga
1,2019,2018,7,268,81,44,4,34,61.96,39.09,22.88,159,14.03,13.42,76,23,64.99,42.88,Borussia Dortmund,bundesliga
2,2019,2018,9,245,63,29,6,34,62.94,35.11,27.84,160,9.27,9.77,66,19,68.25,39.65,RasenBallsport Leipzig,bundesliga
3,2019,2018,4,288,69,52,12,34,57.7,41.16,16.54,165,14.16,9.39,58,18,61.49,45.71,Bayer Leverkusen,bundesliga
4,2019,2018,7,237,55,42,11,34,49.52,50.6,-1.08,227,16.59,15.15,55,16,54.93,52.87,Borussia M.Gladbach,bundesliga
5,2019,2018,7,181,62,50,11,34,45.7,45.19,0.51,182,12.18,9.47,55,16,49.49,49.84,Wolfsburg,bundesliga
6,2019,2018,9,178,60,48,10,34,58.81,50.26,8.55,217,10.12,10.52,54,15,61.84,51.02,Eintracht Frankfurt,bundesliga
7,2019,2018,11,233,58,49,9,34,46.33,52.92,-6.59,206,13.62,10.86,53,14,49.36,56.71,Werder Bremen,bundesliga
8,2019,2018,12,308,70,52,9,34,74.65,47.98,26.67,239,12.53,8.72,51,13,79.95,53.29,Hoffenheim,bundesliga
9,2019,2018,5,163,49,65,16,34,44.17,57.76,-13.59,223,9.48,15.67,44,13,49.47,63.06,Fortuna Duesseldorf,bundesliga
10,2019,2018,10,194,49,57,13,34,47.49,57.04,-9.55,252,11.21,11.2,43,11,50.52,61.58,Hertha Berlin,bundesliga
11,2019,2018,7,211,46,57,15,34,46.94,59.77,-12.83,244,9.65,12.68,43,12,49.21,62.8,Mainz 05,bundesliga
12,2019,2018,12,141,46,61,14,34,36.58,56.12,-19.54,249,10.06,13.87,36,8,41.23,61.43,Freiburg,bundesliga
13,2019,2018,9,168,37,55,17,34,39.8,47.39,-7.59,184,8.61,11.05,33,8,46.62,51.94,Schalke 04,bundesliga
14,2019,2018,8,182,51,71,18,34,43.65,62.17,-18.52,266,10.33,10.89,32,8,47.44,63.79,Augsburg,bundesliga
15,2019,2018,7,153,32,70,20,34,36.62,60.42,-23.81,260,10.5,13.19,28,7,37.38,62.7,VfB Stuttgart,bundesliga
16,2019,2018,6,157,31,71,23,34,32.54,67.82,-35.28,309,9.01,11.49,21,5,34.81,73.12,Hannover 96,bundesliga
17,2019,2018,10,148,26,68,21,34,30.83,51.77,-20.94,259,8.99,18.19,19,3,35.37,54.8,Nuernberg,bundesliga
0,2020,2019,4,407,100,32,4,34,88.3,33.44,54.86,119,19.19,7.84,82,26,92.85,36.47,Bayern Munich,bundesliga
1,2020,2019,6,297,84,41,7,34,62.75,39.75,22.99,135,16.94,11.7,69,21,64.26,42.02,Borussia Dortmund,bundesliga
2,2020,2019,12,303,81,37,4,34,72.34,36.07,36.27,157,12.83,10.55,66,18,76.13,37.58,RasenBallsport Leipzig,bundesliga
3,2020,2019,5,232,66,40,9,34,69.01,44.54,24.47,166,11.55,10.82,65,20,73.58,46.05,Borussia M.Gladbach,bundesliga
4,2020,2019,6,230,61,44,9,34,60.37,48.16,12.21,158,14.98,7.69,63,19,61.88,49.68,Bayer Leverkusen,bundesliga
5,2020,2019,7,201,53,53,12,34,53.63,52.69,0.94,230,12.56,12.35,52,15,56.66,58.75,Hoffenheim,bundesliga
6,2020,2019,10,192,48,46,11,34,51.4,38.12,13.28,171,9.45,9.6,49,13,54.43,41.91,Wolfsburg,bundesliga
7,2020,2019,9,158,48,47,12,34,41.59,60.31,-18.72,258,11.28,14.76,48,13,46.14,63.37,Freiburg,bundesliga
8,2020,2019,6,188,59,60,15,34,56.82,48.65,8.17,166,11.99,9.59,45,13,58.33,50.93,Eintracht Frankfurt,bundesliga
9,2020,2019,8,151,48,59,15,34,42.03,50.27,-8.25,241,11.05,13.08,41,11,44.3,55.58,Hertha Berlin,bundesliga
10,2020,2019,5,119,41,58,17,34,37.79,51.91,-14.12,216,8.64,12.44,41,12,41.58,54.94,Union Berlin,bundesliga
11,2020,2019,12,194,38,58,13,34,34.41,49.68,-15.27,180,9.5,9.97,39,9,35.93,54.22,Schalke 04,bundesliga
12,2020,2019,4,181,44,65,19,34,43.92,59.11,-15.19,242,8.27,12.5,37,11,46.19,62.9,Mainz 05,bundesliga
13,2020,2019,9,133,45,63,16,34,40.07,58.36,-18.29,223,7.93,15.83,36,9,43.86,59.12,Augsburg,bundesliga
14,2020,2019,6,167,51,69,18,34,46.25,50.0,-3.75,226,9.34,10.65,36,10,49.28,54.54,FC Cologne,bundesliga
15,2020,2019,7,186,42,69,19,34,33.19,56.18,-22.99,205,10.31,11.75,31,8,37.74,56.94,Werder Bremen,bundesliga
16,2020,2019,12,143,36,67,16,34,32.66,60.66,-28.0,207,11.14,14.72,30,6,35.69,64.45,Fortuna Duesseldorf,bundesliga
17,2020,2019,8,113,37,74,22,34,35.43,64.04,-28.61,295,8.74,12.53,20,4,38.47,67.83,Paderborn,bundesliga
0,2021,2020,6,424,99,44,4,34,68.35,36.6,31.75,157,16.21,8.05,78,24,75.93,38.87,Bayern Munich,bundesliga
1,2021,2020,8,335,60,32,7,34,59.57,26.96,32.6,129,14.1,8.36,65,19,67.14,29.24,RasenBallsport Leipzig,bundesliga
2,2021,2020,4,398,75,46,10,34,63.59,34.89,28.7,152,16.3,9.84,64,20,68.95,39.44,Borussia Dortmund,bundesliga
3,2021,2020,10,252,61,37,7,34,49.32,35.26,14.06,174,11.51,9.42,61,17,51.59,39.16,Wolfsburg,bundesliga
4,2021,2020,12,242,69,53,6,34,54.46,43.06,11.41,219,12.66,8.83,60,16,60.53,47.73,Eintracht Frankfurt,bundesliga
5,2021,2020,10,228,53,39,10,34,45.0,38.85,6.15,172,14.97,9.37,52,14,47.28,40.41,Bayer Leverkusen,bundesliga
6,2021,2020,14,136,50,43,8,34,40.56,39.72,0.85,189,11.62,15.81,50,12,46.0,43.51,Union Berlin,bundesliga
7,2021,2020,10,228,64,56,11,34,45.77,40.17,5.61,213,12.93,11.64,49,13,54.11,44.71,Borussia M.Gladbach,bundesliga
8,2021,2020,9,220,56,55,13,34,46.01,48.49,-2.48,275,9.95,10.72,45,12,52.18,53.79,VfB Stuttgart,bundesliga
9,2021,2020,9,151,52,52,13,34,40.57,48.43,-7.86,218,11.94,12.65,45,12,45.11,52.98,Freiburg,bundesliga
10,2021,2020,10,243,52,54,13,34,45.78,46.06,-0.28,218,12.45,11.08,43,11,50.32,52.88,Hoffenheim,bundesliga
11,2021,2020,9,192,39,56,15,34,44.67,47.07,-2.39,219,8.44,12.6,39,10,48.46,52.2,Mainz 05,bundesliga
12,2021,2020,6,115,36,54,18,34,32.23,50.33,-18.1,290,8.29,15.26,36,10,36.01,57.15,Augsburg,bundesliga
13,2021,2020,11,170,41,52,15,34,36.17,40.63,-4.46,208,10.89,10.84,35,8,40.71,46.69,Hertha Berlin,bundesliga
14,2021,2020,8,163,26,52,17,34,29.6,54.44,-24.83,278,10.54,14.08,35,9,31.14,58.98,Arminia Bielefeld,bundesliga
15,2021,2020,9,144,34,60,17,34,35.09,46.23,-11.14,252,10.31,14.07,33,8,39.64,53.18,FC Cologne,bundesliga
16,2021,2020,10,134,36,57,17,34,28.72,48.92,-20.2,250,9.05,14.56,31,7,32.51,53.7,Werder Bremen,bundesliga
17,2021,2020,7,135,25,86,24,34,25.21,64.58,-39.36,297,7.85,13.52,16,3,27.66,70.66,Schalke 04,bundesliga
0,2022,2021,5,522,97,37,5,34,96.12,37.09,59.02,162,16.92,7.88,77,24,99.91,38.61,Bayern Munich,bundesliga
1,2022,2021,3,306,85,52,9,34,57.31,43.13,14.18,198,14.4,10.06,69,22,65.65,47.67,Borussia Dortmund,bundesliga
2,2022,2021,7,283,80,47,8,34,61.77,41.98,19.78,232,11.9,11.93,64,19,66.31,45.02,Bayer Leverkusen,bundesliga
3,2022,2021,7,357,72,37,10,34,60.58,42.1,18.47,166,13.13,11.06,58,17,67.4,44.38,RasenBallsport Leipzig,bundesliga
4,2022,2021,9,173,50,44,9,34,51.41,38.31,13.1,177,11.23,14.33,57,16,55.2,39.83,Union Berlin,bundesliga
5,2022,2021,10,241,58,46,9,34,53.12,47.57,5.55,247,11.43,11.6,55,15,57.73,49.08,Freiburg,bundesliga
6,2022,2021,10,231,52,49,10,34,51.54,52.33,-0.79,208,10.4,7.39,52,14,52.3,53.09,FC Cologne,bundesliga
7,2022,2021,7,223,50,45,14,34,49.05,38.86,10.19,182,9.61,9.85,46,13,52.08,43.41,Mainz 05,bundesliga
8,2022,2021,7,269,58,60,14,34,59.77,54.17,5.6,176,14.6,11.49,46,13,59.77,57.27,Hoffenheim,bundesliga
9,2022,2021,9,250,54,61,13,34,54.62,56.92,-2.31,206,11.27,11.02,45,12,59.92,60.71,Borussia M.Gladbach,bundesliga
10,2022,2021,12,164,45,49,12,34,40.13,51.35,-11.22,266,12.38,10.06,42,10,41.65,54.38,Eintracht Frankfurt,bundesliga
11,2022,2021,6,197,43,54,16,34,46.24,48.15,-1.91,236,10.57,10.98,42,12,49.27,53.48,Wolfsburg,bundesliga
12,2022,2021,6,131,38,52,16,34,40.24,52.12,-11.88,267,9.72,10.8,42,12,44.78,58.18,Bochum,bundesliga
13,2022,2021,8,160,39,56,16,34,35.16,61.23,-26.07,268,8.07,12.86,38,10,38.95,65.02,Augsburg,bundesliga
14,2022,2021,12,195,41,59,15,34,45.61,52.43,-6.82,248,10.91,11.66,33,7,47.91,55.46,VfB Stuttgart,bundesliga
15,2022,2021,6,130,37,71,19,34,35.62,52.73,-17.11,264,7.45,14.0,33,9,37.89,58.79,Hertha Berlin,bundesliga
16,2022,2021,13,158,27,53,16,34,25.71,64.36,-38.65,336,9.28,13.7,28,5,27.22,69.67,Arminia Bielefeld,bundesliga
17,2022,2021,9,108,28,82,22,34,26.85,56.0,-29.15,259,8.89,12.28,18,3,30.64,60.54,Greuther Fuerth,bundesliga
0,2015,2014,4,489,110,21,4,38,97.78,24.73,73.05,114,13.86,5.5600000000000005,94,30,102.98,28.44,Barcelona,la liga
1,2015,2014,2,351,118,38,6,38,86.1,38.89,47.21,153,11.72,9.62,92,30,95.77,42.61,Real Madrid,la liga
2,2015,2014,9,197,67,29,6,38,52.59,26.84,25.75,123,8.44,8.27,78,23,57.05,29.07,Atletico Madrid,la liga
3,2015,2014,11,203,70,32,5,38,49.7,33.45,16.26,172,7.52,8.16,77,22,55.06,39.39,Valencia,la liga
4,2015,2014,7,305,71,45,8,38,62.09,41.92,20.18,168,8.71,7.91,76,23,69.53,47.86,Sevilla,la liga
5,2015,2014,12,242,48,37,10,38,55.28,38.47,16.81,171,8.08,8.9,60,16,56.77,40.7,Villarreal,la liga
6,2015,2014,10,183,42,41,13,38,41.83,41.74,0.09,171,8.75,7.26,55,15,45.54,44.11,Athletic Club,la liga
7,2015,2014,12,287,47,44,13,38,54.43,46.57,7.85,207,10.27,5.93,51,13,58.89,51.78,Celta Vigo,la liga
8,2015,2014,8,184,42,48,16,38,40.88,49.52,-8.64,184,6.69,7.37,50,14,46.22,54.13,Malaga,la liga
9,2015,2014,10,173,47,51,15,38,41.01,47.56,-6.55,205,6.53,8.6,49,13,43.98,48.3,Espanyol,la liga
10,2015,2014,4,147,46,68,19,38,45.56,65.97,-20.41,219,9.09,5.87,49,15,47.79,70.43,Rayo Vallecano,la liga
11,2015,2014,13,146,44,51,14,38,31.26,46.54,-15.28,168,8.04,8.14,46,11,33.49,51.16,Real Sociedad,la liga
12,2015,2014,8,107,35,62,19,38,34.27,51.38,-17.12,216,8.06,9.13,41,11,39.61,58.07,Elche,la liga
13,2015,2014,7,114,33,64,21,38,32.48,47.73,-15.25,221,6.79,9.36,37,10,33.97,53.67,Getafe,la liga
14,2015,2014,10,97,34,67,19,38,32.33,54.18,-21.85,224,6.96,11.33,37,9,35.3,60.27,Levante,la liga
15,2015,2014,8,106,34,55,21,38,28.07,50.0,-21.93,225,7.46,9.39,35,9,29.56,53.72,Eibar,la liga
16,2015,2014,14,133,35,60,17,38,32.51,46.52,-14.01,188,7.48,8.46,35,7,37.87,50.98,Deportivo La Coruna,la liga
17,2015,2014,14,117,29,64,17,38,32.93,51.31,-18.38,206,6.95,7.9,35,7,37.39,54.28,Granada,la liga
18,2015,2014,8,136,35,64,22,38,34.21,57.38,-23.17,220,5.91,8.23,32,8,38.67,58.87,Almeria,la liga
19,2015,2014,11,91,22,68,24,38,27.53,52.14,-24.6,253,7.16,10.32,20,3,29.76,57.34,Cordoba,la liga
0,2016,2015,4,570,112,29,5,38,99.48,33.29,66.19,163,13.68,5.66,91,29,113.6,34.03,Barcelona,la liga
1,2016,2015,6,404,110,34,4,38,83.76,42.26,41.5,211,12.62,8.86,90,28,90.45,45.23,Real Madrid,la liga
2,2016,2015,4,261,63,18,6,38,53.44,27.05,26.39,170,8.49,8.42,88,28,54.93,27.8,Atletico Madrid,la liga
3,2016,2015,10,188,44,35,10,38,38.26,39.4,-1.14,215,8.33,9.35,64,18,40.49,41.63,Villarreal,la liga
4,2016,2015,8,221,58,45,12,38,50.04,40.12,9.92,174,9.17,7.61,62,18,53.9,45.33,Athletic Club,la liga
5,2016,2015,9,321,51,59,12,38,46.49,48.27,-1.78,245,9.87,6.21,60,17,50.2,51.98,Celta Vigo,la liga
6,2016,2015,10,296,51,50,14,38,57.77,43.86,13.91,216,8.35,7.88,52,14,62.97,46.09,Sevilla,la liga
7,2016,2015,12,196,38,35,14,38,42.78,43.77,-0.99,191,7.07,7.29,48,12,45.75,45.25,Malaga,la liga
8,2016,2015,9,185,45,48,16,38,47.2,42.82,4.38,183,8.08,7.63,48,13,47.95,48.04,Real Sociedad,la liga
9,2016,2015,12,152,34,52,15,38,37.14,63.65,-26.51,283,6.42,9.22,45,11,40.11,64.39,Real Betis,la liga
10,2016,2015,11,203,46,48,16,38,46.64,58.59,-11.95,250,6.92,8.54,44,11,50.51,61.69,Valencia,la liga
11,2016,2015,8,228,45,53,18,38,34.95,56.26,-21.31,250,8.48,9.15,44,12,38.68,59.24,Las Palmas,la liga
12,2016,2015,10,191,49,61,17,38,46.84,47.45,-0.61,218,7.23,7.62,43,11,52.92,50.58,Eibar,la liga
13,2016,2015,7,186,40,74,19,38,43.86,56.38,-12.52,219,6.89,7.97,43,12,46.09,60.84,Espanyol,la liga
14,2016,2015,18,166,45,61,12,38,43.0,49.4,-6.4,240,8.42,10.25,42,8,43.75,52.37,Deportivo La Coruna,la liga
15,2016,2015,9,132,40,62,19,38,40.98,53.04,-12.06,265,6.53,10.51,39,10,42.57,60.62,Sporting Gijon,la liga
16,2016,2015,9,117,46,69,19,38,36.15,58.66,-22.51,268,6.8100000000000005,8.45,39,10,41.35,62.37,Granada,la liga
17,2016,2015,11,157,52,73,18,38,49.89,58.4,-8.51,240,8.76,6.39,38,9,52.26,65.09,Rayo Vallecano,la liga
18,2016,2015,9,159,37,67,20,38,40.29,55.78,-15.49,229,6.91,9.38,36,9,41.77,63.35,Getafe,la liga
19,2016,2015,8,169,37,70,22,38,37.74,58.24,-20.51,272,7.05,9.7,32,8,39.22,63.55,Levante,la liga
0,2017,2016,6,333,106,41,3,38,84.92,33.89,51.03,173,12.01,9.14,93,29,90.87,36.86,Real Madrid,la liga
1,2017,2016,6,552,116,37,4,38,86.86,31.32,55.55,144,12.63,6.31,90,28,93.55,31.32,Barcelona,la liga
2,2017,2016,9,265,70,27,6,38,54.53,28.36,26.17,168,8.39,9.57,78,23,60.66,31.34,Atletico Madrid,la liga
3,2017,2016,9,338,69,49,8,38,55.27,34.87,20.4,201,9.78,6.76,72,21,59.09,38.7,Sevilla,la liga
4,2017,2016,10,268,56,33,9,38,46.28,38.7,7.58,260,9.93,10.45,67,19,52.23,43.16,Villarreal,la liga
5,2017,2016,7,229,59,53,12,38,39.64,38.38,1.26,168,10.3,6.93,64,19,45.58,43.71,Real Sociedad,la liga
6,2017,2016,6,233,53,43,13,38,45.14,37.97,7.17,167,9.1,7.73,63,19,51.08,40.46,Athletic Club,la liga
7,2017,2016,11,117,49,50,12,38,29.58,36.86,-7.28,254,7.6,10.87,56,15,32.55,38.35,Espanyol,la liga
8,2017,2016,13,110,41,43,11,38,39.63,39.51,0.12,248,7.43,10.79,55,14,42.6,43.97,Alaves,la liga
9,2017,2016,9,157,56,51,14,38,36.89,40.71,-3.82,218,9.17,7.55,54,15,42.98,45.17,Eibar,la liga
10,2017,2016,10,167,49,55,16,38,36.53,42.15,-5.61,198,7.93,8.57,46,12,40.37,47.35,Malaga,la liga
11,2017,2016,7,174,56,65,18,38,45.88,41.16,4.72,230,8.19,9.17,46,13,50.34,50.96,Valencia,la liga
12,2017,2016,6,206,53,69,19,38,35.28,48.53,-13.26,241,9.79,8.46,45,13,40.48,55.98,Celta Vigo,la liga
13,2017,2016,9,270,53,74,19,38,36.34,50.22,-13.88,211,9.34,9.0,39,10,40.8,58.39,Las Palmas,la liga
14,2017,2016,9,181,41,64,19,38,34.23,44.45,-10.22,217,7.99,8.35,39,10,35.72,48.27,Real Betis,la liga
15,2017,2016,12,103,43,61,18,38,35.66,46.37,-10.71,232,8.41,9.42,36,8,41.0,48.6,Deportivo La Coruna,la liga
16,2017,2016,11,165,36,55,19,38,30.22,41.01,-10.79,164,7.09,8.52,35,8,33.19,46.39,Leganes,la liga
17,2017,2016,10,201,42,72,21,38,31.0,57.74,-26.74,247,7.48,9.13,31,7,36.35,64.43,Sporting Gijon,la liga
18,2017,2016,10,136,40,94,24,38,28.67,58.14,-29.47,270,6.43,10.37,22,4,33.13,64.82,Osasuna,la liga
19,2017,2016,8,113,30,82,26,38,28.84,71.05,-42.21,307,7.74,10.7,20,4,29.69,74.03,Granada,la liga
0,2018,2017,9,528,99,29,1,38,86.77,40.13,46.64,188,12.54,8.37,93,28,90.49,41.62,Barcelona,la liga
1,2018,2017,10,257,58,22,5,38,46.57,32.51,14.06,233,9.27,9.54,79,23,50.29,35.48,Atletico Madrid,la liga
2,2018,2017,10,453,94,44,6,38,83.7,42.12,41.58,188,13.27,8.91,76,22,91.29,45.1,Real Madrid,la liga
3,2018,2017,7,234,65,38,9,38,51.82,44.17,7.64,250,8.25,10.13,73,22,57.76,47.89,Valencia,la liga
4,2018,2017,7,230,57,50,13,38,51.95,48.29,3.66,257,10.81,9.11,61,18,55.67,54.24,Villarreal,la liga
5,2018,2017,6,183,60,61,14,38,44.49,46.62,-2.14,236,11.9,9.13,60,18,46.72,49.76,Real Betis,la liga
6,2018,2017,7,350,49,58,14,38,57.77,48.09,9.69,233,10.86,8.51,58,17,61.49,54.03,Sevilla,la liga
7,2018,2017,10,189,42,33,13,38,39.95,36.68,3.27,208,5.35,9.16,55,15,49.03,39.65,Getafe,la liga
8,2018,2017,9,149,44,50,15,38,39.19,42.56,-3.36,168,10.69,7.33,51,14,41.42,45.53,Eibar,la liga
9,2018,2017,9,137,50,59,15,38,46.15,47.89,-1.74,236,8.45,9.0,51,14,52.1,51.6,Girona,la liga
10,2018,2017,7,243,66,59,17,38,52.63,44.9,7.73,195,11.31,9.32,49,14,56.35,51.13,Real Sociedad,la liga
11,2018,2017,10,250,59,60,15,38,52.36,53.97,-1.61,274,10.99,9.84,49,13,54.59,57.68,Celta Vigo,la liga
12,2018,2017,13,175,36,42,13,38,39.18,48.91,-9.73,219,8.95,10.44,49,12,41.58,53.37,Espanyol,la liga
13,2018,2017,2,134,40,50,21,38,35.65,50.77,-15.12,277,6.44,11.2,47,15,37.88,58.2,Alaves,la liga
14,2018,2017,13,179,44,58,14,38,40.49,60.66,-20.17,283,7.21,11.51,46,11,44.2,65.12,Levante,la liga
15,2018,2017,13,208,41,49,15,38,45.84,46.25,-0.41,204,9.56,8.32,43,10,51.79,50.71,Athletic Club,la liga
16,2018,2017,7,145,34,51,19,38,37.03,43.56,-6.54,186,7.04,10.16,43,12,39.26,48.77,Leganes,la liga
17,2018,2017,11,217,38,76,21,38,46.06,57.16,-11.1,277,8.66,10.28,29,6,49.78,60.87,Deportivo La Coruna,la liga
18,2018,2017,7,215,24,74,26,38,31.93,70.71,-38.78,230,8.59,8.66,22,5,37.88,74.43,Las Palmas,la liga
19,2018,2017,5,122,24,61,28,38,31.29,54.88,-23.59,256,7.82,9.9,20,5,35.88,60.24,Malaga,la liga
0,2019,2018,9,417,90,36,3,38,76.58,43.44,33.14,171,15.24,8.43,87,26,83.28,44.93,Barcelona,la liga
1,2019,2018,10,252,55,29,6,38,48.73,37.72,11.01,190,10.29,10.3,76,22,51.87,41.43,Atletico Madrid,la liga
2,2019,2018,5,341,63,46,12,38,61.97,42.73,19.24,168,13.52,8.67,68,21,68.65,48.68,Real Madrid,la liga
3,2019,2018,16,278,51,35,7,38,56.57,36.91,19.66,215,9.03,12.08,61,15,61.88,42.85,Valencia,la liga
4,2019,2018,8,321,62,47,13,38,64.54,41.51,23.03,211,9.5,10.08,59,17,69.16,46.71,Sevilla,la liga
5,2019,2018,14,186,48,35,9,38,42.58,39.02,3.56,196,5.38,8.57,59,15,47.03,44.23,Getafe,la liga
6,2019,2018,11,241,48,50,13,38,47.18,48.55,-1.36,241,9.26,9.31,53,14,50.16,54.62,Espanyol,la liga
7,2019,2018,14,221,41,45,11,38,38.92,43.44,-4.53,185,10.54,7.97,53,13,44.44,47.16,Athletic Club,la liga
8,2019,2018,11,194,45,46,14,38,40.55,45.68,-5.13,208,9.19,9.36,50,13,47.99,48.09,Real Sociedad,la liga
9,2019,2018,8,241,44,52,16,38,46.35,49.83,-3.48,220,11.34,8.12,50,14,51.68,53.54,Real Betis,la liga
10,2019,2018,11,129,39,50,14,38,38.64,50.07,-11.43,270,6.72,10.51,50,13,40.87,54.53,Alaves,la liga
11,2019,2018,14,235,46,50,13,38,50.69,44.91,5.78,177,10.26,6.83,47,11,56.63,47.88,Eibar,la liga
12,2019,2018,12,155,37,43,15,38,37.53,40.8,-3.26,190,9.22,11.51,45,11,41.25,43.94,Leganes,la liga
13,2019,2018,14,232,49,52,14,38,50.33,52.4,-2.08,263,10.46,9.89,44,10,54.8,56.12,Villarreal,la liga
14,2019,2018,11,206,59,66,16,38,48.89,72.01,-23.13,295,6.58,9.61,44,11,54.09,78.86,Levante,la liga
15,2019,2018,11,195,53,62,17,38,43.5,58.23,-14.73,248,10.89,10.35,41,10,48.7,63.43,Celta Vigo,la liga
16,2019,2018,11,139,32,51,17,38,36.44,50.83,-14.39,243,8.55,10.17,41,10,41.64,57.65,Real Valladolid,la liga
17,2019,2018,10,177,37,53,19,38,38.53,49.39,-10.86,261,9.44,10.08,37,9,42.99,55.33,Girona,la liga
18,2019,2018,12,171,43,65,19,38,46.18,56.74,-10.56,259,7.68,9.59,33,7,51.38,63.43,SD Huesca,la liga
19,2019,2018,8,133,41,70,22,38,43.52,54.0,-10.48,253,6.99,9.2,32,8,47.23,62.32,Rayo Vallecano,la liga
0,2020,2019,9,334,70,25,3,38,63.98,31.66,32.32,127,13.35,8.92,87,26,72.16,33.15,Real Madrid,la liga
1,2020,2019,7,440,86,38,6,38,67.55,32.62,34.93,146,16.08,7.97,82,25,72.01,37.82,Barcelona,la liga
2,2020,2019,16,264,51,27,4,38,52.74,28.54,24.2,162,9.89,9.47,70,18,58.7,31.52,Atletico Madrid,la liga
3,2020,2019,13,238,54,34,6,38,49.95,33.63,16.32,148,11.37,7.95,70,19,55.16,36.62,Sevilla,la liga
4,2020,2019,6,218,63,49,14,38,57.43,41.83,15.6,228,11.57,9.72,60,18,65.61,48.59,Villarreal,la liga
5,2020,2019,8,231,56,48,14,38,47.2,35.2,12.0,192,11.34,8.27,56,16,50.92,41.89,Real Sociedad,la liga
6,2020,2019,8,135,52,45,14,38,41.31,39.72,1.58,197,7.25,9.64,56,16,45.02,43.44,Granada,la liga
7,2020,2019,12,176,43,37,12,38,39.89,38.56,1.32,119,6.0,6.97,54,14,45.19,43.02,Getafe,la liga
8,2020,2019,11,217,46,53,13,38,39.63,52.38,-12.75,262,9.85,13.27,53,14,45.58,59.07,Valencia,la liga
9,2020,2019,13,197,46,54,12,38,43.09,45.86,-2.77,191,7.99,8.57,52,13,49.04,49.58,Osasuna,la liga
10,2020,2019,12,122,41,38,13,38,34.6,47.22,-12.62,205,9.77,9.32,51,13,42.1,52.42,Athletic Club,la liga
11,2020,2019,7,177,47,53,17,38,45.71,58.89,-13.18,273,8.28,11.12,49,14,49.43,64.25,Levante,la liga
12,2020,2019,15,109,32,43,14,38,31.04,47.99,-16.95,226,7.61,11.93,42,9,35.66,53.94,Real Valladolid,la liga
