,Year_end,Year_start,D,DC,G,GA,L,M,NPxG,NPxGA,NPxGD,ODC,OPPDA,PPDA,PTS,W,xG,xGA,Team,League
9,2017,2016,9,133,43,51,17,38,37.45,45.62,-8.16,275,6.87,14.71,45,12,38.21,47.9,West Bromwich Albion,epl
10,2017,2016,9,166,47,64,17,38,44.99,53.58,-8.6,297,9.81,11.03,45,12,48.25,59.67,West Ham,epl
11,2017,2016,8,196,48,63,18,38,39.66,48.26,-8.6,279,8.47,11.48,44,12,44.34,51.3,Leicester,epl
12,2017,2016,11,217,41,56,16,38,43.31,47.15,-3.84,253,7.8,11.49,44,11,47.87,48.67,Stoke,epl
13,2017,2016,5,204,50,63,21,38,40.07,48.51,-8.43,297,7.57,9.07,41,12,45.4,50.03,Crystal Palace,epl
14,2017,2016,5,161,45,70,21,38,37.22,58.92,-21.71,308,10.63,12.52,41,12,39.5,65.13,Swansea,epl
15,2017,2016,7,174,39,55,20,38,31.02,51.25,-20.22,290,9.3,12.13,40,11,35.59,55.27,Burnley,epl
16,2017,2016,7,171,40,68,20,38,33.97,49.57,-15.6,240,8.71,10.25,40,11,36.25,52.62,Watford,epl
17,2017,2016,7,160,37,80,22,38,31.56,61.88,-30.32,326,10.15,14.16,34,9,33.84,71.77,Hull,epl
18,2017,2016,13,144,27,53,20,38,29.41,51.5,-22.09,320,10.05,10.28,28,5,30.93,55.3,Middlesbrough,epl
19,2017,2016,6,180,29,69,26,38,30.42,62.62,-32.2,334,7.97,12.65,24,6,34.22,65.66,Sunderland,epl
0,2018,2017,4,541,106,27,2,38,85.12,22.99,62.13,96,23.28,6.4,100,32,91.43,24.51,Manchester City,epl
1,2018,2017,6,319,68,28,7,38,56.63,42.78,13.85,243,13.15,10.25,81,25,59.04,43.54,Manchester United,epl
2,2018,2017,8,339,74,36,7,38,66.63,33.48,33.15,162,14.35,7.58,77,23,68.91,35.86,Tottenham,epl
3,2018,2017,12,436,84,38,5,38,75.18,31.18,44.0,148,19.49,9.55,75,21,77.49,35.75,Liverpool,epl
4,2018,2017,7,373,62,38,10,38,56.88,32.51,24.36,220,12.56,12.31,70,21,59.16,34.03,Chelsea,epl
5,2018,2017,6,488,74,51,13,38,68.46,44.18,24.29,203,15.64,9.13,63,19,72.27,48.75,Arsenal,epl
6,2018,2017,12,162,36,39,12,38,32.77,48.35,-15.58,305,10.26,13.67,54,14,32.77,52.16,Burnley,epl
7,2018,2017,10,185,44,58,15,38,37.5,51.69,-14.19,297,10.55,10.24,49,13,43.71,55.5,Everton,epl
8,2018,2017,11,183,56,60,15,38,45.72,46.31,-0.59,268,9.46,11.37,47,12,50.29,49.36,Leicester,epl
9,2018,2017,8,171,39,47,18,38,43.86,47.75,-3.89,287,8.47,13.38,44,12,44.63,52.47,Newcastle United,epl
10,2018,2017,11,247,45,55,16,38,49.14,52.01,-2.87,269,7.71,11.69,44,11,56.75,53.54,Crystal Palace,epl
11,2018,2017,11,245,45,61,16,38,37.71,62.65,-24.94,339,8.96,14.03,44,11,39.99,64.93,Bournemouth,epl
12,2018,2017,12,173,48,68,16,38,33.76,53.71,-19.95,308,8.15,12.39,42,10,36.8,58.37,West Ham,epl
13,2018,2017,8,232,44,64,19,38,41.13,49.41,-8.29,237,9.93,10.34,41,11,45.85,53.98,Watford,epl
14,2018,2017,13,159,34,54,16,38,31.89,50.8,-18.91,291,11.23,15.57,40,9,37.21,53.08,Brighton,epl
15,2018,2017,10,125,28,58,19,38,30.61,48.5,-17.89,251,9.99,12.22,37,9,32.13,53.22,Huddersfield,epl
16,2018,2017,15,225,37,56,16,38,39.6,45.03,-5.44,277,11.45,9.55,36,7,41.88,46.56,Southampton,epl
17,2018,2017,9,148,28,56,21,38,28.95,57.12,-28.17,301,10.91,14.65,33,8,29.71,61.83,Swansea,epl
18,2018,2017,12,189,35,68,19,38,34.47,61.74,-27.26,315,8.11,13.81,33,7,36.75,65.54,Stoke,epl
19,2018,2017,13,140,31,56,19,38,34.42,48.23,-13.81,263,8.3,13.33,31,6,35.18,48.99,West Bromwich Albion,epl
0,2019,2018,2,582,95,23,4,38,90.68,22.69,67.99,135,26.31,8.44,98,32,93.72,25.73,Manchester City,epl
1,2019,2018,7,431,89,22,1,38,74.13,28.38,45.75,152,19.15,9.99,97,30,79.46,29.15,Liverpool,epl
2,2019,2018,9,376,63,39,8,38,60.16,36.45,23.71,188,14.84,9.79,72,21,63.97,38.11,Chelsea,epl
3,2019,2018,2,270,67,39,13,38,58.7,45.34,13.36,202,14.45,9.4,71,23,61.75,49.15,Tottenham,epl
4,2019,2018,7,400,73,51,10,38,60.99,51.97,9.02,253,12.79,9.47,70,21,64.8,57.3,Arsenal,epl
5,2019,2018,9,313,65,54,10,38,59.38,47.73,11.64,268,13.37,10.49,66,19,68.62,52.3,Manchester United,epl
6,2019,2018,9,184,47,46,13,38,50.01,39.65,10.37,220,11.72,13.66,57,16,53.06,42.69,Wolverhampton Wanderers,epl
7,2019,2018,9,211,54,46,14,38,49.92,45.4,4.53,210,10.08,9.81,54,15,53.87,49.31,Everton,epl
8,2019,2018,7,205,51,48,16,38,46.79,40.84,5.95,253,10.57,11.27,52,15,52.11,44.64,Leicester,epl
9,2019,2018,7,261,52,55,16,38,44.15,61.86,-17.7,293,9.79,12.2,52,15,47.96,65.66,West Ham,epl
10,2019,2018,8,275,52,59,16,38,50.97,59.49,-8.51,264,10.0,11.36,50,14,51.73,63.29,Watford,epl
11,2019,2018,7,256,51,53,17,38,42.27,49.0,-6.73,261,8.78,14.16,49,14,50.64,52.8,Crystal Palace,epl
12,2019,2018,9,178,42,48,17,38,37.63,52.98,-15.35,305,9.4,13.99,45,12,39.91,57.55,Newcastle United,epl
13,2019,2018,6,280,56,70,19,38,51.96,58.62,-6.66,313,10.3,15.34,45,13,58.81,62.42,Bournemouth,epl
14,2019,2018,7,193,45,68,20,38,43.22,63.84,-20.62,315,10.16,13.58,40,11,44.74,66.12,Burnley,epl
15,2019,2018,12,206,45,65,17,38,45.87,56.99,-11.12,300,10.09,11.13,39,9,49.67,59.27,Southampton,epl
16,2019,2018,9,153,35,60,20,38,32.46,54.85,-22.39,321,10.15,13.63,36,9,37.03,62.46,Brighton,epl
17,2019,2018,4,143,34,69,24,38,38.73,61.17,-22.45,357,5.65,14.64,34,10,41.77,66.5,Cardiff,epl
18,2019,2018,5,171,34,81,26,38,40.34,68.26,-27.92,335,10.98,13.75,26,7,42.62,73.59,Fulham,epl
19,2019,2018,7,133,22,76,28,38,28.24,61.1,-32.86,276,10.68,10.93,16,3,29.0,67.19,Huddersfield,epl
0,2020,2019,3,429,85,33,3,38,71.39,38.81,32.58,145,21.33,8.01,99,32,75.19,39.57,Liverpool,epl
1,2020,2019,3,547,102,35,9,38,93.53,34.71,58.82,135,23.77,8.49,81,26,102.21,37.0,Manchester City,epl
2,2020,2019,12,290,66,36,8,38,55.53,35.78,19.75,178,11.1,9.64,66,18,66.19,38.06,Manchester United,epl
3,2020,2019,6,326,69,54,12,38,70.9,39.57,31.33,169,14.66,9.01,66,20,76.23,41.09,Chelsea,epl
4,2020,2019,8,293,67,41,12,38,55.67,40.28,15.39,203,12.75,7.95,62,18,61.02,47.89,Leicester,epl
5,2020,2019,11,224,61,47,11,38,45.83,48.8,-2.97,264,10.11,10.94,59,16,49.02,54.13,Tottenham,epl
6,2020,2019,14,172,51,40,9,38,51.18,34.96,16.22,193,10.29,13.39,59,15,54.22,37.39,Wolverhampton Wanderers,epl
7,2020,2019,14,265,56,48,10,38,48.54,51.01,-2.47,253,11.45,11.02,56,14,50.82,57.25,Arsenal,epl
8,2020,2019,12,198,39,39,12,38,45.05,49.76,-4.71,231,11.35,13.71,54,14,45.81,52.04,Sheffield United,epl
9,2020,2019,9,145,43,50,14,38,47.06,50.02,-2.95,263,9.35,11.89,54,15,49.35,53.84,Burnley,epl
10,2020,2019,7,230,51,60,16,38,52.54,53.55,-1.01,249,9.97,8.26,52,15,56.5,56.59,Southampton,epl
11,2020,2019,10,203,44,56,15,38,52.95,46.17,6.78,215,10.38,10.17,49,13,53.71,49.21,Everton,epl
12,2020,2019,11,132,38,58,16,38,35.73,65.51,-29.78,344,7.55,19.0,44,11,36.49,67.03,Newcastle United,epl
13,2020,2019,10,225,31,50,17,38,32.16,56.63,-24.47,281,7.99,13.0,43,11,34.45,57.39,Crystal Palace,epl
14,2020,2019,14,242,39,54,15,38,45.9,58.89,-12.99,264,12.78,10.36,41,9,47.42,60.42,Brighton,epl
15,2020,2019,9,217,49,62,19,38,46.02,63.76,-17.73,308,9.5,13.22,39,10,49.07,68.32,West Ham,epl
16,2020,2019,8,186,41,67,21,38,42.65,66.88,-24.23,343,7.89,12.34,35,9,45.09,71.6,Aston Villa,epl
17,2020,2019,7,210,40,65,22,38,41.63,58.73,-17.1,326,9.15,13.38,34,9,44.67,63.29,Bournemouth,epl
18,2020,2019,10,227,36,64,20,38,42.47,52.52,-10.05,259,9.64,12.2,34,8,48.56,59.53,Watford,epl
19,2020,2019,6,207,26,75,27,38,35.71,66.13,-30.41,345,9.65,12.59,21,5,37.23,71.61,Norwich,epl
0,2021,2020,5,405,83,32,6,38,70.86,22.82,48.05,150,20.39,10.11,86,27,77.72,30.61,Manchester City,epl
1,2021,2020,11,339,73,44,6,38,54.8,38.87,15.93,186,12.46,10.95,74,21,63.17,41.92,Manchester United,epl
2,2021,2020,9,458,68,42,9,38,67.64,41.22,26.43,144,18.57,9.13,69,20,72.21,47.3,Liverpool,epl
3,2021,2020,10,337,58,36,9,38,61.04,27.86,33.18,179,16.5,9.19,67,19,68.66,30.9,Chelsea,epl
4,2021,2020,6,237,68,50,12,38,49.67,44.02,5.65,209,13.5,9.99,66,20,58.8,47.07,Leicester,epl
5,2021,2020,8,172,62,47,11,38,57.13,46.06,11.08,286,11.08,16.45,65,19,60.34,49.86,West Ham,epl
6,2021,2020,8,193,68,45,12,38,52.87,44.94,7.93,293,11.52,11.27,62,18,56.68,52.55,Tottenham,epl
7,2021,2020,7,292,55,39,13,38,47.68,40.95,6.73,203,16.28,13.64,61,18,52.25,43.23,Arsenal,epl
8,2021,2020,5,305,62,54,15,38,56.21,56.01,0.2,283,12.27,7.17,59,18,59.26,63.02,Leeds,epl
9,2021,2020,8,207,47,48,13,38,45.42,47.12,-1.7000000000000002,270,11.82,14.21,59,17,49.24,50.16,Everton,epl
10,2021,2020,7,274,55,46,15,38,52.15,48.69,3.46,312,9.26,10.84,55,16,56.72,53.25,Aston Villa,epl
11,2021,2020,9,138,46,62,17,38,38.46,56.22,-17.76,322,8.27,18.0,45,12,43.96,60.02,Newcastle United,epl
12,2021,2020,9,139,36,52,17,38,35.57,46.1,-10.53,270,11.51,14.12,45,12,38.62,52.19,Wolverhampton Wanderers,epl
13,2021,2020,8,201,41,66,18,38,32.24,58.86,-26.62,272,7.6,16.14,44,12,35.29,61.9,Crystal Palace,epl
14,2021,2020,7,222,47,68,19,38,40.72,51.7,-10.98,275,10.47,9.73,43,12,45.28,58.55,Southampton,epl
15,2021,2020,14,311,40,46,15,38,46.97,34.58,12.39,208,13.63,10.31,41,9,53.82,39.91,Brighton,epl
16,2021,2020,9,233,33,55,19,38,35.84,56.77,-20.93,332,9.72,13.16,39,10,38.13,59.06,Burnley,epl
17,2021,2020,13,224,27,53,20,38,36.49,52.31,-15.82,227,10.38,12.16,28,5,41.06,57.64,Fulham,epl
18,2021,2020,11,164,35,76,22,38,31.93,65.67,-33.74,343,7.99,15.99,26,5,34.97,74.04,West Bromwich Albion,epl
19,2021,2020,2,198,20,63,29,38,30.11,63.06,-32.95,285,11.49,14.1,23,7,33.16,66.11,Sheffield United,epl
0,2022,2021,6,508,99,26,3,38,86.32,24.45,61.87,138,22.92,8.52,93,29,93.4,25.21,Manchester City,epl
1,2022,2021,8,461,94,26,2,38,86.83,32.73,54.1,159,21.71,8.07,92,28,93.02,32.73,Liverpool,epl
2,2022,2021,11,385,76,33,6,38,62.45,30.55,31.9,163,16.36,8.76,74,21,69.3,35.12,Chelsea,epl
3,2022,2021,5,285,69,40,11,38,64.15,42.18,21.97,255,12.38,12.53,71,22,67.95,43.7,Tottenham,epl
4,2022,2021,3,314,61,48,13,38,57.19,43.82,13.37,220,13.94,12.55,69,22,63.39,48.39,Arsenal,epl
5,2022,2021,10,293,57,57,12,38,53.41,53.05,0.36,261,12.09,12.84,58,16,57.21,56.85,Manchester United,epl
6,2022,2021,8,239,60,51,14,38,50.26,49.31,0.95,294,13.78,14.06,56,16,54.98,53.88,West Ham,epl
7,2022,2021,10,252,62,59,14,38,47.97,59.06,-11.1,293,12.4,11.78,52,14,49.49,66.11,Leicester,epl
8,2022,2021,15,305,42,44,11,38,44.24,44.17,0.07,244,13.44,9.37,51,12,49.57,47.21,Brighton,epl
9,2022,2021,6,181,38,43,17,38,38.28,50.87,-12.59,309,11.32,14.64,51,15,39.04,58.48,Wolverhampton Wanderers,epl
10,2022,2021,10,170,44,62,15,38,39.24,57.99,-18.75,293,7.85,13.8,49,13,41.53,62.71,Newcastle United,epl
11,2022,2021,15,213,50,46,12,38,42.66,38.29,4.38,238,9.56,11.38,48,11,48.84,41.33,Crystal Palace,epl
12,2022,2021,7,232,48,56,18,38,48.32,45.69,2.63,226,10.2,11.66,46,13,52.89,49.5,Brentford,epl
13,2022,2021,6,258,52,54,19,38,40.85,48.42,-7.57,258,8.93,12.91,45,13,43.13,53.1,Aston Villa,epl
14,2022,2021,13,209,43,67,16,38,44.3,63.04,-18.73,286,9.55,10.5,40,9,47.35,64.56,Southampton,epl
15,2022,2021,6,190,43,66,21,38,39.14,59.17,-20.03,299,7.83,14.03,39,11,44.47,60.69,Everton,epl
16,2022,2021,11,239,42,79,18,38,47.38,67.5,-20.12,300,11.34,8.58,38,9,51.19,71.31,Leeds,epl
17,2022,2021,14,184,34,53,17,38,39.58,56.42,-16.83,316,9.5,12.89,35,7,41.11,60.22,Burnley,epl
18,2022,2021,5,159,34,77,27,38,37.82,62.21,-24.39,339,7.62,14.27,23,6,39.34,67.53,Watford,epl
19,2022,2021,7,188,23,84,26,38,29.23,70.72,-41.49,374,9.35,15.33,22,5,31.51,80.08,Norwich,epl
0,2015,2014,4,388,80,18,5,34,61.66,20.42,41.24,83,17.79,5.65,79,25,66.21,21.94,Bayern Munich,bundesliga
1,2015,2014,9,172,72,38,5,34,55.32,36.42,18.9,164,9.66,8.43,69,20,58.35,38.82,Wolfsburg,bundesliga
2,2015,2014,9,221,53,26,6,34,49.47,33.31,16.16,198,11.93,11.41,66,19,51.74,36.34,Borussia M.Gladbach,bundesliga
3,2015,2014,10,246,62,37,7,34,48.4,30.17,18.22,108,6.61,5.5,61,17,49.16,34.72,Bayer Leverkusen,bundesliga
4,2015,2014,4,134,43,43,15,34,37.72,43.63,-5.91,221,9.39,7.06,49,15,43.91,46.66,Augsburg,bundesliga
5,2015,2014,9,161,42,40,12,34,38.99,45.45,-6.46,214,8.87,9.3,48,13,41.26,46.96,Schalke 04,bundesliga
6,2015,2014,7,292,47,42,14,34,51.59,31.88,19.71,112,10.75,7.4,46,13,53.86,33.4,Borussia Dortmund,bundesliga
7,2015,2014,8,207,49,55,14,34,46.17,46.97,-0.79,206,7.85,6.85,44,12,49.96,50.0,Hoffenheim,bundesliga
8,2015,2014,10,185,56,62,13,34,44.34,52.77,-8.43,227,7.42,7.88,43,11,47.37,55.04,Eintracht Frankfurt,bundesliga
9,2015,2014,10,182,50,65,13,34,39.56,48.59,-9.03,236,5.79,8.27,43,11,42.67,52.38,Werder Bremen,bundesliga
10,2015,2014,13,183,45,47,12,34,40.12,43.48,-3.36,196,7.82,9.49,40,9,43.91,48.11,Mainz 05,bundesliga
