,League,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Wins,Estimated_Draws,Estimated_Loses,Estimated_Points_Extended,Delta_Points_Extended
127,epl,Arsenal,2020,2021,38,18,7,13,55,39,61,20.0,8.0,10.0,69.0,-8.0
128,epl,Leeds,2020,2021,38,18,5,15,62,54,59,19.0,7.0,12.0,64.0,-5.0
129,epl,Everton,2020,2021,38,17,8,13,47,48,59,18.0,8.0,12.0,62.0,-3.0
130,epl,Aston Villa,2020,2021,38,16,7,15,55,46,55,19.0,8.0,11.0,66.0,-11.0
131,epl,Newcastle United,2020,2021,38,12,9,17,46,62,45,16.0,7.0,15.0,57.0,-12.0
132,epl,Wolverhampton Wanderers,2020,2021,38,12,9,17,36,52,45,16.0,9.0,13.0,57.0,-12.0
133,epl,Crystal Palace,2020,2021,38,12,8,18,41,66,44,15.0,7.0,16.0,53.0,-9.0
134,epl,Southampton,2020,2021,38,12,7,19,47,68,43,16.0,7.0,15.0,55.0,-12.0
135,epl,Brighton,2020,2021,38,9,14,15,40,46,41,17.0,9.0,12.0,61.0,-20.0
136,epl,Burnley,2020,2021,38,10,9,19,33,55,39,15.0,9.0,14.0,54.0,-15.0
137,epl,Fulham,2020,2021,38,5,13,20,27,53,28,14.0,10.0,14.0,52.0,-24.0
138,epl,West Bromwich Albion,2020,2021,38,5,11,22,35,76,26,13.0,7.0,18.0,48.0,-22.0
139,epl,Sheffield United,2020,2021,38,7,2,29,20,63,23,11.0,10.0,17.0,44.0,-21.0
140,epl,Manchester City,2021,2022,38,29,6,3,99,26,93,26.0,7.0,5.0,86.0,7.0
141,epl,Liverpool,2021,2022,38,28,8,2,94,26,92,26.0,7.0,5.0,85.0,7.0
142,epl,Chelsea,2021,2022,38,21,11,6,76,33,74,23.0,8.0,7.0,78.0,-4.0
143,epl,Tottenham,2021,2022,38,22,5,11,69,40,71,22.0,7.0,9.0,72.0,-1.0
