,id_roster,Year_end,Year_start,Player_id,Team,League
0,1,2010,2009,8040,Arsenal,epl
1,2,2010,2009,4564,Arsenal,epl
2,3,2010,2009,18214,Arsenal,epl
3,4,2010,2009,10599,Arsenal,epl
4,5,2010,2009,27550,Arsenal,epl
5,6,2010,2009,6042,Arsenal,epl
6,7,2010,2009,10209,Arsenal,epl
7,8,2010,2009,4599,Arsenal,epl
8,9,2010,2009,22649,Arsenal,epl
9,10,2010,2009,24366,Arsenal,epl
10,11,2010,2009,13298,Arsenal,epl
11,12,2010,2009,1554,Arsenal,epl
12,13,2010,2009,958,Arsenal,epl
13,14,2010,2009,19471,Arsenal,epl
14,15,2010,2009,8039,Arsenal,epl
15,16,2010,2009,13819,Arsenal,epl
16,17,2010,2009,845,Arsenal,epl
17,18,2010,2009,26820,Arsenal,epl
18,19,2010,2009,21682,Arsenal,epl
19,20,2010,2009,82231,Arsenal,epl
20,21,2010,2009,523,Arsenal,epl
21,22,2010,2009,13796,Arsenal,epl
22,23,2010,2009,7412,Arsenal,epl
23,24,2010,2009,8041,Arsenal,epl
24,25,2010,2009,11680,Arsenal,epl
25,26,2010,2009,32860,Arsenal,epl
26,27,2010,2009,20973,Arsenal,epl
27,28,2010,2009,32858,Arsenal,epl
28,29,2010,2009,25165,Arsenal,epl
29,30,2010,2009,42686,Arsenal,epl
0,31,2010,2009,4384,Chelsea,epl
1,32,2010,2009,48,Chelsea,epl
2,33,2010,2009,1563,Chelsea,epl
3,34,2010,2009,1832,Chelsea,epl
4,35,2010,2009,527,Chelsea,epl
5,36,2010,2009,15338,Chelsea,epl
6,37,2010,2009,2351,Chelsea,epl
7,38,2010,2009,342,Chelsea,epl
8,39,2010,2009,10685,Chelsea,epl
9,40,2010,2009,10132,Chelsea,epl
10,41,2010,2009,70,Chelsea,epl
11,42,2010,2009,6666,Chelsea,epl
12,43,2010,2009,255,Chelsea,epl
13,44,2010,2009,15464,Chelsea,epl
14,45,2010,2009,7252,Chelsea,epl
15,46,2010,2009,487,Chelsea,epl
16,47,2010,2009,7010,Chelsea,epl
17,48,2010,2009,6775,Chelsea,epl
18,49,2010,2009,8028,Chelsea,epl
19,50,2010,2009,3574,Chelsea,epl
20,51,2010,2009,27551,Chelsea,epl
21,52,2010,2009,78221,Chelsea,epl
22,53,2010,2009,38128,Chelsea,epl
23,54,2010,2009,80881,Chelsea,epl
24,55,2010,2009,10874,Chelsea,epl
25,56,2010,2009,23736,Chelsea,epl
26,57,2010,2009,14115,Chelsea,epl
27,58,2010,2009,70291,Chelsea,epl
28,59,2010,2009,80882,Chelsea,epl
29,60,2010,2009,179,Chelsea,epl
0,61,2010,2009,4056,Liverpool,epl
1,62,2010,2009,4574,Liverpool,epl
2,63,2010,2009,17,Liverpool,epl
3,64,2010,2009,3061,Liverpool,epl
4,65,2010,2009,31451,Liverpool,epl
5,66,2010,2009,7415,Liverpool,epl
6,67,2010,2009,26817,Liverpool,epl
7,68,2010,2009,4445,Liverpool,epl
8,69,2010,2009,7398,Liverpool,epl
9,70,2010,2009,7516,Liverpool,epl
10,71,2010,2009,4490,Liverpool,epl
11,72,2010,2009,4958,Liverpool,epl
12,73,2010,2009,1329,Liverpool,epl
13,74,2010,2009,2987,Liverpool,epl
14,75,2010,2009,19840,Liverpool,epl
15,76,2010,2009,9989,Liverpool,epl
16,77,2010,2009,78559,Liverpool,epl
17,78,2010,2009,24457,Liverpool,epl
18,79,2010,2009,12158,Liverpool,epl
19,80,2010,2009,2940,Liverpool,epl
20,81,2010,2009,44687,Liverpool,epl
21,82,2010,2009,23167,Liverpool,epl
22,83,2010,2009,5450,Liverpool,epl
23,84,2010,2009,5035,Liverpool,epl
24,85,2010,2009,6175,Liverpool,epl
25,86,2010,2009,67296,Liverpool,epl
26,87,2010,2009,86594,Liverpool,epl
27,88,2010,2009,44068,Liverpool,epl
28,89,2010,2009,67483,Liverpool,epl
29,90,2010,2009,23244,Liverpool,epl
0,91,2010,2009,831,Manchester City,epl
1,92,2010,2009,14167,Manchester City,epl
2,93,2010,2009,188,Manchester City,epl
3,94,2010,2009,6363,Manchester City,epl
4,95,2010,2009,3817,Manchester City,epl
5,96,2010,2009,10136,Manchester City,epl
6,97,2010,2009,14269,Manchester City,epl
7,98,2010,2009,1982,Manchester City,epl
8,99,2010,2009,14244,Manchester City,epl
9,100,2010,2009,31212,Manchester City,epl
10,101,2010,2009,341,Manchester City,epl
11,102,2010,2009,8137,Manchester City,epl
12,103,2010,2009,836,Manchester City,epl
13,104,2010,2009,14168,Manchester City,epl
14,105,2010,2009,2703,Manchester City,epl
15,106,2010,2009,4608,Manchester City,epl
16,107,2010,2009,3987,Manchester City,epl
17,108,2010,2009,6210,Manchester City,epl
18,109,2010,2009,14169,Manchester City,epl
19,110,2010,2009,2910,Manchester City,epl
20,111,2010,2009,11669,Manchester City,epl
21,112,2010,2009,1034,Manchester City,epl
22,113,2010,2009,14247,Manchester City,epl
23,114,2010,2009,130,Manchester City,epl
24,115,2010,2009,954,Manchester City,epl
25,116,2010,2009,43073,Manchester City,epl
26,117,2010,2009,83032,Manchester City,epl
27,118,2010,2009,83211,Manchester City,epl
28,119,2010,2009,85465,Manchester City,epl
29,120,2010,2009,83394,Manchester City,epl
30,121,2010,2009,22606,Manchester City,epl
0,122,2010,2009,3859,Manchester United,epl
1,123,2010,2009,4092,Manchester United,epl
2,124,2010,2009,9685,Manchester United,epl
3,125,2010,2009,31856,Manchester United,epl
4,126,2010,2009,19104,Manchester United,epl
5,127,2010,2009,18296,Manchester United,epl
6,128,2010,2009,77,Manchester United,epl
7,129,2010,2009,6410,Manchester United,epl
8,130,2010,2009,2213,Manchester United,epl
9,131,2010,2009,22079,Manchester United,epl
10,132,2010,2009,5835,Manchester United,epl
11,133,2010,2009,7884,Manchester United,epl
12,134,2010,2009,11,Manchester United,epl
13,135,2010,2009,1019,Manchester United,epl
14,136,2010,2009,3101,Manchester United,epl
15,137,2010,2009,2115,Manchester United,epl
16,138,2010,2009,119,Manchester United,epl
17,139,2010,2009,928,Manchester United,epl
18,140,2010,2009,30395,Manchester United,epl
19,141,2010,2009,3203,Manchester United,epl
20,142,2010,2009,21723,Manchester United,epl
21,143,2010,2009,11530,Manchester United,epl
22,144,2010,2009,3841,Manchester United,epl
23,145,2010,2009,44031,Manchester United,epl
24,146,2010,2009,71330,Manchester United,epl
25,147,2010,2009,7,Manchester United,epl
26,148,2010,2009,26013,Manchester United,epl
27,149,2010,2009,22818,Manchester United,epl
28,150,2010,2009,39308,Manchester United,epl
29,151,2010,2009,553,Manchester United,epl
0,152,2010,2009,13812,Tottenham,epl
1,153,2010,2009,4905,Tottenham,epl
2,154,2010,2009,8194,Tottenham,epl
3,155,2010,2009,24711,Tottenham,epl
4,156,2010,2009,7411,Tottenham,epl
5,157,2010,2009,5625,Tottenham,epl
6,158,2010,2009,11580,Tottenham,epl
7,159,2010,2009,20874,Tottenham,epl
8,160,2010,2009,2813,Tottenham,epl
9,161,2010,2009,3807,Tottenham,epl
10,162,2010,2009,10133,Tottenham,epl
11,163,2010,2009,562,Tottenham,epl
12,164,2010,2009,6162,Tottenham,epl
13,165,2010,2009,31549,Tottenham,epl
14,166,2010,2009,22040,Tottenham,epl
15,167,2010,2009,2837,Tottenham,epl
16,168,2010,2009,19247,Tottenham,epl
17,169,2010,2009,14805,Tottenham,epl
18,170,2010,2009,112,Tottenham,epl
19,171,2010,2009,69778,Tottenham,epl
20,172,2010,2009,7336,Tottenham,epl
21,173,2010,2009,3837,Tottenham,epl
22,174,2010,2009,88,Tottenham,epl
23,175,2010,2009,6434,Tottenham,epl
24,176,2010,2009,8180,Tottenham,epl
25,177,2010,2009,23,Tottenham,epl
26,178,2010,2009,28112,Tottenham,epl
27,179,2010,2009,14171,Tottenham,epl
28,180,2010,2009,36849,Tottenham,epl
29,181,2010,2009,34131,Tottenham,epl
0,182,2011,2010,4564,Arsenal,epl
1,183,2011,2010,8040,Arsenal,epl
2,184,2011,2010,10599,Arsenal,epl
3,185,2011,2010,6042,Arsenal,epl
4,186,2011,2010,13298,Arsenal,epl
5,187,2011,2010,10209,Arsenal,epl
6,188,2011,2010,19471,Arsenal,epl
7,189,2011,2010,18214,Arsenal,epl
8,190,2011,2010,4599,Arsenal,epl
9,191,2011,2010,42686,Arsenal,epl
10,192,2011,2010,30051,Arsenal,epl
11,193,2011,2010,11680,Arsenal,epl
12,194,2011,2010,13796,Arsenal,epl
13,195,2011,2010,6236,Arsenal,epl
14,196,2011,2010,73379,Arsenal,epl
15,197,2011,2010,3929,Arsenal,epl
16,198,2011,2010,20973,Arsenal,epl
17,199,2011,2010,845,Arsenal,epl
18,200,2011,2010,628,Arsenal,epl
19,201,2011,2010,27550,Arsenal,epl
20,202,2011,2010,22649,Arsenal,epl
21,203,2011,2010,8039,Arsenal,epl
22,204,2011,2010,13819,Arsenal,epl
23,205,2011,2010,26820,Arsenal,epl
24,206,2011,2010,8041,Arsenal,epl
25,207,2011,2010,25165,Arsenal,epl
26,208,2011,2010,74342,Arsenal,epl
0,209,2011,2010,4384,Chelsea,epl
1,210,2011,2010,1563,Chelsea,epl
2,211,2011,2010,48,Chelsea,epl
3,212,2011,2010,10132,Chelsea,epl
4,213,2011,2010,70,Chelsea,epl
5,214,2011,2010,1832,Chelsea,epl
6,215,2011,2010,15338,Chelsea,epl
7,216,2011,2010,27586,Chelsea,epl
8,217,2011,2010,527,Chelsea,epl
9,218,2011,2010,15464,Chelsea,epl
10,219,2011,2010,28191,Chelsea,epl
