,Team
0,Chelsea
1,Manchester City
2,Arsenal
3,Manchester United
4,Tottenham
5,Liverpool
6,Southampton
7,Swansea
8,Stoke
9,Crystal Palace
10,Everton
11,West Ham
12,West Bromwich Albion
13,Leicester
14,Newcastle United
15,Sunderland
16,Aston Villa
17,Hull
18,Burnley
19,Queens Park Rangers
32,Watford
35,Bournemouth
38,Norwich
58,Middlesbrough
74,Brighton
75,Huddersfield
86,Wolverhampton Wanderers
97,Cardiff
98,Fulham
108,Sheffield United
128,Leeds
152,Brentford
160,Bayern Munich
161,Wolfsburg
162,Borussia M.Gladbach
163,Bayer Leverkusen
164,Augsburg
165,Schalke 04
166,Borussia Dortmund
167,Hoffenheim
168,Eintracht Frankfurt
169,Werder Bremen
170,Mainz 05
171,FC Cologne
172,Hannover 96
173,VfB Stuttgart
174,Hertha Berlin
175,Hamburger SV
176,Freiburg
177,Paderborn
188,Ingolstadt
191,Darmstadt
197,RasenBallsport Leipzig
241,Fortuna Duesseldorf
249,Nuernberg
260,Union Berlin
282,Arminia Bielefeld
298,Bochum
303,Greuther Fuerth
304,Barcelona
305,Real Madrid
306,Atletico Madrid
307,Valencia
308,Sevilla
309,Villarreal
310,Athletic Club
311,Celta Vigo
312,Malaga
313,Espanyol
314,Rayo Vallecano
315,Real Sociedad
316,Elche
317,Getafe
318,Levante
319,Eibar
320,Deportivo La Coruna
321,Granada
322,Almeria
323,Cordoba
333,Real Betis
335,Las Palmas
339,Sporting Gijon
352,Alaves
360,Leganes
362,Osasuna
373,Girona
400,Real Valladolid
402,SD Huesca
422,Mallorca
435,Cadiz
464,Paris Saint Germain
465,Lyon
466,Monaco
467,Marseille
468,Saint-Etienne
469,Bordeaux
470,Montpellier
471,Lille
472,Rennes
473,Guingamp
474,Nice
475,SC Bastia
476,Caen
477,Nantes
478,Reims
479,Lorient
480,Toulouse
481,Evian Thonon Gaillard
482,Metz
483,Lens
492,Angers
502,GFC Ajaccio
503,Troyes
519,Dijon
522,Nancy
536,Amiens
538,Strasbourg
552,Nimes
577,Brest
620,Clermont Foot
624,Juventus
625,Roma
626,Lazio
627,Fiorentina
628,Napoli
629,Genoa
630,Sampdoria
631,Inter
632,Torino
633,AC Milan
634,Palermo
635,Sassuolo
636,Verona
637,Chievo
638,Empoli
639,Udinese
640,Atalanta
641,Cagliari
642,Parma
643,Cesena
657,Bologna
661,Carpi
662,Frosinone
680,Crotone
683,Pescara
700,SPAL 2013
703,Benevento
719,Parma Calcio 1913
741,Lecce
742,Brescia
758,Spezia
780,Salernitana
783,Venezia
