,Team,player_number,Year_start,Year_end,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,Arsenal,8040,2009,2010,26(1),26,1.0,2194,15,13,5,0,3.2,79.3,0.5,11,8.25
1,Arsenal,4564,2009,2010,14(2),14,2.0,1256,9,7,3,0,4.8,79.7,0.9,2,8.07
2,Arsenal,18214,2009,2010,26(3),26,3.0,2322,6,3,2,0,1.3,83.1,1.9,6,7.76
3,Arsenal,10599,2009,2010,25(1),25,1.0,2240,1,1,10,0,0.5,84.7,1.5,1,7.5
4,Arsenal,27550,2009,2010,3,3,0.0,270,0,0,1,0,0.3,77.6,1.7,0,7.48
5,Arsenal,6042,2009,2010,23(1),23,1.0,2086,0,1,4,0,0.3,79.3,1.2,0,7.38
6,Arsenal,10209,2009,2010,33,33,0.0,2799,7,1,3,1,1.2,83.3,3.1,0,7.38
7,Arsenal,4599,2009,2010,25(5),25,5.0,2267,10,1,2,0,2.9,73.6,0.2,1,7.26
8,Arsenal,22649,2009,2010,19(1),19,1.0,1573,3,1,2,0,1.1,86.4,1.5,2,7.25
9,Arsenal,24366,2009,2010,9,9,0.0,805,0,0,2,0,0.1,83.7,1.9,0,7.18
10,Arsenal,13298,2009,2010,22(4),22,4.0,1888,2,4,2,0,1.4,86.4,0.1,1,7.16
11,Arsenal,1554,2009,2010,26,26,0.0,2340,3,0,2,0,0.7,89.0,1.5,0,7.15
12,Arsenal,958,2009,2010,10(1),10,1.0,955,0,0,3,0,0.5,81.4,1.9,0,7.14
13,Arsenal,19471,2009,2010,31(4),31,4.0,2761,0,3,3,0,0.3,85.4,1.6,0,7.06
14,Arsenal,8039,2009,2010,17(8),17,8.0,1496,1,3,4,0,0.6,86.7,0.2,0,7.01
15,Arsenal,13819,2009,2010,13(10),13,10.0,1228,6,5,2,0,2.3,73.3,2.4,1,7.01
16,Arsenal,845,2009,2010,14(11),14,11.0,1299,3,4,1,0,1.6,81.1,0.4,0,6.9
17,Arsenal,26820,2009,2010,7(11),7,11.0,780,3,3,0,0,1.1,85.6,0.7,1,6.86
18,Arsenal,21682,2009,2010,5,5,0.0,450,0,0,1,0,0.0,57.0,0.0,1,6.84
19,Arsenal,82231,2009,2010,2(2),2,2.0,171,0,0,0,0,0.5,81.7,1.5,0,6.82
20,Arsenal,523,2009,2010,9(3),9,3.0,857,1,0,2,0,0.5,81.7,0.9,0,6.82
21,Arsenal,13796,2009,2010,12(11),12,11.0,1132,3,2,0,0,1.5,83.0,0.2,0,6.75
22,Arsenal,7412,2009,2010,13(11),13,11.0,1121,2,4,0,0,1.8,80.9,0.4,0,6.71
23,Arsenal,8041,2009,2010,29,29,0.0,2610,0,1,1,0,0.0,43.9,0.1,0,6.65
24,Arsenal,11680,2009,2010,0(1),0,1.0,28,0,0,0,0,0.0,89.5,0.0,0,6.51
25,Arsenal,32860,2009,2010,0(4),0,4.0,61,1,0,0,0,0.3,78.7,0.3,0,6.46
26,Arsenal,20973,2009,2010,4,4,0.0,360,0,0,1,0,0.0,43.3,0.8,0,6.41
27,Arsenal,32858,2009,2010,0(1),0,1.0,13,0,0,0,0,1.0,93.8,0.0,0,6.33
28,Arsenal,25165,2009,2010,1(10),1,10.0,227,1,0,0,0,0.5,82.0,0.1,0,6.3
29,Arsenal,42686,2009,2010,0(1),0,1.0,1,0,0,0,0,0.0,100.0,0.0,0,6.0
0,Chelsea,4384,2009,2010,31(1),31,1.0,2775,29,10,7,0,5.6,59.7,1.8,13,8.32
1,Chelsea,48,2009,2010,36,36,0.0,3220,22,14,0,0,3.9,81.0,0.1,2,7.95
2,Chelsea,1563,2009,2010,26(7),26,7.0,2304,12,8,3,1,1.9,84.1,0.6,4,7.63
3,Chelsea,1832,2009,2010,13(1),13,1.0,1195,3,0,2,0,2.8,87.8,0.9,1,7.6
4,Chelsea,527,2009,2010,31(2),31,2.0,2705,11,7,0,0,3.0,78.6,1.1,2,7.6
5,Chelsea,15338,2009,2010,25(3),25,3.0,2256,1,5,6,0,0.9,81.6,2.1,1,7.47
6,Chelsea,2351,2009,2010,14(5),14,5.0,1240,2,2,4,0,1.0,81.3,0.3,2,7.43
7,Chelsea,342,2009,2010,25(2),25,2.0,2157,4,3,4,0,0.6,88.1,0.5,0,7.41
8,Chelsea,10685,2009,2010,8,8,0.0,649,0,1,0,0,1.0,86.6,1.6,1,7.4
9,Chelsea,10132,2009,2010,13(3),13,3.0,1269,1,0,2,0,1.8,87.9,2.3,0,7.37
10,Chelsea,70,2009,2010,37,37,0.0,3261,2,2,6,1,0.7,87.4,2.2,1,7.24
11,Chelsea,6666,2009,2010,22,22,0.0,1853,0,1,4,0,0.6,86.2,1.3,0,7.16
12,Chelsea,255,2009,2010,26(6),26,6.0,2366,4,5,2,1,1.7,85.7,0.5,0,7.14
13,Chelsea,15464,2009,2010,21(4),21,4.0,1746,0,1,3,0,0.5,89.8,0.7,0,7.04
14,Chelsea,7252,2009,2010,10(7),10,7.0,954,0,2,4,0,0.2,81.2,0.4,1,7.04
15,Chelsea,487,2009,2010,14(12),14,12.0,1284,2,5,2,0,1.5,83.3,0.3,0,7.02
16,Chelsea,7010,2009,2010,11(2),11,2.0,951,0,0,2,0,0.2,89.1,0.3,0,6.88
17,Chelsea,6775,2009,2010,34,34,0.0,3021,0,1,0,1,0.0,55.7,0.1,0,6.87
18,Chelsea,8028,2009,2010,11(12),11,12.0,956,5,3,2,0,1.6,80.9,0.2,1,6.83
19,Chelsea,3574,2009,2010,4(7),4,7.0,484,0,1,1,1,0.7,85.0,0.5,0,6.68
20,Chelsea,27551,2009,2010,0(2),0,2.0,21,0,1,0,0,0.5,100.0,0.0,0,6.54
21,Chelsea,78221,2009,2010,0(2),0,2.0,32,0,0,0,0,0.0,83.3,0.5,0,6.54
22,Chelsea,38128,2009,2010,0(2),0,2.0,40,0,0,0,0,0.5,76.9,0.5,0,6.47
23,Chelsea,80881,2009,2010,0(2),0,2.0,57,0,0,0,0,0.0,96.4,0.0,0,6.43
24,Chelsea,10874,2009,2010,2,2,0.0,180,0,0,0,0,0.0,39.5,0.0,0,6.4
25,Chelsea,23736,2009,2010,2(11),2,11.0,289,1,0,0,0,1.2,77.9,0.1,0,6.37
26,Chelsea,14115,2009,2010,2(1),2,1.0,218,0,0,0,0,0.0,67.3,0.3,0,6.35
27,Chelsea,70291,2009,2010,0(1),0,1.0,31,0,0,0,0,3.0,100.0,0.0,0,6.23
28,Chelsea,80882,2009,2010,0(4),0,4.0,32,0,0,0,0,0.8,83.3,0.3,0,6.15
29,Chelsea,179,2009,2010,0(1),0,1.0,3,0,0,0,0,0.0,80.0,0.0,0,6.03
0,Liverpool,4056,2009,2010,20(2),20,2.0,1718,18,3,5,0,3.6,69.4,1.7,5,7.65
1,Liverpool,4574,2009,2010,24(1),24,1.0,2141,3,3,1,0,1.1,81.6,0.9,0,7.61
2,Liverpool,17,2009,2010,32(1),32,1.0,2850,9,7,6,0,3.2,77.7,0.9,6,7.52
3,Liverpool,3061,2009,2010,13(1),13,1.0,1193,1,0,1,1,0.9,79.2,4.4,1,7.28
4,Liverpool,31451,2009,2010,32(3),32,3.0,2844,0,2,9,0,1.0,83.6,1.8,2,7.26
5,Liverpool,7415,2009,2010,31(3),31,3.0,2756,0,0,9,2,0.8,83.0,0.6,0,7.26
6,Liverpool,26817,2009,2010,30(1),30,1.0,2722,0,4,1,0,0.6,82.1,0.9,0,7.18
7,Liverpool,4445,2009,2010,14(3),14,3.0,1208,1,3,1,0,1.6,82.3,0.6,1,7.12
8,Liverpool,7398,2009,2010,23,23,0.0,1979,0,0,0,0,1.2,78.6,1.7,1,7.1
9,Liverpool,7516,2009,2010,35(2),35,2.0,3017,9,3,3,0,2.1,74.1,1.7,2,7.08
10,Liverpool,4490,2009,2010,19(11),19,11.0,1855,6,4,1,0,1.2,81.1,0.6,1,6.99
11,Liverpool,4958,2009,2010,9(3),9,3.0,651,0,3,0,0,1.8,79.0,0.8,0,6.94
12,Liverpool,1329,2009,2010,37,37,0.0,3254,0,0,7,1,0.1,77.6,0.6,0,6.93
13,Liverpool,2987,2009,2010,38,38,0.0,3420,0,1,2,0,0.0,59.9,0.2,2,6.9
14,Liverpool,19840,2009,2010,16(3),16,3.0,1410,1,0,5,0,0.7,80.9,1.1,1,6.88
15,Liverpool,9989,2009,2010,9(9),9,9.0,815,1,6,0,0,1.5,80.9,0.4,0,6.81
16,Liverpool,78559,2009,2010,2(3),2,3.0,235,0,0,0,0,0.0,81.5,1.0,0,6.75
17,Liverpool,24457,2009,2010,10(14),10,14.0,1013,5,0,1,0,1.7,70.3,0.6,1,6.69
18,Liverpool,12158,2009,2010,9(16),9,16.0,954,4,1,1,0,1.2,81.8,0.3,0,6.61
19,Liverpool,2940,2009,2010,8(6),8,6.0,655,0,1,1,0,0.8,70.8,0.1,0,6.57
20,Liverpool,44687,2009,2010,0(1),0,1.0,19,0,0,0,0,1.0,91.7,0.0,0,6.56
21,Liverpool,23167,2009,2010,1(2),1,2.0,89,0,0,0,0,1.0,92.9,0.0,0,6.51
22,Liverpool,5450,2009,2010,3(4),3,4.0,328,0,0,1,1,0.3,75.3,0.4,0,6.45
23,Liverpool,5035,2009,2010,1(7),1,7.0,200,0,1,0,0,0.8,85.2,0.1,0,6.33
24,Liverpool,6175,2009,2010,1(1),1,1.0,54,0,0,0,0,0.5,62.5,0.5,0,6.18
25,Liverpool,67296,2009,2010,0(4),0,4.0,40,0,0,0,0,0.8,78.1,0.0,0,6.18
26,Liverpool,86594,2009,2010,0(1),0,1.0,2,0,0,0,0,0.0,100.0,0.0,0,6.11
27,Liverpool,44068,2009,2010,1(2),1,2.0,76,0,0,0,0,0.7,88.9,0.0,0,6.09
28,Liverpool,67483,2009,2010,0(1),0,1.0,12,0,0,0,0,0.0,72.7,0.0,0,6.08
29,Liverpool,23244,2009,2010,0(1),0,1.0,1,0,0,0,0,0.0,100.0,0.0,0,6.0
0,Manchester City,831,2009,2010,2,2,0.0,180,0,0,0,0,0.0,85.1,3.0,0,7.61
1,Manchester City,14167,2009,2010,32(3),32,3.0,2871,23,7,6,0,3.6,81.7,0.1,6,7.57
2,Manchester City,188,2009,2010,34,34,0.0,2996,2,7,4,0,0.9,77.5,1.5,1,7.41
3,Manchester City,6363,2009,2010,25(1),25,1.0,2212,14,3,1,0,2.2,78.2,1.8,3,7.37
4,Manchester City,3817,2009,2010,31,31,0.0,2711,1,0,1,0,0.4,79.1,2.0,1,7.29
5,Manchester City,10136,2009,2010,21(4),21,4.0,1913,2,1,2,0,0.4,81.1,2.2,2,7.26
6,Manchester City,14269,2009,2010,14(2),14,2.0,1180,1,5,1,0,1.1,80.4,0.1,0,7.23
7,Manchester City,1982,2009,2010,26(6),26,6.0,2379,10,8,3,1,1.8,80.8,0.1,2,7.2
8,Manchester City,14244,2009,2010,23(4),23,4.0,2102,0,1,8,1,0.4,75.7,1.2,1,7.13
9,Manchester City,31212,2009,2010,3,3,0.0,270,0,0,0,0,0.0,35.4,0.0,0,7.04
10,Manchester City,341,2009,2010,8(5),8,5.0,815,1,1,2,0,0.5,77.4,1.1,0,7.03
