,Unnamed: 0,player_number,name,Year_start,Year_end,Test points,Decision tree points,Random forest points,XGBoost points,Polynomial points,dt delta ponts,rf delta ponts,xgb delta ponts,pl delta ponts
34,34,95422,Jordan Ferri,2016,2017,6.38,6.475084745762713,6.4223,6.447575,6.148727522862938,0.09508474576271286,0.042300000000000004,0.06757499999999972,0.231272477137062
35,35,328096,Jean-Philippe Mateta,2016,2017,7.01,7.056964285714287,7.1061000000000005,7.0385165,7.00203814200234,0.0469642857142869,0.09610000000000074,0.028516500000000278,0.007961857997659472
36,36,274906,Olivier Kemen,2016,2017,6.79,6.67875,6.839999999999993,6.786288,6.744710643953382,0.11125000000000007,0.04999999999999272,0.0037120000000001596,0.04528935604661832
37,37,4092,Rafael,2016,2017,6.24,6.203333333333331,6.171799999999998,6.262788,6.312079187161358,0.036666666666668846,0.06820000000000181,0.022787999999999364,0.07207918716135797
38,38,125004,Maxwel Cornet,2017,2018,6.69,6.808219178082194,6.940199999999996,6.9177213,6.804131676996618,0.11821917808219329,0.250199999999996,0.2277212999999998,0.11413167699661741
39,39,110154,Memphis Depay,2017,2018,6.47,6.381315789473685,6.218300000000002,6.22355,6.438622314872744,0.08868421052631437,0.2516999999999978,0.2464499999999994,0.03137768512725536
40,40,109807,Bertrand Traoré,2017,2018,6.8,6.982622950819673,6.9988,6.9214473,6.809812094339587,0.18262295081967306,0.1988000000000003,0.12144729999999981,0.009812094339586963
41,41,145996,Kenny Tete,2017,2018,6.38,6.426938775510204,6.315799999999999,6.305119,6.303102211627673,0.04693877551020442,0.06420000000000048,0.07488099999999953,0.07689778837232719
42,42,322096,Houssem Aouar,2017,2018,6.87,6.784204545454545,6.971200000000002,6.966595,7.201633060410492,0.08579545454545467,0.10120000000000218,0.09659499999999976,0.3316330604104918
43,43,296337,Ferland Mendy,2017,2018,6.23,6.690952380952384,6.677500000000002,6.702729,6.335344795501256,0.4609523809523832,0.44750000000000156,0.4727289999999993,0.10534479550125564
44,44,4092,Rafael,2017,2018,6.73,6.798059701492538,6.779700000000003,6.779672,6.834392089775655,0.0680597014925377,0.0497000000000023,0.04967199999999927,0.10439208977565428
45,45,27761,Marcelo,2017,2018,6.61,6.67875,6.669200000000001,6.6796613,6.624432735072033,0.06874999999999964,0.059200000000000585,0.06966129999999993,0.014432735072032798
46,46,71833,Anthony Lopes,2017,2018,7.2,7.400800000000001,7.396699999999997,7.495375,7.160120343539767,0.20080000000000098,0.1966999999999972,0.29537499999999994,0.03987965646023284
47,47,322095,Mouctar Diakhaby,2017,2018,6.85,6.733636363636363,6.784699999999999,6.9562454,7.001857372452447,0.11636363636363622,0.06530000000000058,0.1062454000000006,0.15185737245244724
48,48,22115,Jérémy Morel,2017,2018,6.54,6.614069767441863,6.572000000000002,6.576473,6.605242459408434,0.07406976744186267,0.032000000000001805,0.03647299999999998,0.06524245940843354
49,49,336074,Myziane Maolida,2017,2018,6.52,6.781315789473684,6.548799999999996,6.4613566,6.719955176622361,0.2613157894736844,0.028799999999996828,0.058643399999999346,0.19995517662236129
50,50,81949,Mathieu Gorgelin,2017,2018,6.63,7.155526315789473,6.896,6.779998,6.394709384907423,0.525526315789473,0.266,0.14999800000000008,0.23529061509257687
51,51,134893,Nabil Fekir,2017,2018,6.56,6.58162601626016,6.472599999999997,6.498281,6.474955156098882,0.021626016260160696,0.08740000000000236,0.06171899999999919,0.08504484390111777
52,52,34190,Mapou Yanga-Mbiwa,2017,2018,6.58,6.475084745762713,6.463000000000001,6.395536,6.5111197562296805,0.10491525423728731,0.1169999999999991,0.18446400000000018,0.06888024377031954
53,53,345987,Willem Geubbels,2017,2018,6.88,6.875714285714285,6.940399999999999,6.9101086,6.937352000183983,0.004285714285715336,0.06039999999999868,0.030108600000000152,0.05735200018398334
54,54,300705,Lucas Tousart,2017,2018,6.76,7.004,6.923999999999999,6.8891835,6.786783829233302,0.24399999999999977,0.1639999999999988,0.1291834999999999,0.02678382923330247
55,55,348654,Amine Gouiri,2017,2018,6.84,7.229268292682925,7.181500000000002,7.240334,6.816165196480595,0.3892682926829254,0.3415000000000026,0.40033399999999997,0.0238348035194047
56,56,106596,Sergi Darder,2017,2018,6.99,6.733636363636363,6.724200000000007,6.732657,7.269387211168863,0.2563636363636368,0.2657999999999934,0.25734300000000054,0.27938721116886267
57,57,95422,Jordan Ferri,2017,2018,6.38,6.203333333333331,6.287200000000001,6.3433204,6.131252052814914,0.17666666666666853,0.09279999999999866,0.036679600000000256,0.24874794718508575
58,58,357535,Lenny Pintor,2018,2019,7.19,6.808219178082194,6.959799999999999,6.9665585,7.097177942469705,0.3817808219178067,0.23020000000000174,0.22344150000000074,0.09282205753029515
59,59,370370,Yassin Fekir,2018,2019,6.04,6.865625000000001,6.485799999999999,6.428931,5.993835407485036,0.8256250000000014,0.4457999999999993,0.38893100000000036,0.0461645925149643
60,60,296337,Ferland Mendy,2018,2019,6.57,6.433763440860217,6.556099999999998,6.521217,6.537615925206564,0.1362365591397836,0.013900000000002244,0.04878300000000024,0.03238407479343586
61,61,146724,Léo Dubois,2018,2019,7.3,7.229268292682925,7.117899999999999,7.099951,7.2343888969704,0.07073170731707457,0.18210000000000104,0.20004899999999992,0.0656111030295996
62,62,125004,Maxwel Cornet,2018,2019,7.01,6.808219178082194,7.001,7.057773,7.074598099072406,0.2017808219178061,0.008999999999999453,0.04777300000000029,0.06459809907240643
63,63,243511,Jason Denayer,2018,2019,6.83,6.965294117647061,7.024599999999998,7.0388536,6.85762249983334,0.135294117647061,0.19459999999999766,0.2088536000000003,0.027622499833340086
64,64,322096,Houssem Aouar,2018,2019,7.06,6.808219178082194,6.8485000000000005,6.9432387,7.024004682642356,0.25178082191780593,0.21149999999999913,0.1167612999999994,0.03599531735764394
65,65,329356,Martin Terrier,2018,2019,6.93,7.400800000000001,7.033399999999995,6.965729,6.797292455340796,0.47080000000000144,0.10339999999999527,0.0357289999999999,0.13270754465920387
66,66,110154,Memphis Depay,2018,2019,7.07,7.247066666666665,7.266299999999997,7.2701893,6.9995446131718255,0.17706666666666493,0.19629999999999637,0.2001892999999999,0.07045538682817476
67,67,140090,Moussa Dembele,2018,2019,6.88,6.823809523809524,6.721899999999998,6.6675143,7.007630902727938,0.05619047619047546,0.1581000000000019,0.21248570000000022,0.12763090272793853
68,68,145996,Kenny Tete,2018,2019,6.61,6.84969696969697,6.8374,6.7742367,6.689546844248568,0.2396969696969693,0.22739999999999938,0.1642367,0.07954684424856762
69,69,109807,Bertrand Traoré,2018,2019,6.21,6.203333333333331,6.189299999999998,6.286768,6.1983813111240735,0.006666666666668597,0.020700000000002383,0.07676800000000039,0.01161868887592643
70,70,71833,Anthony Lopes,2018,2019,6.89,6.690952380952384,6.577199999999998,6.6876593,6.876693438888011,0.19904761904761603,0.31280000000000197,0.2023406999999997,0.013306561111988913
71,71,134893,Nabil Fekir,2018,2019,6.4,6.475084745762713,6.539499999999997,6.4813323,6.326496566608393,0.0750847457627124,0.1394999999999964,0.08133229999999969,0.07350343339160759
72,72,81949,Mathieu Gorgelin,2018,2019,7.22,7.155526315789473,7.065300000000002,7.089057,7.085187846944808,0.0644736842105269,0.1546999999999974,0.13094299999999937,0.13481215305519179
73,73,27761,Marcelo,2018,2019,6.2,6.203333333333331,6.160699999999999,6.2170486,6.150517894976061,0.00333333333333119,0.03930000000000078,0.01704859999999986,0.04948210502393913
74,74,22115,Jérémy Morel,2018,2019,6.57,6.717297297297296,6.632299999999997,6.569819,6.408231397446383,0.14729729729729613,0.06229999999999691,0.00018100000000043082,0.16176860255361714
75,75,354072,Oumar Solet,2018,2019,6.77,6.781315789473684,6.714899999999999,6.7398105,6.60202109533674,0.01131578947368439,0.05510000000000037,0.030189499999999647,0.1679789046632596
76,76,4092,Rafael,2018,2019,6.96,6.84969696969697,6.8389,6.6613708,6.952135280932098,0.11030303030303035,0.12110000000000021,0.2986291999999997,0.00786471906790176
77,77,300705,Lucas Tousart,2018,2019,7.14,7.247066666666665,7.212099999999998,7.2987914,7.101230339155396,0.10706666666666553,0.07209999999999805,0.15879140000000014,0.038769660844603315
78,78,348654,Amine Gouiri,2019,2020,7.07,6.965294117647061,7.076499999999999,7.050057,7.191700251740229,0.1047058823529392,0.006499999999999062,0.019943000000000488,0.12170025174022836
79,79,243511,Jason Denayer,2019,2020,6.55,6.585000000000001,6.5193,6.635111,6.684642927623332,0.03500000000000103,0.030699999999999505,0.08511100000000038,0.1346429276233323
80,80,110154,Memphis Depay,2019,2020,6.7,6.609148936170213,6.660400000000001,6.6848717,6.758428201660255,0.09085106382978747,0.03959999999999919,0.015128299999999761,0.058428201660254864
81,81,125004,Maxwel Cornet,2019,2020,6.76,6.787166666666666,6.930899999999996,6.9290457,6.846961110460492,0.027166666666666117,0.17089999999999606,0.16904569999999985,0.08696111046049193
82,82,354072,Oumar Solet,2019,2020,6.8,6.978035714285715,6.964199999999998,6.899478,6.9034330375247,0.1780357142857154,0.16419999999999835,0.0994780000000004,0.10343303752470057
83,83,117776,Thiago Mendes,2019,2020,7.17,7.368536585365852,7.364,7.289348,7.173790434497632,0.1985365853658525,0.19399999999999995,0.11934800000000045,0.003790434497632056
84,84,300705,Lucas Tousart,2019,2020,6.15,6.203333333333331,6.1282,6.0296555,6.115324650189512,0.05333333333333101,0.021800000000000708,0.12034450000000074,0.03467534981048814
85,85,140090,Moussa Dembele,2019,2020,6.36,6.433763440860217,6.392299999999998,6.353339,6.575055637234003,0.07376344086021636,0.03229999999999755,0.00666100000000025,0.2150556372340029
86,86,322096,Houssem Aouar,2019,2020,6.79,6.782250000000002,6.8651,6.7693763,6.829565934993248,0.007749999999997925,0.07509999999999994,0.0206236999999998,0.03956593499324779
87,87,231135,Joachim Andersen,2019,2020,6.76,6.784204545454545,6.7330000000000005,6.8106346,6.800185646956008,0.024204545454545645,0.026999999999999247,0.05063460000000042,0.040185646956008014
88,88,71833,Anthony Lopes,2019,2020,6.88,6.861333333333335,6.8052,6.841987,6.880871805295731,0.01866666666666461,0.07479999999999976,0.0380130000000003,0.0008718052957314981
89,89,329356,Martin Terrier,2019,2020,7.28,6.965294117647061,7.080499999999998,7.116089,7.173350517496435,0.31470588235293917,0.19950000000000223,0.16391100000000058,0.1066494825035651
90,90,32676,Ciprian Tatarusanu,2019,2020,7.37,7.400800000000001,7.340399999999997,7.2603374,7.44075046186699,0.03080000000000105,0.029600000000002957,0.10966260000000005,0.0707504618669903
91,91,145996,Kenny Tete,2019,2020,6.18,6.782916666666668,6.482600000000002,6.1795864,6.018899796337833,0.6029166666666681,0.30260000000000264,0.00041359999999990293,0.16110020366216649
92,92,146724,Léo Dubois,2019,2020,6.96,6.991470588235295,6.954000000000002,6.9361634,6.9792941545610665,0.031470588235294805,0.005999999999997563,0.023836600000000097,0.019294154561066534
93,93,27761,Marcelo,2019,2020,5.94,6.426,6.566900000000004,6.5052376,5.989650750832045,0.48599999999999977,0.6269000000000036,0.5652375999999997,0.04965075083204429
94,94,338780,Bruno Guimarães,2019,2020,7.05,6.860833333333336,6.930100000000008,7.0131373,6.855683778729522,0.18916666666666426,0.11989999999999146,0.03686269999999947,0.1943162212704781
95,95,109807,Bertrand Traoré,2019,2020,6.8,7.155526315789473,7.219600000000002,7.1610475,6.757026447737771,0.355526315789473,0.41960000000000175,0.36104749999999974,0.042973552262228765
96,96,389064,Melvin Bard,2019,2020,6.45,6.203333333333331,6.4448,6.453689,6.434986229183405,0.2466666666666688,0.0052000000000003155,0.0036889999999996093,0.015013770816595162
97,97,355659,Jean Lucas,2019,2020,6.92,7.056964285714287,6.937699999999993,6.971265,6.9395397111215065,0.13696428571428676,0.017699999999993388,0.051264999999999894,0.019539711121506542
98,98,4092,Rafael,2019,2020,6.4,6.614069767441863,6.540200000000001,6.5831923,5.989656667537213,0.21406976744186235,0.140200000000001,0.18319229999999997,0.4103433324627872
99,99,368272,Maxence Caqueret,2019,2020,6.38,6.475084745762713,6.360500000000001,6.3779254,6.590732157717235,0.09508474576271286,0.019499999999998963,0.0020746000000002596,0.21073215771723497
100,100,403850,Malo Gusto,2020,2021,6.6,6.609148936170213,6.757899999999999,6.810683,6.682215769476087,0.009148936170213062,0.1578999999999997,0.2106830000000004,0.082215769476087
101,101,146724,Léo Dubois,2020,2021,6.97,7.138260869565213,7.1852,7.2358794,6.925680221246711,0.1682608695652137,0.21520000000000028,0.2658794000000002,0.044319778753289185
102,102,110154,Memphis Depay,2020,2021,7.1,6.900476190476189,6.908,6.901821,7.070915026477912,0.19952380952381077,0.19199999999999928,0.19817899999999966,0.029084973522087942
103,103,243511,Jason Denayer,2020,2021,6.86,6.900476190476189,6.865999999999994,6.7499447,6.928980782506515,0.040476190476188556,0.00599999999999401,0.11005529999999997,0.06898078250651452
104,104,125004,Maxwel Cornet,2020,2021,6.31,6.433763440860217,6.456099999999999,6.283486,6.729750641632911,0.12376344086021707,0.14609999999999967,0.026513999999999704,0.41975064163291176
105,105,145996,Kenny Tete,2020,2021,6.57,6.464285714285715,6.571700000000002,6.584787,6.426958067232688,0.10571428571428498,0.001700000000001367,0.014787000000000106,0.14304193276731247
106,106,322096,Houssem Aouar,2020,2021,6.07,6.203333333333331,6.268499999999994,6.111167,6.037232811954855,0.13333333333333108,0.1984999999999939,0.04116699999999973,0.032767188045145446
107,107,320590,Tinotenda Kadewere,2020,2021,7.09,6.861333333333335,6.8957,6.8051276,6.998535150418954,0.22866666666666458,0.19430000000000014,0.28487240000000025,0.09146484958104573
108,108,71833,Anthony Lopes,2020,2021,6.52,6.8459090909090925,6.745900000000006,6.7217402,6.555640727411102,0.3259090909090929,0.22590000000000643,0.2017402000000006,0.0356407274111028
109,109,27761,Marcelo,2020,2021,6.53,6.58162601626016,6.604100000000004,6.66627,6.575100479057418,0.05162601626016006,0.07410000000000405,0.13626999999999967,0.04510047905741743
110,110,338780,Bruno Guimarães,2020,2021,6.81,6.860833333333336,6.817799999999998,6.87346,6.808448086990696,0.05083333333333595,0.007799999999998697,0.06346000000000007,0.0015519130093037958
111,111,319756,Lucas Paquetá,2020,2021,6.7,6.8459090909090925,6.866199999999999,6.908945,6.663530119497451,0.14590909090909232,0.16619999999999902,0.20894499999999994,0.0364698805025494
112,112,117776,Thiago Mendes,2020,2021,6.15,6.865625000000001,6.409600000000003,6.371658,6.276375594387118,0.7156250000000011,0.2596000000000025,0.2216579999999997,0.12637559438711765
113,113,231135,Joachim Andersen,2020,2021,7.35,7.368536585365852,7.392799999999995,7.371316,7.372901775415542,0.018536585365852787,0.042799999999995286,0.021316000000000557,0.022901775415542502
114,114,108055,Islam Slimani,2020,2021,6.59,6.84969696969697,6.681199999999999,6.7111306,6.641723920313392,0.25969696969696976,0.09119999999999884,0.12113059999999987,0.05172392031339257
115,115,107275,Mattia De Sciglio,2020,2021,6.77,6.574358974358974,6.569999999999998,6.4890633,6.69869235444266,0.19564102564102548,0.20000000000000195,0.2809366999999998,0.07130764555733915
116,116,377582,Djamel Benlamri,2020,2021,7.41,6.9719444444444445,7.160399999999999,7.0779085,7.429280122303583,0.43805555555555564,0.24960000000000093,0.33209149999999976,0.01928012230358256
117,117,140090,Moussa Dembele,2020,2021,7.29,6.0805,6.303399999999996,6.453818,7.296692187677513,1.2095000000000002,0.9866000000000037,0.836182,0.006692187677512784
118,118,368272,Maxence Caqueret,2020,2021,6.72,6.784204545454545,6.784199999999998,6.7339635,6.874051661301089,0.06420454545454568,0.06419999999999781,0.013963500000000018,0.15405166130108938
119,119,389064,Melvin Bard,2020,2021,6.75,6.797999999999999,6.728300000000001,6.7632866,6.722115998611176,0.047999999999999154,0.021699999999999164,0.013286599999999815,0.02788400138882441
120,120,2579,Andrea Pirlo,2014,2015,6.81,7.247066666666665,7.153599999999999,7.097184,6.959142775961584,0.4370666666666656,0.34359999999999946,0.28718400000000077,0.1491427759615842
121,121,97752,Paul Pogba,2014,2015,6.3,6.3625,6.3625,6.3448563,6.35929940867902,0.0625,0.0625,0.04485630000000018,0.059299408679020615
122,122,25008,Arturo Vidal,2014,2015,6.36,6.275555555555555,6.396999999999999,6.3642316,6.360223810352212,0.08444444444444521,0.036999999999999034,0.00423159999999978,0.00022381035221208379
123,123,15302,Stephan Lichtsteiner,2014,2015,6.56,6.692588235294116,6.692599999999999,6.6721206,6.6492505392434325,0.13258823529411679,0.13259999999999916,0.11212060000000079,0.08925053924343285
124,124,20664,Leonardo Bonucci,2014,2015,6.34,6.690952380952384,6.625899999999991,6.719472,6.473878227558017,0.3509523809523838,0.28589999999999094,0.3794719999999998,0.13387822755801704
125,125,6410,Patrice Evra,2014,2015,7.17,6.860833333333336,6.872800000000005,6.866069,7.257764093382098,0.30916666666666437,0.2971999999999948,0.3039309999999995,0.08776409338209845
126,126,90000,Roberto Pereyra,2014,2015,7.13,6.9719444444444445,7.166299999999996,7.16565,7.07386719818828,0.1580555555555554,0.036299999999996224,0.035650000000000404,0.05613280181171998
127,127,30635,Martín Cáceres,2014,2015,7.86,7.645384615384614,7.498400000000003,7.460052,7.878307224471431,0.21461538461538598,0.3615999999999975,0.3999480000000002,0.01830722447143085
128,128,3328,Gianluigi Buffon,2014,2015,6.27,6.433763440860217,6.519199999999997,6.430798,6.251922947274717,0.1637634408602171,0.24919999999999742,0.16079800000000066,0.018077052725282705
129,129,259527,Mattia Vitale,2014,2015,6.45,6.614069767441863,6.553199999999996,6.494969,6.347792353471285,0.16406976744186252,0.10319999999999574,0.04496900000000004,0.10220764652871495
130,130,13361,Fernando Llorente,2014,2015,6.6,6.781315789473684,6.698200000000001,6.692998,6.84257573758403,0.18131578947368432,0.09820000000000118,0.09299800000000058,0.24257573758403073
131,131,35549,Kwadwo Asamoah,2014,2015,6.32,6.203333333333331,6.378599999999995,6.2409062,6.364127551898654,0.11666666666666892,0.05859999999999488,0.07909379999999988,0.04412755189865347
132,132,9956,Marco Storari,2014,2015,7.32,7.247066666666665,7.089399999999997,7.0425124,7.612308234635198,0.07293333333333507,0.23060000000000347,0.2774876000000006,0.29230823463519773
133,133,9991,Giorgio Chiellini,2014,2015,6.65,6.995151515151515,6.859500000000001,6.843229,6.646774201211684,0.34515151515151477,0.20950000000000024,0.19322899999999965,0.00322579878831597
134,134,6075,Andrea Barzagli,2014,2015,6.89,6.978035714285715,6.904500000000001,6.9532347,6.96925922124916,0.08803571428571555,0.014500000000001734,0.06323470000000064,0.07925922124916074
135,135,77350,Rômulo,2014,2015,7.32,6.965294117647061,6.992899999999996,7.0296946,7.295610112475465,0.3547058823529392,0.32710000000000417,0.29030540000000027,0.02438988752453497
136,136,91213,Álvaro Morata,2014,2015,6.35,6.275555555555555,6.323300000000004,6.4313784,6.432128084214134,0.07444444444444454,0.026699999999995505,0.08137840000000018,0.08212808421413431
137,137,20211,Claudio Marchisio,2014,2015,6.98,6.965294117647061,7.006900000000002,7.0356493,6.998097480512523,0.014705882352939348,0.026900000000001256,0.05564929999999979,0.018097480512522246
138,138,23043,Simone Padoin,2014,2015,6.96,6.982622950819673,6.9211,6.9262605,6.843865510397008,0.022622950819672916,0.038899999999999935,0.033739500000000255,0.11613448960299166
139,139,9894,Simone Pepe,2014,2015,6.78,6.0805,6.543299999999997,6.4426694,6.856136064610672,0.6995000000000005,0.23670000000000346,0.3373306000000005,0.07613606461067146
140,140,125883,Kingsley Coman,2014,2015,7.11,6.917692307692308,6.939399999999999,6.929592,7.085914761164782,0.1923076923076925,0.1706000000000012,0.1804079999999999,0.024085238835218625
141,141,23547,Angelo Ogbonna,2014,2015,7.05,7.056964285714287,7.076400000000001,7.0469384,7.125843480619038,0.006964285714286866,0.026400000000001533,0.0030615999999996646,0.07584348061903778
142,142,30582,Sebastian Giovinco,2014,2015,6.0,6.0805,6.057200000000003,6.0550075,6.008993379215084,0.0804999999999998,0.05720000000000258,0.05500750000000032,0.008993379215083586
143,143,297001,Andrea Favilli,2015,2016,6.49,6.991470588235295,6.730299999999999,6.7525964,6.484350072114795,0.5014705882352946,0.24029999999999863,0.2625963999999996,0.0056499278852051305
144,144,123481,Mario Lemina,2015,2016,6.89,6.865625000000001,6.649399999999999,6.7977195,6.768600647555731,0.02437499999999826,0.2406000000000006,0.09228049999999932,0.1213993524442687
145,145,33878,Mauricio Isla,2015,2016,6.87,6.808219178082194,6.730100000000005,6.769508,6.849430879487702,0.06178082191780643,0.13989999999999547,0.10049200000000003,0.020569120512297978
146,146,13361,Fernando Llorente,2015,2016,6.89,6.781315789473684,6.728900000000002,6.6400213,6.47883079366684,0.10868421052631572,0.16109999999999758,0.24997869999999978,0.41116920633315956
147,147,44868,Juan Cuadrado,2015,2016,6.65,6.8459090909090925,6.826999999999999,6.7776833,6.581062408891141,0.19590909090909214,0.17699999999999871,0.12768329999999928,0.06893759110885966
148,148,23043,Simone Padoin,2015,2016,6.57,6.808219178082194,6.7049,6.6790876,6.514448093423203,0.2382191780821934,0.13490000000000002,0.10908759999999962,0.055551906576797094
149,149,6075,Andrea Barzagli,2015,2016,6.06,6.690952380952384,6.894999999999994,6.74635,6.100793914615919,0.630952380952384,0.8349999999999946,0.68635,0.040793914615919746
150,150,114863,Paulo Dybala,2015,2016,6.32,6.275555555555555,6.317299999999997,6.2686768,6.168011500821231,0.044444444444445175,0.0027000000000034774,0.05132320000000057,0.15198849917876966
