,Test points,Decision tree points,Random forest points,XGBoost points,Polynomial points
0,43,32.25714285714286,33.77,32.88556,43.00000000036107
1,54,45.31818181818182,50.97,54.58794,53.999999998964086
2,50,39.03333333333333,48.32,49.48583,49.9999999975671
3,39,37.892857142857146,38.12,37.209362,38.999999998964086
4,71,65.4054054054054,65.87,67.80829,71.00000000175805
5,33,37.892857142857146,39.55,37.831882,32.99999999989541
6,62,65.4054054054054,68.37,65.52889,61.99999999663578
7,56,44.2,43.57,44.025227,56.00000000036107
8,62,65.4054054054054,65.53,65.494576,61.99999999570446
9,54,47.666666666666664,47.89,45.577488,53.99999999942975
10,49,44.96666666666667,48.43,47.989742,48.99999999617012
11,58,65.4054054054054,61.5,58.397556,57.99999999384181
12,41,44.2,44.35,40.73326,41.000000002223715
13,62,51.793103448275865,52.9,53.421173,62.00000000036107
14,63,60.76190476190476,59.29,61.27946,62.9999999975671
15,64,65.4054054054054,62.49,64.41337,63.99999999663578
16,81,78.13333333333334,72.16,77.142944,81.00000000036107
17,56,51.793103448275865,55.03,54.60268,56.000000006414666
18,24,35.05555555555556,32.33,28.79354,23.99999999663578
19,50,47.666666666666664,47.48,46.503323,50.00000000036107
20,47,45.31818181818182,43.93,45.030426,47.00000000036107
21,77,78.13333333333334,75.34,77.71382,76.99999999570446
22,44,44.96666666666667,43.27,46.022583,44.00000000408636
23,33,37.892857142857146,41.31,40.011047,33.00000000129239
24,56,47.035714285714285,46.56,48.944813,56.00000000036107
25,47,44.96666666666667,46.24,46.264988,46.999999994773134
26,49,45.31818181818182,48.19,50.580475,48.99999999989541
27,38,32.25714285714286,36.47,37.334743,38.00000000175805
28,59,59.68292682926829,58.06,58.13228,58.99999999430747
29,36,35.05555555555556,34.68,37.597576,35.99999999710144
30,35,32.25714285714286,31.24,29.937958,34.999999994773134
31,34,32.25714285714286,34.83,37.859924,33.99999999337615
32,37,41.21875,41.91,43.238937,36.999999991047844
33,54,47.035714285714285,52.19,52.51346,53.99999999384181
34,45,39.03333333333333,36.55,37.525352,44.99999999617012
35,82,88.74074074074075,80.16,82.12921,82.000000005949
36,46,47.035714285714285,46.42,45.129917,45.999999998964086
37,40,37.892857142857146,37.11,35.62482,39.9999999975671
38,55,47.035714285714285,50.91,51.025883,54.999999998964086
39,50,47.035714285714285,47.0,48.528694,50.00000000082673
40,59,54.666666666666664,60.19,62.487625,58.999999994773134
41,63,59.68292682926829,56.65,59.147076,62.999999994773134
42,42,39.03333333333333,38.63,40.034615,42.00000000082673
43,66,60.76190476190476,62.7,63.640358,66.00000000036107
44,40,37.892857142857146,42.04,41.368504,39.99999999942975
45,53,60.76190476190476,56.22,49.129944,53.00000000082673
46,38,41.21875,39.21,38.63863,38.00000000315504
47,39,37.892857142857146,37.28,33.32136,38.99999999989541
