,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Points_Simple,Delta_Points_Simple
438,Getafe,2020,2021,38,9,11,18,28,43,38,36,2
439,Alaves,2020,2021,38,9,11,18,36,57,38,35,3
440,Elche,2020,2021,38,8,12,18,34,55,36,34,2
441,SD Huesca,2020,2021,38,7,13,18,34,53,34,35,-1
442,Real Valladolid,2020,2021,38,5,16,17,34,57,31,32,-1
443,Eibar,2020,2021,38,6,12,20,29,52,30,31,-1
444,Real Madrid,2021,2022,38,26,8,4,80,31,86,83,3
445,Barcelona,2021,2022,38,21,10,7,68,38,73,72,1
446,Atletico Madrid,2021,2022,38,21,8,9,65,43,71,67,4
447,Sevilla,2021,2022,38,18,16,4,53,30,70,67,3
448,Real Betis,2021,2022,38,19,8,11,62,40,65,68,-3
449,Real Sociedad,2021,2022,38,17,11,10,40,37,62,54,8
450,Villarreal,2021,2022,38,16,11,11,63,37,59,69,-10
451,Athletic Club,2021,2022,38,14,13,11,43,36,55,56,-1
452,Valencia,2021,2022,38,11,15,12,48,53,48,46,2
453,Osasuna,2021,2022,38,12,11,15,37,51,47,40,7
454,Celta Vigo,2021,2022,38,12,10,16,43,43,46,51,-5
455,Rayo Vallecano,2021,2022,38,11,9,18,39,50,42,43,-1
456,Elche,2021,2022,38,11,9,18,40,52,42,42,0
457,Espanyol,2021,2022,38,10,12,16,40,53,42,41,1
458,Getafe,2021,2022,38,8,15,15,33,41,39,42,-3
459,Cadiz,2021,2022,38,8,15,15,35,51,39,36,3
460,Mallorca,2021,2022,38,10,9,19,36,63,39,32,7
461,Granada,2021,2022,38,8,14,16,44,61,38,38,0
462,Levante,2021,2022,38,8,11,19,51,76,35,37,-2
463,Alaves,2021,2022,38,8,7,23,31,65,31,28,3
464,Paris Saint Germain,2014,2015,38,24,11,3,83,36,83,78,5
465,Lyon,2014,2015,38,22,9,7,72,33,75,78,-3
466,Monaco,2014,2015,38,20,11,7,51,26,71,74,-3
467,Marseille,2014,2015,38,21,6,11,76,42,69,75,-6
468,Saint-Etienne,2014,2015,38,19,12,7,51,30,69,69,0
469,Bordeaux,2014,2015,38,17,12,9,47,44,63,53,10
470,Montpellier,2014,2015,38,16,8,14,46,39,56,59,-3
471,Lille,2014,2015,38,16,8,14,43,42,56,53,3
472,Rennes,2014,2015,38,13,11,14,35,42,50,44,6
473,Guingamp,2014,2015,38,15,4,19,41,55,49,43,6
474,Nice,2014,2015,38,13,9,16,44,53,48,45,3
475,SC Bastia,2014,2015,38,12,11,15,37,46,47,43,4
476,Caen,2014,2015,38,12,10,16,54,55,46,51,-5
477,Nantes,2014,2015,38,11,12,15,29,40,45,39,6
478,Reims,2014,2015,38,12,8,18,47,66,44,40,4
479,Lorient,2014,2015,38,12,7,19,44,50,43,48,-5
480,Toulouse,2014,2015,38,12,6,20,43,64,42,39,3
481,Evian Thonon Gaillard,2014,2015,38,11,4,23,41,62,37,39,-2
482,Metz,2014,2015,38,7,9,22,31,61,30,29,1
483,Lens,2014,2015,38,7,8,23,32,61,29,30,-1
484,Paris Saint Germain,2015,2016,38,30,6,2,102,19,96,98,-2
485,Lyon,2015,2016,38,19,8,11,67,43,65,68,-3
486,Monaco,2015,2016,38,17,14,7,57,50,65,54,11
487,Nice,2015,2016,38,18,9,11,58,41,63,65,-2
488,Lille,2015,2016,38,15,15,8,39,27,60,61,-1
489,Saint-Etienne,2015,2016,38,17,7,14,42,37,58,58,0
490,Caen,2015,2016,38,16,6,16,39,52,54,43,11
491,Rennes,2015,2016,38,13,13,12,52,54,52,49,3
492,Angers,2015,2016,38,13,11,14,40,38,50,53,-3
493,SC Bastia,2015,2016,38,14,8,16,36,42,50,47,3
494,Bordeaux,2015,2016,38,12,14,12,50,57,50,45,5
495,Montpellier,2015,2016,38,14,7,17,49,47,49,55,-6
496,Marseille,2015,2016,38,10,18,10,48,42,48,52,-4
497,Nantes,2015,2016,38,12,12,14,33,44,48,40,8
498,Lorient,2015,2016,38,11,13,14,47,58,46,43,3
499,Guingamp,2015,2016,38,11,11,16,47,56,44,45,-1
500,Toulouse,2015,2016,38,9,13,16,45,55,40,43,-3
501,Reims,2015,2016,38,10,9,19,44,57,39,43,-4
502,GFC Ajaccio,2015,2016,38,8,13,17,37,58,37,35,2
503,Troyes,2015,2016,38,3,9,26,28,83,18,18,0
504,Monaco,2016,2017,38,30,5,3,107,31,95,92,3
505,Paris Saint Germain,2016,2017,38,27,6,5,83,27,87,89,-2
506,Nice,2016,2017,38,22,12,4,63,36,78,70,8
507,Lyon,2016,2017,38,21,4,13,80,48,67,73,-6
508,Marseille,2016,2017,38,17,11,10,57,41,62,63,-1
509,Bordeaux,2016,2017,38,15,14,9,53,43,59,57,2
510,Nantes,2016,2017,38,14,9,15,40,54,51,41,10
511,Saint-Etienne,2016,2017,38,12,14,12,41,42,50,49,1
512,Rennes,2016,2017,38,12,14,12,36,42,50,44,6
513,Guingamp,2016,2017,38,14,8,16,46,53,50,47,3
514,Lille,2016,2017,38,13,7,18,40,47,46,47,-1
515,Angers,2016,2017,38,13,7,18,40,49,46,45,1
516,Toulouse,2016,2017,38,10,14,14,37,41,44,46,-2
517,Metz,2016,2017,38,11,10,17,39,72,43,30,13
518,Montpellier,2016,2017,38,10,9,19,48,66,39,40,-1
519,Dijon,2016,2017,38,8,13,17,46,58,37,42,-5
520,Caen,2016,2017,38,10,7,21,36,65,37,32,5
521,Lorient,2016,2017,38,10,6,22,44,70,36,37,-1
522,Nancy,2016,2017,38,9,8,21,29,52,35,32,3
523,SC Bastia,2016,2017,38,8,10,20,29,57,34,29,5
524,Paris Saint Germain,2017,2018,38,29,6,3,108,29,93,93,0
525,Monaco,2017,2018,38,24,8,6,85,45,80,75,5
526,Lyon,2017,2018,38,23,9,6,87,43,78,76,2
527,Marseille,2017,2018,38,22,11,5,80,47,77,69,8
528,Rennes,2017,2018,38,16,10,12,50,44,58,56,2
529,Bordeaux,2017,2018,38,16,7,15,53,48,55,57,-2
530,Saint-Etienne,2017,2018,38,15,10,13,47,50,55,49,6
531,Nice,2017,2018,38,15,9,14,53,52,54,53,1
532,Nantes,2017,2018,38,14,10,14,36,41,52,47,5
533,Montpellier,2017,2018,38,11,18,9,36,33,51,50,1
534,Dijon,2017,2018,38,13,9,16,55,73,48,42,6
535,Guingamp,2017,2018,38,12,11,15,48,59,47,44,3
536,Amiens,2017,2018,38,12,9,17,37,42,45,47,-2
537,Angers,2017,2018,38,9,14,15,42,52,41,42,-1
538,Strasbourg,2017,2018,38,9,11,18,44,67,38,36,2
539,Caen,2017,2018,38,10,8,20,27,52,38,30,8
540,Lille,2017,2018,38,10,8,20,41,67,38,35,3
541,Toulouse,2017,2018,38,9,10,19,38,54,37,39,-2
542,Troyes,2017,2018,38,9,6,23,32,59,33,32,1
543,Metz,2017,2018,38,6,8,24,34,76,26,25,1
544,Paris Saint Germain,2018,2019,38,29,4,5,105,35,91,90,1
545,Lille,2018,2019,38,22,9,7,68,33,75,77,-2
546,Lyon,2018,2019,38,21,9,8,70,47,72,66,6
547,Saint-Etienne,2018,2019,38,19,9,10,59,41,66,65,1
548,Marseille,2018,2019,38,18,7,13,60,52,61,58,3
549,Montpellier,2018,2019,38,15,14,9,53,42,59,58,1
550,Nice,2018,2019,38,15,11,12,30,35,56,45,11
551,Reims,2018,2019,38,13,16,9,39,42,55,46,9
552,Nimes,2018,2019,38,15,8,15,57,58,53,52,1
553,Rennes,2018,2019,38,13,13,12,55,52,52,52,0
554,Strasbourg,2018,2019,38,11,16,11,58,48,49,55,-6
555,Nantes,2018,2019,38,13,9,16,48,48,48,52,-4
556,Angers,2018,2019,38,10,16,12,44,49,46,45,1
557,Bordeaux,2018,2019,38,10,11,17,34,42,41,43,-2
558,Amiens,2018,2019,38,9,11,18,31,52,38,33,5
559,Toulouse,2018,2019,38,8,14,16,35,57,38,33,5
560,Monaco,2018,2019,38,8,12,18,38,57,36,36,0
561,Dijon,2018,2019,38,9,7,22,31,60,34,30,4
562,Caen,2018,2019,38,7,12,19,29,54,33,30,3
563,Guingamp,2018,2019,38,5,12,21,28,68,27,22,5
564,Paris Saint Germain,2019,2020,27,22,2,3,75,24,68,65,3
565,Marseille,2019,2020,28,16,8,4,41,29,56,47,9
566,Rennes,2019,2020,28,15,5,8,38,24,50,51,-1
567,Lille,2019,2020,28,15,4,9,35,27,49,47,2
568,Reims,2019,2020,28,10,11,7,26,21,41,41,0
569,Nice,2019,2020,28,11,8,9,41,38,41,40,1
570,Lyon,2019,2020,28,11,7,10,42,27,40,50,-10
571,Montpellier,2019,2020,28,11,7,10,35,34,40,39,1
572,Monaco,2019,2020,28,11,7,10,44,44,40,38,2
573,Angers,2019,2020,28,11,6,11,28,33,39,34,5
574,Strasbourg,2019,2020,27,11,5,11,32,32,38,38,0
575,Bordeaux,2019,2020,28,9,10,9,40,34,37,41,-4
576,Nantes,2019,2020,28,11,4,13,28,31,37,37,0
577,Brest,2019,2020,28,8,10,10,34,37,34,34,0
578,Metz,2019,2020,28,8,10,10,27,35,34,30,4
579,Dijon,2019,2020,28,7,9,12,27,37,30,29,1
580,Saint-Etienne,2019,2020,28,8,6,14,29,45,30,27,3
581,Nimes,2019,2020,28,7,6,15,29,44,27,27,0
582,Amiens,2019,2020,28,4,11,13,31,50,23,24,-1
583,Toulouse,2019,2020,28,3,4,21,22,58,13,16,-3
584,Lille,2020,2021,38,24,11,3,64,23,83,83,0
585,Paris Saint Germain,2020,2021,38,26,4,8,86,28,82,91,-9
586,Monaco,2020,2021,38,24,6,8,76,42,78,75,3
587,Lyon,2020,2021,38,22,10,6,81,43,76,73,3
588,Marseille,2020,2021,38,16,12,10,54,47,60,55,5
589,Rennes,2020,2021,38,16,10,12,52,40,58,61,-3
590,Lens,2020,2021,38,15,12,11,55,54,57,51,6
591,Montpellier,2020,2021,38,14,12,12,60,62,54,49,5
592,Nice,2020,2021,38,15,7,16,50,53,52,51,1
593,Metz,2020,2021,38,12,11,15,44,48,47,48,-1
594,Saint-Etienne,2020,2021,38,12,10,16,42,54,46,42,4
595,Bordeaux,2020,2021,38,13,6,19,42,56,45,43,2
596,Angers,2020,2021,38,12,8,18,40,58,44,39,5
597,Reims,2020,2021,38,9,15,14,42,50,42,43,-1
598,Strasbourg,2020,2021,38,11,9,18,49,58,42,46,-4
599,Lorient,2020,2021,38,11,9,18,50,68,42,41,1
600,Brest,2020,2021,38,11,8,19,50,66,41,42,-1
601,Nantes,2020,2021,38,9,13,16,47,55,40,44,-4
602,Nimes,2020,2021,38,9,8,21,40,71,35,32,3
603,Dijon,2020,2021,38,4,9,25,25,73,21,19,2
604,Paris Saint Germain,2021,2022,38,26,8,4,90,36,86,82,4
605,Marseille,2021,2022,38,21,8,9,63,38,71,71,0
606,Monaco,2021,2022,38,20,9,9,65,40,69,69,0
607,Nice,2021,2022,38,20,7,11,52,36,67,66,1
608,Rennes,2021,2022,38,20,6,12,82,40,66,79,-13
609,Strasbourg,2021,2022,38,17,12,9,60,43,63,62,1
610,Lyon,2021,2022,38,17,11,10,66,51,62,60,2
611,Lens,2021,2022,38,17,11,10,62,48,62,60,2
612,Nantes,2021,2022,38,15,10,13,55,48,55,56,-1
613,Lille,2021,2022,38,14,13,11,48,48,55,50,5
614,Brest,2021,2022,38,13,9,16,49,57,48,46,2
615,Reims,2021,2022,38,11,13,14,43,44,46,49,-3
616,Montpellier,2021,2022,38,12,7,19,49,61,43,45,-2
617,Angers,2021,2022,38,10,11,17,44,55,41,43,-2
618,Troyes,2021,2022,38,9,11,18,37,53,38,38,0
619,Lorient,2021,2022,38,8,12,18,35,63,36,31,5
620,Clermont Foot,2021,2022,38,9,9,20,38,69,36,31,5
621,Saint-Etienne,2021,2022,38,7,11,20,42,77,32,30,2
622,Metz,2021,2022,38,6,13,19,35,69,31,28,3
623,Bordeaux,2021,2022,38,6,13,19,52,91,31,31,0
624,Juventus,2014,2015,38,26,9,3,72,24,87,86,1
625,Roma,2014,2015,38,19,13,6,54,31,70,69,1
626,Lazio,2014,2015,38,21,6,11,71,38,69,76,-7
627,Fiorentina,2014,2015,38,18,10,10,61,46,64,62,2
628,Napoli,2014,2015,38,18,9,11,70,54,63,61,2
629,Genoa,2014,2015,38,16,11,11,62,47,59,61,-2
630,Sampdoria,2014,2015,38,13,17,8,48,42,56,53,3
631,Inter,2014,2015,38,14,13,11,59,48,55,57,-2
632,Torino,2014,2015,38,14,12,12,48,45,54,53,1
633,AC Milan,2014,2015,38,13,13,12,56,50,52,54,-2
634,Palermo,2014,2015,38,12,13,13,53,55,49,49,0
635,Sassuolo,2014,2015,38,12,13,13,49,57,49,45,4
636,Verona,2014,2015,38,11,13,14,49,65,46,40,6
637,Chievo,2014,2015,38,10,13,15,28,41,43,37,6
638,Empoli,2014,2015,38,8,18,12,46,52,42,43,-1
639,Udinese,2014,2015,38,10,11,17,43,56,41,42,-1
640,Atalanta,2014,2015,38,7,16,15,38,57,37,35,2
641,Cagliari,2014,2015,38,8,10,20,48,68,34,39,-5
642,Parma,2014,2015,38,6,8,24,33,75,26,25,1
643,Cesena,2014,2015,38,4,12,22,36,73,24,27,-3
644,Juventus,2015,2016,38,29,4,5,75,20,91,95,-4
645,Napoli,2015,2016,38,25,7,6,80,32,82,83,-1
646,Roma,2015,2016,38,23,11,4,83,41,80,75,5
647,Inter,2015,2016,38,20,7,11,50,38,67,63,4
648,Fiorentina,2015,2016,38,18,10,10,60,42,64,64,0
649,Sassuolo,2015,2016,38,16,13,9,49,40,61,57,4
650,AC Milan,2015,2016,38,15,12,11,49,43,57,55,2
651,Lazio,2015,2016,38,15,9,14,52,52,54,52,2
652,Chievo,2015,2016,38,13,11,14,43,45,50,49,1
653,Genoa,2015,2016,38,13,7,18,45,48,46,51,-5
654,Empoli,2015,2016,38,12,10,16,40,49,46,44,2
655,Torino,2015,2016,38,12,9,17,52,55,45,50,-5
656,Atalanta,2015,2016,38,11,12,15,41,47,45,46,-1
657,Bologna,2015,2016,38,11,9,18,33,45,42,41,1
658,Sampdoria,2015,2016,38,10,10,18,48,61,40,43,-3
659,Udinese,2015,2016,38,10,9,19,35,60,39,33,6
660,Palermo,2015,2016,38,10,9,19,38,65,39,33,6
661,Carpi,2015,2016,38,9,11,18,37,57,38,36,2
662,Frosinone,2015,2016,38,8,7,23,35,76,31,27,4
663,Verona,2015,2016,38,5,13,20,34,63,28,29,-1
664,Juventus,2016,2017,38,29,4,5,77,27,91,89,2
665,Roma,2016,2017,38,28,3,7,90,38,87,85,2
666,Napoli,2016,2017,38,26,8,4,94,39,86,82,4
667,Atalanta,2016,2017,38,21,9,8,62,41,72,67,5
668,Lazio,2016,2017,38,21,7,10,74,51,70,67,3
669,AC Milan,2016,2017,38,18,9,11,57,45,63,61,2
670,Inter,2016,2017,38,19,5,14,72,49,62,68,-6
671,Fiorentina,2016,2017,38,16,12,10,63,57,60,54,6
672,Torino,2016,2017,38,13,14,11,71,66,53,52,1
673,Sassuolo,2016,2017,38,14,7,17,60,61,49,52,-3
674,Sampdoria,2016,2017,38,12,12,14,49,55,48,46,2
675,Cagliari,2016,2017,38,14,5,19,55,76,47,42,5
676,Udinese,2016,2017,38,12,9,17,47,56,45,46,-1
677,Chievo,2016,2017,38,12,7,19,43,61,43,40,3
678,Bologna,2016,2017,38,11,8,19,40,58,41,39,2
679,Genoa,2016,2017,38,9,9,20,38,64,36,34,2
680,Crotone,2016,2017,38,9,7,22,34,58,34,34,0
681,Empoli,2016,2017,38,8,8,22,29,61,32,27,5
682,Palermo,2016,2017,38,6,8,24,33,77,26,24,2
683,Pescara,2016,2017,38,2,9,27,35,83,15,24,-9
684,Juventus,2017,2018,38,30,5,3,86,24,95,93,2
685,Napoli,2017,2018,38,28,7,3,77,29,91,85,6
686,Roma,2017,2018,38,23,8,7,61,28,77,79,-2
687,Lazio,2017,2018,38,21,9,8,89,49,72,73,-1
688,Inter,2017,2018,38,20,12,6,66,30,72,76,-4
689,AC Milan,2017,2018,38,18,10,10,56,42,64,62,2
690,Atalanta,2017,2018,38,16,12,10,57,39,60,64,-4
691,Fiorentina,2017,2018,38,16,9,13,54,46,57,58,-1
692,Torino,2017,2018,38,13,15,10,54,46,54,55,-1
693,Sampdoria,2017,2018,38,16,6,16,56,60,54,51,3
694,Sassuolo,2017,2018,38,11,10,17,29,59,43,28,15
695,Genoa,2017,2018,38,11,8,19,33,43,41,43,-2
696,Udinese,2017,2018,38,12,4,22,48,63,40,44,-4
697,Chievo,2017,2018,38,10,10,18,36,59,40,34,6
698,Bologna,2017,2018,38,11,6,21,40,52,39,44,-5
699,Cagliari,2017,2018,38,11,6,21,33,61,39,32,7
700,SPAL 2013,2017,2018,38,8,14,16,39,59,38,35,3
701,Crotone,2017,2018,38,9,8,21,40,66,35,35,0
702,Verona,2017,2018,38,7,4,27,30,78,25,22,3
703,Benevento,2017,2018,38,6,3,29,33,84,21,23,-2
704,Juventus,2018,2019,38,28,6,4,70,30,90,82,8
705,Napoli,2018,2019,38,24,7,7,74,36,79,78,1
706,Atalanta,2018,2019,38,20,9,9,77,46,69,70,-1
707,Inter,2018,2019,38,20,9,9,57,33,69,71,-2
708,AC Milan,2018,2019,38,19,11,8,55,36,68,66,2
709,Roma,2018,2019,38,18,12,8,66,48,66,62,4
710,Torino,2018,2019,38,16,15,7,52,37,63,61,2
711,Lazio,2018,2019,38,17,8,13,56,46,59,60,-1
712,Sampdoria,2018,2019,38,15,8,15,60,51,53,59,-6
713,Bologna,2018,2019,38,11,11,16,48,56,44,45,-1
714,Sassuolo,2018,2019,38,9,16,13,53,60,43,44,-1
715,Udinese,2018,2019,38,11,10,17,39,53,43,41,2
716,SPAL 2013,2018,2019,38,11,9,18,44,56,42,43,-1
717,Fiorentina,2018,2019,38,8,17,13,47,45,41,49,-8
718,Cagliari,2018,2019,38,10,11,17,36,54,41,37,4
719,Parma Calcio 1913,2018,2019,38,10,11,17,41,61,41,37,4
720,Genoa,2018,2019,38,8,14,16,39,57,38,37,1
721,Empoli,2018,2019,38,10,8,20,51,70,38,41,-3
722,Frosinone,2018,2019,38,5,10,23,29,69,25,23,2
723,Chievo,2018,2019,38,2,14,22,25,75,20,17,3
724,Juventus,2019,2020,38,26,5,7,76,43,83,75,8
725,Inter,2019,2020,38,24,10,4,81,36,82,78,4
726,Atalanta,2019,2020,38,23,9,6,98,48,78,76,2
727,Lazio,2019,2020,38,24,6,8,79,42,78,76,2
728,Roma,2019,2020,38,21,7,10,77,51,70,68,2
729,AC Milan,2019,2020,38,19,9,10,63,46,66,63,3
730,Napoli,2019,2020,38,18,8,12,61,50,62,60,2
731,Sassuolo,2019,2020,38,14,9,15,69,63,51,55,-4
732,Fiorentina,2019,2020,38,12,13,13,51,48,49,52,-3
733,Parma Calcio 1913,2019,2020,38,14,7,17,56,57,49,52,-3
734,Verona,2019,2020,38,12,13,13,47,51,49,47,2
735,Bologna,2019,2020,38,12,11,15,52,65,47,43,4
736,Cagliari,2019,2020,38,11,12,15,52,56,45,48,-3
737,Udinese,2019,2020,38,12,9,17,37,51,45,40,5
738,Sampdoria,2019,2020,38,12,6,20,48,65,42,42,0
739,Torino,2019,2020,38,11,7,20,46,68,40,39,1
740,Genoa,2019,2020,38,10,9,19,47,73,39,36,3
741,Lecce,2019,2020,38,9,8,21,52,85,35,35,0
742,Brescia,2019,2020,38,6,7,25,35,79,25,25,0
743,SPAL 2013,2019,2020,38,5,5,28,27,77,20,20,0
744,Inter,2020,2021,38,28,7,3,89,35,91,84,7
745,AC Milan,2020,2021,38,24,7,7,74,41,79,74,5
746,Atalanta,2020,2021,38,23,9,6,90,47,78,74,4
747,Juventus,2020,2021,38,23,9,6,77,38,78,76,2
748,Napoli,2020,2021,38,24,5,9,86,41,77,80,-3
749,Lazio,2020,2021,38,21,5,12,61,55,68,58,10
750,Roma,2020,2021,38,18,9,11,68,55,63,60,3
751,Sassuolo,2020,2021,38,17,11,10,64,56,62,56,6
752,Sampdoria,2020,2021,38,15,7,16,52,54,52,52,0
753,Verona,2020,2021,38,10,13,15,43,48,43,46,-3
754,Genoa,2020,2021,38,10,12,16,47,58,42,43,-1
755,Bologna,2020,2021,38,10,11,17,51,65,41,42,-1
756,Fiorentina,2020,2021,38,9,13,16,47,59,40,42,-2
757,Udinese,2020,2021,38,10,10,18,42,58,40,40,0
758,Spezia,2020,2021,38,9,12,17,52,72,39,39,0
759,Cagliari,2020,2021,38,9,10,19,43,59,37,40,-3
760,Torino,2020,2021,38,7,16,15,50,69,37,38,-1
761,Benevento,2020,2021,38,7,12,19,40,75,33,29,4
762,Crotone,2020,2021,38,6,5,27,45,92,23,29,-6
763,Parma Calcio 1913,2020,2021,38,3,11,24,39,83,20,26,-6
764,AC Milan,2021,2022,38,26,8,4,69,31,86,79,7
765,Inter,2021,2022,38,25,9,4,84,32,84,83,1
766,Napoli,2021,2022,38,24,7,7,74,31,79,82,-3
767,Juventus,2021,2022,38,20,10,8,57,37,70,67,3
768,Lazio,2021,2022,38,18,10,10,77,58,64,62,2
769,Roma,2021,2022,38,18,9,11,59,43,63,63,0
770,Fiorentina,2021,2022,38,19,5,14,59,51,62,60,2
771,Atalanta,2021,2022,38,16,11,11,65,48,59,62,-3
772,Verona,2021,2022,38,14,11,13,65,59,53,54,-1
773,Torino,2021,2022,38,13,11,14,46,41,50,55,-5
774,Sassuolo,2021,2022,38,13,11,14,64,66,50,50,0
775,Udinese,2021,2022,38,11,14,13,61,58,47,51,-4
776,Bologna,2021,2022,38,12,10,16,44,55,46,43,3
777,Empoli,2021,2022,38,10,11,17,50,70,41,39,2
778,Sampdoria,2021,2022,38,10,6,22,46,63,36,42,-6
779,Spezia,2021,2022,38,10,6,22,41,71,36,34,2
780,Salernitana,2021,2022,38,7,10,21,33,78,31,23,8
781,Cagliari,2021,2022,38,6,12,20,34,68,30,28,2
782,Genoa,2021,2022,38,4,16,18,27,60,28,24,4
783,Venezia,2021,2022,38,6,9,23,34,69,27,28,-1
