,Unnamed: 0,age,height,id,name,position,weight
0,0,35,180,8040,Cesc Fàbregas," M(CL),FW",77
1,1,39,183,4564,Robin van Persie," AM(C),FW",71
2,2,36,191,18214,Abou Diaby, M(C),75
3,3,35,185,10599,Alexandre Song, M(C),74
4,4,32,181,27550,Kieran Gibbs," D(L),M(L)",73
5,5,37,176,6042,Gaël Clichy, D(L),65
6,6,36,183,10209,Thomas Vermaelen, D(CL),80
7,7,41,172,4599,Andrey Arshavin, AM(LR),69
8,8,34,182,22649,Denílson, M(C),70
9,9,32,185,24366,Armand Traore," D(L),M(L)",81
10,10,35,175,13298,Samir Nasri, M(CLR),75
11,11,45,181,1554,William Gallas, D(C),69
12,12,48,188,958,Sol Campbell, D(L),88
13,13,39,176,19471,Bacary Sagna, D(CR),72
14,14,39,178,8039,Emmanuel Eboué, D(R),72
15,15,34,193,13819,Nicklas Bendtner, FW,84
16,16,41,178,845,Tomas Rosicky, M(CR),65
17,17,31,178,26820,Aaron Ramsey, M(CLR),76
18,18,34,188,21682,Vito Mannone, GK,77
19,19,31,173,82231,Craig Eastmond, M(C),75
20,20,45,184,523,Mikaël Silvestre, D(C),85
21,21,33,176,13796,Theo Walcott," M(CLR),FW",68
22,22,39,177,7412,Eduardo da Silva," M(C),FW",72
23,23,45,191,8041,Manuel Almunia, GK,86
24,24,35,191,11680,Johan Djourou, D(C),87
25,25,32,177,32860,Fran Mérida, AM(C),74
26,26,37,190,20973,Lukasz Fabianski, GK,83
27,27,31,183,32858,Henri Lansbury, M(C),78
28,28,33,177,25165,Carlos Vela," M(CLR),FW",77
29,29,30,172,42686,Jack Wilshere, M(CLR),68
0,0,44,189,4384,Didier Drogba, FW,91
1,1,44,184,48,Frank Lampard, M(C),89
2,2,42,184,1563,Florent Malouda, M(CL),73
3,3,39,183,1832,Michael Essien," D(R),DMC",78
4,4,43,185,527,Nicolas Anelka, FW,77
5,5,38,185,15338,Branislav Ivanovic, D(CR),80
6,6,45,175,2351,Deco, M(C),69
7,7,41,176,342,Ashley Cole," D(L),M(L)",66
8,8,40,183,10685,José Bosingwa, D(CLR),75
9,9,40,188,10132,Alex, D(C),92
10,10,41,187,70,John Terry, D(C),90
11,11,44,183,6666,Ricardo Carvalho, D(C),79
12,12,45,189,255,Michael Ballack," D(C),M(C),FW",88
13,13,35,188,15464,John Obi Mikel, M(C),83
14,14,39,180,7252,Yuri Zhirkov," D(L),M(CL)",75
15,15,40,175,487,Joe Cole, M(LR),63
16,16,43,181,7010,Paulo Ferreira, D(R),76
17,17,40,196,6775,Petr Cech, GK,90
18,18,37,185,8028,Salomon Kalou," AM(CLR),FW",79
19,19,46,174,3574,Juliano Belletti, Defender,69
20,20,33,182,27551,Sam Hutchinson," D(C),DMC",73
21,21,32,176,78221,Patrick van Aanholt," D(L),M(L)",74
22,22,34,194,38128,Nemanja Matic, DMC,85
23,23,30,190,80881,Jeffrey Bruma, D(C),88
24,24,37,193,10874,Ross Turnbull, GK,85
25,25,33,188,23736,Daniel Sturridge," M(R),FW",76
26,26,46,189,14115,Henrique Hilário, Goalkeeper,85
27,27,31,173,70291,Gaël Kakuta," M(CLR),FW",64
28,28,31,180,80882,Fabio Borini," M(CLR),FW",73
29,29,45,183,179,Andriy Shevchenko, M(C),72
0,0,38,186,4056,Fernando Torres, FW,79
1,1,38,182,4574,Glen Johnson," D(CLR),M(R)",78
2,2,42,185,17,Steven Gerrard, M(C),82
3,3,43,193,3061,Sotirios Kyrgiakos," D(L),DMC",88
4,4,35,179,31451,Lucas Leiva," D(C),M(C)",74
5,5,38,174,7415,Javier Mascherano," D(C),M(C)",73
6,6,33,180,26817,Emiliano Insúa," D(CL),M(L)",79
7,7,41,180,4445,Maxi Rodríguez," M(CL),FW",75
8,8,37,188,7398,Daniel Agger, D(C),79
9,9,42,184,7516,Dirk Kuyt," M(CLR),FW",77
10,10,42,178,4490,Yossi Benayoun, M(R),70
11,11,40,188,4958,Albert Riera," D(L),M(L)",83
12,12,44,185,1329,Jamie Carragher, D(C),76
13,13,40,188,2987,Pepe Reina, GK,92
14,14,37,191,19840,Martin Skrtel, D(C),81
15,15,38,185,9989,Alberto Aquilani, M(C),81
16,16,31,190,78559,Daniel Ayala, D(C),81
17,17,33,190,24457,David N'Gog, FW,76
18,18,35,185,12158,Ryan Babel," M(LR),FW",79
19,19,42,178,2940,Fábio Aurélio," D(C),FW",75
20,20,32,191,44687,Martin Kelly, D(CLR),77
21,21,36,171,23167,Nabil El Zhar, M(CLR),66
22,22,39,185,5450,Philipp Degen, D(R),81
23,23,43,174,5035,Andrey Voronin," AM(C),FW",81
24,24,41,181,6175,Andrea Dossena," D(L),M(L)",77
25,25,31,170,67296,Dani Pacheco, Midfielder,70
26,26,29,168,86594,Jack Robinson," D(CL),M(L)",64
27,27,33,171,44068,Jay Spearing, M(C),71
28,28,31,177,67483,Nathan Eccleston, Forward,65
29,29,33,183,23244,Stephen Darby, Defender,75
0,0,42,188,831,Richard Dunne, D(C),89
1,1,38,173,14167,Carlos Tevez," AM(CL),FW",75
2,2,41,185,188,Gareth Barry, M(C),87
3,3,38,191,6363,Emmanuel Adebayor, FW,82
4,4,41,183,3817,Kolo Touré, D(C),74
5,5,36,193,10136,Vincent Kompany, D(C),85
6,6,35,175,14269,Adam Johnson, M(CLR),63
7,7,43,175,1982,Craig Bellamy, AM(R),68
8,8,37,176,14244,Pablo Zabaleta," D(R),DMC,M(R)",74
9,9,39,196,31212,Marton Fülöp, GK,92
10,10,46,192,341,Patrick Vieira," D(C),DMC",82
11,11,40,190,8137,Joleon Lescott, D(CL),89
12,12,42,178,836,Wayne Bridge, D(L),69
13,13,34,180,14168,Micah Richards, D(CR),83
14,14,40,168,2703,Shaun Wright-Phillips, M(LR),64
15,15,37,174,4608,Nigel de Jong, M(C),72
16,16,44,188,3987,Benjani, FW,78
17,17,37,180,6210,Javier Garrido, D(CL),76
18,18,36,173,14169,Stephen Ireland, M(C),67
19,19,43,180,2910,Martin Petrov," M(CL),FW",77
20,20,35,183,11669,Nedum Onuoha, D(CR),94
21,21,46,185,1034,Shay Given, GK,84
22,22,38,172,14247,Robinho," AM(CLR),FW",60
23,23,48,173,130,Sylvinho, D(C),66
24,24,41,191,954,Roque Santa Cruz, FW,93
25,25,35,191,43073,Gunnar Nielsen, GK,85
26,26,31,188,83032,Dedryck Boyata, D(C),84
27,27,31,185,83211,Abdisalam Abdulkadir Ibrahim, M(C),71
28,28,31,180,85465,Alex Nimely, Forward,74
29,29,31,183,83394,Greg Cunningham," D(CL),M(L)",77
30,30,34,183,22606,Michael Johnson, Midfielder,80
0,0,36,176,3859,Wayne Rooney," M(CLR),FW",83
1,1,32,172,4092,Rafael," D(LR),M(R)",78
2,2,40,189,9685,Nemanja Vidic, D(C),84
3,3,33,186,31856,Ritchie De Laet, D(CLR),77
4,4,35,178,19104,Nani," M(CLR),FW",66
5,5,37,180,18296,Antonio Valencia," D(R),M(R)",83
6,6,48,180,77,Ryan Giggs, M(CL),68
7,7,41,174,6410,Patrice Evra," D(CL),M(L)",75
8,8,41,188,2213,Dimitar Berbatov," AM(C),FW",79
9,9,34,188,22079,Jonny Evans, D(CL),77
10,10,38,183,5835,Darren Fletcher, M(C),83
11,11,40,191,7884,Tomasz Kuszczak, GK,84
12,12,47,168,11,Paul Scholes, M(C),70
13,13,42,185,1019,Wes Brown, D(C),77
14,14,51,197,3101,Edwin van der Sar, GK,84
15,15,41,188,2115,Michael Carrick," D(C),M(C)",74
16,16,47,180,119,Gary Neville, D(R),79
17,17,43,189,928,Rio Ferdinand, D(C),82
18,18,34,183,30395,Darron Gibson, M(C),90
19,19,41,175,3203,Park Ji-Sung, M(CLR),72
20,20,34,176,21723,Anderson, M(CR),69
21,21,39,193,11530,Ben Foster, GK,79
22,22,41,191,3841,John O'Shea, D(C),75
23,23,32,172,44031,Fábio," D(LR),M(R)",66
24,24,31,185,71330,Federico Macheda, FW,77
25,25,42,173,7,Michael Owen, FW,70
26,26,34,185,26013,Mame Diouf," M(LR),FW",79
27,27,33,186,22818,Gabriel Obertan," M(CLR),FW",79
28,28,31,185,39308,Danny Welbeck," AM(CLR),FW",73
29,29,41,180,553,Owen Hargreaves, Midfielder,74
0,0,33,185,13812,Gareth Bale," M(CLR),FW",81
1,1,38,188,4905,Michael Dawson, D(C),76
2,2,35,188,8194,Tom Huddlestone, DMC,80
3,3,32,173,24711,Danny Rose," D(L),M(L)",72
4,4,38,186,7411,Niko Kranjcar, M(CL),84
5,5,35,165,5625,Aaron Lennon, M(LR),63
6,6,38,178,11580,Benoit Assou-Ekotto, D(L),70
7,7,37,172,20874,Luka Modric, M(C),66
8,8,49,185,2813,Carlo Cudicini, GK,74
9,9,41,201,3807,Peter Crouch, FW,75
10,10,41,191,10133,Heurelho Gomes, GK,91
11,11,41,188,562,Ledley King," D(L),DMC",82
12,12,38,175,6162,David Bentley, D(C),68
13,13,38,178,31549,Wilson Palacios, M(C),71
14,14,36,192,22040,Vedran Corluka, D(C),84
15,15,39,171,2837,Jermain Defoe," AM(R),FW",65
16,16,36,187,19247,Sebastien Bassong, D(C),73
17,17,36,193,14805,Younes Kaboul, D(C),87
18,18,42,188,112,Jonathan Woodgate, D(C),80
19,19,32,178,69778,Kyle Walker," D(CR),M(R)",70
20,20,40,188,7336,Roman Pavlyuchenko, FW,80
21,21,39,180,3837,Jermaine Jenas, M(C),73
22,22,42,176,88,Robbie Keane, FW,73
23,23,37,185,6434,Alan Hutton, D(LR),72
24,24,35,188,8180,Ben Alnwick, GK,81
25,25,44,185,23,Eidur Gudjohnsen," AM(C),FW",82
26,26,33,174,28112,Giovani dos Santos," AM(CLR),FW",71
27,27,35,180,14171,Jamie O'Hara, M(C),72
28,28,32,181,36849,Jake Livermore," D(C),DMC",91
29,29,33,180,34131,Kyle Naughton," D(CLR),M(R)",73
10,10,37,186,30051,Laurent Koscielny, D(C),75
13,13,38,185,6236,Marouane Chamakh," AM(C),FW",70
14,14,32,195,73379,Wojciech Szczesny, GK,90
15,15,42,185,3929,Sébastien Squillaci, D(C),80
18,18,52,190,628,Jens Lehmann, GK,87
26,26,31,191,74342,Jay Emmanuel-Thomas," AM(C),FW",86
7,7,35,189,27586,David Luiz," D(C),DMC",84
10,10,35,180,28191,Ramires, M(CR),73
14,14,33,179,22846,Ryan Bertrand," D(CL),M(L)",85
21,21,29,178,92324,Josh McEachran, M(C),66
1,1,35,182,22221,Luis Suárez," AM(CLR),FW",86
3,3,39,179,10111,Raul Meireles, M(C),65
15,15,29,181,94030,Jon Flanagan, D(LR),79
16,16,33,193,23383,Andy Carroll, FW,79
17,17,42,182,1653,Christian Poulsen, M(C),79
20,20,41,178,1103,Paul Konchesky, D(L),69
21,21,30,187,72738,Danny Wilson," D(C),DMC",79
25,25,41,183,21712,Milan Jovanovic, AM(L),73
27,27,30,184,40027,Jonjo Shelvey, M(C),80
3,3,39,188,14053,Yaya Touré, M(C),90
4,4,36,170,14102,David Silva," M(CLR),FW",67
10,10,35,196,8786,Joe Hart, GK,91
11,11,34,192,23589,Jérôme Boateng, D(CR),90
12,12,36,187,12267,Aleksandar Kolarov," D(CL),M(L)",81
13,13,32,189,33799,Mario Balotelli, FW,88
15,15,36,175,4511,James Milner," D(LR),M(CLR)",70
16,16,36,193,24845,Edin Dzeko, FW,80
21,21,35,189,16696,Jô, FW,86
23,23,32,183,44524,Ryan McGivern, Defender,84
24,24,30,182,98050,Reece Wabara, D(LR),79
25,25,29,180,98850,Abdul Razak, DMC,80
10,10,32,194,71345,Chris Smalling, D(CR),81
19,19,34,175,35003,Chicharito, FW,73
26,26,32,190,89883,Bebé," AM(LR),FW",83
1,1,39,176,4343,Rafael van der Vaart, M(C),74
13,13,33,187,68890,Sandro, M(C),82
15,15,40,170,3553,Steven Pienaar, M(CL),69
1,1,40,183,1443,Mikel Arteta, M(C),64
2,2,39,180,27487,André Santos," D(L),M(CL)",73
5,5,29,175,106454,Li Ke," D(R),DMC",65
10,10,31,176,69738,Francis Coquelin, M(CLR),74
12,12,35,179,17740,Gervinho," M(LR),FW",66
15,15,37,198,6292,Per Mertesacker, D(C),90
16,16,29,180,84146,Alex Oxlade Chamberlain, M(CLR),70
18,18,45,188,5,Thierry Henry," AM(L),FW",84
22,22,30,178,69740,Emmanuel Frimpong, M(C),67
24,24,29,188,96128,Ignasi Miquel, D(C),82
26,26,30,185,91879,Carl Jenkinson, D(R),77
27,27,37,182,21064,Park Chu-Young, FW,75
0,0,34,170,25363,Juan Mata, AM(CLR),63
7,7,36,193,11981,Gary Cahill, D(C),86
19,19,30,183,90780,Oriol Romeu, DMC,83
24,24,29,190,78498,Romelu Lukaku," AM(R),FW",93
0,0,40,194,11774,Bradley Jones, GK,76
3,3,36,185,8327,Charlie Adam, M(C),83
10,10,36,184,14230,José Enrique," D(L),M(L)",76
12,12,31,196,71268,Sebastián Coates, D(C),94
14,14,32,182,68659,Jordan Henderson," D(C),M(CLR)",67
15,15,38,180,5641,Stewart Downing," D(L),M(CLR)",64
23,23,42,194,14252,Doni, GK,91
25,25,27,170,97692,Raheem Sterling," M(CLR),FW",69
1,1,34,173,14260,Sergio Agüero," AM(CL),FW",70
18,18,31,187,77564,Stefan Savic, D(C),81
20,20,43,170,2239,David Pizarro, M(C),65
8,8,32,180,68651,Ben Amos, GK,70
9,9,37,175,8166,Ashley Young," D(LR),M(LR)",65
13,13,30,180,81726,Phil Jones," D(CR),DMC",71
16,16,31,192,79554,David de Gea, GK,76
20,20,38,193,10620,Anders Lindegaard, GK,80
25,25,33,175,69956,Tom Cleverley, M(CLR),67
26,26,29,191,97752,Paul Pogba, M(CL),84
27,27,30,185,107942,Ezekiel Fryers, D(CL),75
29,29,29,188,107940,Will Keane," AM(C),FW",78
4,4,41,180,270,Scott Parker, M(C),70
14,14,44,185,110,Louis Saha," AM(L),FW",69
16,16,51,191,3426,Brad Friedel, GK,92
20,20,31,180,69877,Adam Smith," D(LR),M(LR)",78
21,21,29,184,99588,Cameron Lancaster, Forward,74
23,23,44,185,13311,Ryan Nelsen, D(C),77
0,0,37,168,4522,Santi Cazorla, M(CLR),65
4,4,36,179,23072,Nacho Monreal," D(CL),M(L)",72
6,6,35,192,24444,Olivier Giroud, FW,93
10,10,37,182,6040,Lukas Podolski," AM(CLR),FW",80
24,24,27,176,119501,Serge Gnabry," AM(CLR),FW",77
0,0,31,175,33404,Eden Hazard," M(CLR),FW",74
8,8,31,179,41065,Oscar, M(CLR),70
10,10,33,178,25931,César Azpilicueta," D(CLR),M(R)",76
11,11,28,182,101964,Lucas Piazón," AM(CLR),FW",75
15,15,37,189,21457,Demba Ba," AM(C),FW",90
16,16,31,177,33064,Victor Moses, M(CLR),79
21,21,27,180,122945,Nathan Aké," D(CL),DMC",75
22,22,33,170,23205,Marko Marin, M(CLR),64
3,3,30,172,80767,Philippe Coutinho, M(CLR),68
11,11,29,186,101763,Andre Wisdom," D(CR),M(R)",78
12,12,26,176,105797,Jordon Ibe, M(CLR),81
13,13,34,180,14176,Nuri Sahin, M(C),73
17,17,32,168,23444,Joe Allen, M(C),62
20,20,28,177,105591,Suso," AM(CLR),FW",70
26,26,29,185,97710,Conor Coady," D(CR),DMC",73
27,27,34,177,29762,Oussama Assaidi," AM(L),FW",69
6,6,27,186,106530,Karim Rekik, D(CL),84
10,10,29,188,91200,Matija Nastasic, D(C),83
14,14,41,184,8007,Maicon, D(R),77
15,15,35,187,12378,Javi García," D(C),DMC",82
21,21,31,188,33833,Jack Rodwell," D(C),M(C)",70
23,23,33,175,12779,Scott Sinclair," M(LR),FW",64
3,3,33,174,38147,Alexander Büttner," D(L),M(L)",75
11,11,33,175,42862,Shinji Kagawa, M(CL),68
16,16,28,183,90211,Nick Powell," AM(CLR),FW",65
1,1,35,189,21778,Jan Vertonghen, D(CL),79
3,3,35,185,12187,Mousa Dembélé, M(CR),87
9,9,30,191,76499,Steven Caulker, D(C),76
10,10,39,186,16369,Clint Dempsey," M(CL),FW",78
16,16,35,188,25604,Hugo Lloris, GK,82
17,17,33,186,69346,Gylfi Sigurdsson," M(CLR),FW",79
19,19,32,176,41004,Lewis Holtby, M(CLR),72
21,21,30,177,90907,Tom Carroll, M(CL),71
22,22,31,181,71522,Andros Townsend," AM(LR),FW",77
25,25,29,188,83532,Harry Kane," AM(C),FW",86
27,27,32,172,80734,Iago Falque," AM(CLR),FW",70
5,5,33,180,13756,Mesut Özil, M(CLR),76
19,19,38,178,6321,Mathieu Flamini, M(C),67
20,20,40,185,3777,Kim Källström, M(C),87
23,23,29,183,97376,Ryo Miyaichi, M(LR),78
24,24,29,191,83304,Yaya Sanogo, FW,74
26,26,26,183,122294,Chuba Akpom, FW,70
5,5,34,174,29463,Willian, AM(CLR),76
7,7,41,179,1594,Samuel Eto'o," M(CL),FW",75
11,11,49,194,3852,Mark Schwarzer, GK,95
16,16,31,184,77461,André Schürrle," M(CLR),FW",73
17,17,30,175,108226,Mohamed Salah," AM(CLR),FW",71
18,18,29,183,86509,Tomás Kalas, D(CR),80
22,22,31,181,73084,Kevin De Bruyne," M(CLR),FW",68
27,27,27,182,149102,John Swift, M(CL),73
28,28,29,180,85470,Marco van Ginkel, M(C),67
10,10,32,187,29575,Mamadou Sakho, D(C),83
11,11,35,181,35958,Aly Cissokho," D(L),M(L)",75
16,16,34,193,52197,Simon Mignolet, GK,87
20,20,29,182,85077,Luis Alberto," AM(CL),FW",70
21,21,35,176,91242,Iago Aspas," AM(CR),FW",67
23,23,29,167,142352,João Teixeira, AM(CLR),64
24,24,28,178,141414,Brad Smith," D(L),M(L)",70
3,3,37,179,19119,Fernandinho," D(CR),DMC",67
4,4,41,184,5840,Martín Demichelis, D(C),80
9,9,36,172,9446,Jesús Navas," D(R),M(R)",60
15,15,37,186,23757,Álvaro Negredo, FW,71
16,16,32,183,29072,Stevan Jovetic," AM(CL),FW",79
20,20,35,203,43948,Costel Pantilimon, GK,90
0,0,26,183,145271,James Wilson," AM(CR),FW",73
6,6,34,194,22738,Marouane Fellaini, M(C),85
12,12,27,186,130334,Adnan Januzaj, AM(CLR),76
16,16,28,180,140887,Tom Lawrence," AM(CLR),FW",75
29,29,29,180,85059,Wilfried Zaha," AM(LR),FW",66
0,0,30,182,69344,Christian Eriksen," M(CLR),FW",76
4,4,32,184,76921,Vlad Chiriches, D(CR),75
9,9,34,189,33590,Etienne Capoue," D(C),M(CL)",80
11,11,34,181,36399,Paulinho, M(CR),81
17,17,33,187,34302,Nacer Chadli," M(CLR),FW",80
18,18,27,187,137521,Nabil Bentaleb, M(C),78
21,21,37,180,18275,Roberto Soldado, FW,74
24,24,30,181,75830,Erik Lamela," AM(CLR),FW",79
26,26,26,188,141399,Milos Veljkovic," D(C),DMC",85
27,27,29,171,107848,Alex Pritchard," AM(CLR),FW",62
0,0,33,169,25244,Alexis Sánchez," M(CLR),FW",62
5,5,31,185,76810,Gabriel Paulista, D(CR),72
7,7,37,176,11367,Mathieu Debuchy," D(CR),M(R)",76
10,10,27,178,125211,Héctor Bellerín," D(R),M(R)",74
14,14,34,183,36745,David Ospina, GK,80
16,16,27,182,124316,Calum Chambers," D(CR),DMC",66
22,22,30,195,102248,Emiliano Martínez, GK,88
27,27,30,178,95977,Joel Campbell," AM(LR),FW",71
28,28,25,177,255169,Ainsley Maitland-Niles," D(LR),M(CLR)",71
3,3,33,188,24248,Diego Costa, FW,83
11,11,37,181,22152,Filipe Luís, D(L),77
12,12,30,200,73798,Thibaut Courtois, GK,96
15,15,27,190,106086,Kurt Zouma, D(CR),96
16,16,35,185,23054,Loïc Rémy," M(LR),FW",80
19,19,34,179,44868,Juan Cuadrado," D(R),M(CLR),FW",72
20,20,26,191,255777,Ruben Loftus-Cheek, M(CLR),88
22,22,25,182,127119,Isaiah Brown," AM(CL),FW",70
23,23,26,187,130331,Andreas Christensen," D(C),DMC",82
5,5,28,186,111212,Emre Can," D(CLR),DMC",86
7,7,33,188,29106,Dejan Lovren, D(C),84
10,10,34,172,21683,Adam Lallana, M(CLR),73
11,11,28,178,109227,Javier Manquillo," D(LR),M(R)",76
15,15,30,171,113275,Alberto Moreno," D(L),M(L)",65
16,16,28,175,105577,Lazar Markovic, AM(CLR),65
21,21,40,188,8409,Rickie Lambert, FW,77
24,24,26,173,274630,Jerome Sinclair," AM(LR),FW",79
8,8,31,188,68852,Eliaquim Mangala, D(C),84
14,14,35,183,31958,Fernando, DMC,76
15,15,33,182,42705,Wilfried Bony, FW,88
20,20,40,186,34749,Willy Caballero, GK,81
22,22,26,171,244564,José Ángel Pozo, AM(C),67
2,2,33,182,71174,Ander Herrera, M(C),71
4,4,32,186,70050,Marcos Rojo, D(CL),82
7,7,32,180,70033,Daley Blind," D(CL),DMC,M(L)",72
12,12,34,180,23110,Ángel Di María," M(CLR),FW",75
14,14,40,183,9484,Víctor Valdés, GK,78
15,15,27,185,118244,Luke Shaw," D(CL),M(L)",75
17,17,27,183,244565,Patrick McNair," D(CR),M(C)",72
18,18,29,191,107941,Michael Keane, D(CR),82
20,20,36,177,18701,Radamel Falcao, FW,72
24,24,28,188,137795,Tyler Blackett," D(CL),M(L)",76
28,28,26,178,243254,Andreas Pereira, M(CLR),71
29,29,29,175,109000,Jesse Lingard," AM(CLR),FW",62
32,32,29,185,107945,Tom Thorpe, D(C),89
0,0,35,195,29908,Federico Fazio, D(C),85
9,9,28,188,117973,Eric Dier," D(CR),DMC",88
11,11,38,183,19270,Michel Vorm, GK,84
14,14,31,175,69878,Ryan Mason, DMC,68
15,15,29,181,103837,Ben Davies," D(CL),M(L)",76
20,20,32,180,83303,Benjamin Stambouli," D(CR),M(C)",82
26,26,29,172,126958,DeAndre Yedlin," D(R),M(R)",75
15,15,26,180,136824,Alexander Iwobi, M(CLR),75
16,16,30,179,125209,Mohamed Elneny, DMC,72
4,4,35,169,44055,Pedro," M(CLR),FW",65
11,11,27,181,109807,Bertrand Traoré," AM(R),FW",73
12,12,35,199,23122,Asmir Begovic, GK,101
13,13,28,180,114845,Abdul Rahman Baba," D(L),M(L)",72
16,16,26,182,132838,Kenedy," D(L),M(LR)",77
17,17,33,175,23158,Alexandre Pato," M(CLR),FW",72
22,22,27,191,131999,Matt Miazga, D(C),84
25,25,24,188,312919,Jake Clarke-Salter, D(C),70
26,26,24,185,317507,Fikayo Tomori, D(CR),75
27,27,24,190,317506,Tammy Abraham, FW,80
2,2,30,181,96182,Roberto Firmino," M(CLR),FW",76
11,11,29,181,107846,Kevin Stewart, DMC,73
13,13,25,188,136451,Joe Gomez, D(CLR),77
14,14,31,190,68312,Christian Benteke, FW,83
15,15,31,175,69375,Nathaniel Clyne," D(LR),M(R)",67
17,17,29,191,99165,Danny Ward, GK,88
18,18,26,180,141513,Cameron Brannagan, M(C),71
20,20,25,177,257539,Sheyi Ojo, AM(CLR),64
21,21,27,185,124688,Divock Origi," AM(LR),FW",75
24,24,30,178,91762,Danny Ings," AM(C),FW",73
26,26,25,178,141437,Jordan Rossiter, DMC,68
