,League,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Points_Simple,Delta_Points_Simple
94,epl,Burnley,2018,2019,38,11,7,20,45,68,40,38,2
95,epl,Southampton,2018,2019,38,9,12,17,45,65,39,38,1
96,epl,Brighton,2018,2019,38,9,9,20,35,60,36,33,3
97,epl,Cardiff,2018,2019,38,10,4,24,34,69,34,29,5
98,epl,Fulham,2018,2019,38,7,5,26,34,81,26,24,2
99,epl,Huddersfield,2018,2019,38,3,7,28,22,76,16,16,0
100,epl,Liverpool,2019,2020,38,32,3,3,85,33,99,87,12
101,epl,Manchester City,2019,2020,38,26,3,9,102,35,81,90,-9
102,epl,Manchester United,2019,2020,38,18,12,8,66,36,66,71,-5
103,epl,Chelsea,2019,2020,38,20,6,12,69,54,66,63,3
104,epl,Leicester,2019,2020,38,18,8,12,67,41,62,70,-8
105,epl,Tottenham,2019,2020,38,16,11,11,61,47,59,60,-1
106,epl,Wolverhampton Wanderers,2019,2020,38,15,14,9,51,40,59,58,1
107,epl,Arsenal,2019,2020,38,14,14,10,56,48,56,55,1
108,epl,Sheffield United,2019,2020,38,14,12,12,39,39,54,51,3
109,epl,Burnley,2019,2020,38,15,9,14,43,50,54,46,8
110,epl,Southampton,2019,2020,38,15,7,16,51,60,52,47,5
111,epl,Everton,2019,2020,38,13,10,15,44,56,49,43,6
112,epl,Newcastle United,2019,2020,38,11,11,16,38,58,44,36,8
113,epl,Crystal Palace,2019,2020,38,11,10,17,31,50,43,35,8
114,epl,Brighton,2019,2020,38,9,14,15,39,54,41,38,3
115,epl,West Ham,2019,2020,38,10,9,19,49,62,39,43,-4
116,epl,Aston Villa,2019,2020,38,9,8,21,41,67,35,35,0
117,epl,Bournemouth,2019,2020,38,9,7,22,40,65,34,35,-1
118,epl,Watford,2019,2020,38,8,10,20,36,64,34,32,2
119,epl,Norwich,2019,2020,38,5,6,27,26,75,21,19,2
120,epl,Manchester City,2020,2021,38,27,5,6,83,32,86,86,0
121,epl,Manchester United,2020,2021,38,21,11,6,73,44,74,69,5
122,epl,Liverpool,2020,2021,38,20,9,9,68,42,69,69,0
123,epl,Chelsea,2020,2021,38,19,10,9,58,36,67,68,-1
124,epl,Leicester,2020,2021,38,20,6,12,68,50,66,65,1
125,epl,West Ham,2020,2021,38,19,8,11,62,47,65,63,2
126,epl,Tottenham,2020,2021,38,18,8,12,68,45,62,67,-5
127,epl,Arsenal,2020,2021,38,18,7,13,55,39,61,66,-5
128,epl,Leeds,2020,2021,38,18,5,15,62,54,59,59,0
129,epl,Everton,2020,2021,38,17,8,13,47,48,59,52,7
130,epl,Aston Villa,2020,2021,38,16,7,15,55,46,55,60,-5
131,epl,Newcastle United,2020,2021,38,12,9,17,46,62,45,41,4
132,epl,Wolverhampton Wanderers,2020,2021,38,12,9,17,36,52,45,39,6
133,epl,Crystal Palace,2020,2021,38,12,8,18,41,66,44,35,9
134,epl,Southampton,2020,2021,38,12,7,19,47,68,43,39,4
135,epl,Brighton,2020,2021,38,9,14,15,40,46,41,45,-4
136,epl,Burnley,2020,2021,38,10,9,19,33,55,39,34,5
137,epl,Fulham,2020,2021,38,5,13,20,27,53,28,28,0
138,epl,West Bromwich Albion,2020,2021,38,5,11,22,35,76,26,26,0
139,epl,Sheffield United,2020,2021,38,7,2,29,20,63,23,18,5
140,epl,Manchester City,2021,2022,38,29,6,3,99,26,93,93,0
141,epl,Liverpool,2021,2022,38,28,8,2,94,26,92,90,2
142,epl,Chelsea,2021,2022,38,21,11,6,76,33,74,78,-4
143,epl,Tottenham,2021,2022,38,22,5,11,69,40,71,74,-3
144,epl,Arsenal,2021,2022,38,22,3,13,61,48,69,64,5
145,epl,Manchester United,2021,2022,38,16,10,12,57,57,58,51,7
146,epl,West Ham,2021,2022,38,16,8,14,60,51,56,59,-3
147,epl,Leicester,2021,2022,38,14,10,14,62,59,52,53,-1
148,epl,Brighton,2021,2022,38,12,15,11,42,44,51,47,4
149,epl,Wolverhampton Wanderers,2021,2022,38,15,6,17,38,43,51,49,2
150,epl,Newcastle United,2021,2022,38,13,10,15,44,62,49,39,10
151,epl,Crystal Palace,2021,2022,38,11,15,12,50,46,48,52,-4
152,epl,Brentford,2021,2022,38,13,7,18,48,56,46,47,-1
153,epl,Aston Villa,2021,2022,38,13,6,19,52,54,45,52,-7
154,epl,Southampton,2021,2022,38,9,13,16,43,67,40,35,5
155,epl,Everton,2021,2022,38,11,6,21,43,66,39,38,1
156,epl,Leeds,2021,2022,38,9,11,18,42,79,38,30,8
157,epl,Burnley,2021,2022,38,7,14,17,34,53,35,34,1
158,epl,Watford,2021,2022,38,6,5,27,34,77,23,26,-3
159,epl,Norwich,2021,2022,38,5,7,26,23,84,22,15,7
160,bundesliga,Bayern Munich,2014,2015,34,25,4,5,80,18,79,87,-8
161,bundesliga,Wolfsburg,2014,2015,34,20,9,5,72,38,69,66,3
162,bundesliga,Borussia M.Gladbach,2014,2015,34,19,9,6,53,26,66,67,-1
163,bundesliga,Bayer Leverkusen,2014,2015,34,17,10,7,62,37,61,61,0
164,bundesliga,Augsburg,2014,2015,34,15,4,15,43,43,49,49,0
165,bundesliga,Schalke 04,2014,2015,34,13,9,12,42,40,48,48,0
166,bundesliga,Borussia Dortmund,2014,2015,34,13,7,14,47,42,46,51,-5
167,bundesliga,Hoffenheim,2014,2015,34,12,8,14,49,55,44,43,1
168,bundesliga,Eintracht Frankfurt,2014,2015,34,11,10,13,56,62,43,42,1
169,bundesliga,Werder Bremen,2014,2015,34,11,10,13,50,65,43,37,6
170,bundesliga,Mainz 05,2014,2015,34,9,13,12,45,47,40,43,-3
171,bundesliga,FC Cologne,2014,2015,34,9,13,12,34,40,40,39,1
172,bundesliga,Hannover 96,2014,2015,34,9,10,15,40,56,37,35,2
173,bundesliga,VfB Stuttgart,2014,2015,34,9,9,16,42,60,36,35,1
174,bundesliga,Hertha Berlin,2014,2015,34,9,8,17,36,52,35,35,0
175,bundesliga,Hamburger SV,2014,2015,34,9,8,17,25,50,35,25,10
176,bundesliga,Freiburg,2014,2015,34,7,13,14,36,47,34,36,-2
177,bundesliga,Paderborn,2014,2015,34,7,10,17,31,65,31,24,7
178,bundesliga,Bayern Munich,2015,2016,34,28,4,2,80,17,88,87,1
179,bundesliga,Borussia Dortmund,2015,2016,34,24,6,4,82,34,78,74,4
180,bundesliga,Bayer Leverkusen,2015,2016,34,18,6,10,56,40,60,59,1
181,bundesliga,Borussia M.Gladbach,2015,2016,34,17,4,13,67,50,55,58,-3
182,bundesliga,Schalke 04,2015,2016,34,15,7,12,51,49,52,48,4
183,bundesliga,Mainz 05,2015,2016,34,14,8,12,46,42,50,49,1
184,bundesliga,Hertha Berlin,2015,2016,34,14,8,12,42,42,50,47,3
185,bundesliga,Wolfsburg,2015,2016,34,12,9,13,47,49,45,45,0
186,bundesliga,FC Cologne,2015,2016,34,10,13,11,38,42,43,41,2
