,League,Team,Year_start,Year_end,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,Points,Estimated_Points_Simple,Delta_Points_Simple
364,la liga,Barcelona,2017,2018,38,28,9,1,99,29,93,89,4
365,la liga,Atletico Madrid,2017,2018,38,23,10,5,58,22,79,82,-3
366,la liga,Real Madrid,2017,2018,38,22,10,6,94,44,76,77,-1
367,la liga,Valencia,2017,2018,38,22,7,9,65,38,73,72,1
368,la liga,Villarreal,2017,2018,38,18,7,13,57,50,61,58,3
369,la liga,Real Betis,2017,2018,38,18,6,14,60,61,60,53,7
370,la liga,Sevilla,2017,2018,38,17,7,14,49,58,58,47,11
371,la liga,Getafe,2017,2018,38,15,10,13,42,33,55,60,-5
372,la liga,Eibar,2017,2018,38,14,9,15,44,50,51,47,4
373,la liga,Girona,2017,2018,38,14,9,15,50,59,51,46,5
374,la liga,Real Sociedad,2017,2018,38,14,7,17,66,59,49,57,-8
375,la liga,Celta Vigo,2017,2018,38,13,10,15,59,60,49,51,-2
376,la liga,Espanyol,2017,2018,38,12,13,13,36,42,49,45,4
377,la liga,Alaves,2017,2018,38,15,2,21,40,50,47,47,0
378,la liga,Levante,2017,2018,38,11,13,14,44,58,46,40,6
379,la liga,Athletic Club,2017,2018,38,10,13,15,41,49,43,44,-1
380,la liga,Leganes,2017,2018,38,12,7,19,34,51,43,38,5
381,la liga,Deportivo La Coruna,2017,2018,38,6,11,21,38,76,29,28,1
382,la liga,Las Palmas,2017,2018,38,5,7,26,24,74,22,18,4
383,la liga,Malaga,2017,2018,38,5,5,28,24,61,20,23,-3
384,la liga,Barcelona,2018,2019,38,26,9,3,90,36,87,82,5
385,la liga,Atletico Madrid,2018,2019,38,22,10,6,55,29,76,73,3
386,la liga,Real Madrid,2018,2019,38,21,5,12,63,46,68,66,2
387,la liga,Valencia,2018,2019,38,15,16,7,51,35,61,61,0
388,la liga,Sevilla,2018,2019,38,17,8,13,62,47,59,63,-4
389,la liga,Getafe,2018,2019,38,15,14,9,48,35,59,60,-1
390,la liga,Espanyol,2018,2019,38,14,11,13,48,50,53,50,3
391,la liga,Athletic Club,2018,2019,38,13,14,11,41,45,53,46,7
392,la liga,Real Sociedad,2018,2019,38,13,11,14,45,46,50,50,0
393,la liga,Real Betis,2018,2019,38,14,8,16,44,52,50,46,4
394,la liga,Alaves,2018,2019,38,13,11,14,39,50,50,42,8
395,la liga,Eibar,2018,2019,38,11,14,13,46,50,47,47,0
396,la liga,Leganes,2018,2019,38,11,12,15,37,43,45,45,0
397,la liga,Villarreal,2018,2019,38,10,14,14,49,52,44,47,-3
398,la liga,Levante,2018,2019,38,11,11,16,59,66,44,47,-3
399,la liga,Celta Vigo,2018,2019,38,10,11,17,53,62,41,45,-4
400,la liga,Real Valladolid,2018,2019,38,10,11,17,32,51,41,35,6
401,la liga,Girona,2018,2019,38,9,10,19,37,53,37,39,-2
402,la liga,SD Huesca,2018,2019,38,7,12,19,43,65,33,36,-3
403,la liga,Rayo Vallecano,2018,2019,38,8,8,22,41,70,32,34,-2
404,la liga,Real Madrid,2019,2020,38,26,9,3,70,25,87,84,3
405,la liga,Barcelona,2019,2020,38,25,7,6,86,38,82,81,1
406,la liga,Atletico Madrid,2019,2020,38,18,16,4,51,27,70,69,1
407,la liga,Sevilla,2019,2020,38,19,13,6,54,34,70,66,4
408,la liga,Villarreal,2019,2020,38,18,6,14,63,49,60,63,-3
409,la liga,Real Sociedad,2019,2020,38,16,8,14,56,48,56,58,-2
410,la liga,Granada,2019,2020,38,16,8,14,52,45,56,58,-2
411,la liga,Getafe,2019,2020,38,14,12,12,43,37,54,56,-2
412,la liga,Valencia,2019,2020,38,14,11,13,46,53,53,46,7
413,la liga,Osasuna,2019,2020,38,13,13,12,46,54,52,44,8
414,la liga,Athletic Club,2019,2020,38,13,12,13,41,38,51,53,-2
415,la liga,Levante,2019,2020,38,14,7,17,47,53,49,49,0
416,la liga,Real Valladolid,2019,2020,38,9,15,14,32,43,42,39,3
417,la liga,Eibar,2019,2020,38,11,9,18,39,56,42,39,3
418,la liga,Real Betis,2019,2020,38,10,11,17,48,60,41,43,-2
419,la liga,Alaves,2019,2020,38,10,9,19,34,59,39,33,6
420,la liga,Celta Vigo,2019,2020,38,7,16,15,37,49,37,39,-2
421,la liga,Leganes,2019,2020,38,8,12,18,30,51,36,32,4
422,la liga,Mallorca,2019,2020,38,9,6,23,40,65,33,36,-3
423,la liga,Espanyol,2019,2020,38,5,10,23,27,58,25,26,-1
424,la liga,Atletico Madrid,2020,2021,38,26,8,4,67,25,86,84,2
425,la liga,Real Madrid,2020,2021,38,25,9,4,67,28,84,81,3
426,la liga,Barcelona,2020,2021,38,24,7,7,85,38,79,80,-1
427,la liga,Sevilla,2020,2021,38,24,5,9,53,33,77,71,6
428,la liga,Real Sociedad,2020,2021,38,17,11,10,59,38,62,66,-4
429,la liga,Real Betis,2020,2021,38,17,10,11,50,50,61,51,10
430,la liga,Villarreal,2020,2021,38,15,13,10,60,44,58,61,-3
431,la liga,Celta Vigo,2020,2021,38,14,11,13,55,57,53,50,3
432,la liga,Athletic Club,2020,2021,38,11,13,14,46,42,46,53,-7
433,la liga,Granada,2020,2021,38,13,7,18,47,65,46,41,5
434,la liga,Osasuna,2020,2021,38,11,11,16,37,48,44,42,2
435,la liga,Cadiz,2020,2021,38,11,11,16,36,58,44,34,10
436,la liga,Valencia,2020,2021,38,10,13,15,50,53,43,48,-5
437,la liga,Levante,2020,2021,38,9,14,15,46,57,41,42,-1
438,la liga,Getafe,2020,2021,38,9,11,18,28,43,38,36,2
439,la liga,Alaves,2020,2021,38,9,11,18,36,57,38,35,3
440,la liga,Elche,2020,2021,38,8,12,18,34,55,36,34,2
441,la liga,SD Huesca,2020,2021,38,7,13,18,34,53,34,35,-1
442,la liga,Real Valladolid,2020,2021,38,5,16,17,34,57,31,32,-1
443,la liga,Eibar,2020,2021,38,6,12,20,29,52,30,31,-1
444,la liga,Real Madrid,2021,2022,38,26,8,4,80,31,86,83,3
445,la liga,Barcelona,2021,2022,38,21,10,7,68,38,73,72,1
446,la liga,Atletico Madrid,2021,2022,38,21,8,9,65,43,71,67,4
447,la liga,Sevilla,2021,2022,38,18,16,4,53,30,70,67,3
448,la liga,Real Betis,2021,2022,38,19,8,11,62,40,65,68,-3
449,la liga,Real Sociedad,2021,2022,38,17,11,10,40,37,62,54,8
450,la liga,Villarreal,2021,2022,38,16,11,11,63,37,59,69,-10
451,la liga,Athletic Club,2021,2022,38,14,13,11,43,36,55,56,-1
452,la liga,Valencia,2021,2022,38,11,15,12,48,53,48,46,2
453,la liga,Osasuna,2021,2022,38,12,11,15,37,51,47,40,7
454,la liga,Celta Vigo,2021,2022,38,12,10,16,43,43,46,51,-5
455,la liga,Rayo Vallecano,2021,2022,38,11,9,18,39,50,42,43,-1
456,la liga,Elche,2021,2022,38,11,9,18,40,52,42,42,0
457,la liga,Espanyol,2021,2022,38,10,12,16,40,53,42,41,1
458,la liga,Getafe,2021,2022,38,8,15,15,33,41,39,42,-3
459,la liga,Cadiz,2021,2022,38,8,15,15,35,51,39,36,3
460,la liga,Mallorca,2021,2022,38,10,9,19,36,63,39,32,7
461,la liga,Granada,2021,2022,38,8,14,16,44,61,38,38,0
462,la liga,Levante,2021,2022,38,8,11,19,51,76,35,37,-2
463,la liga,Alaves,2021,2022,38,8,7,23,31,65,31,28,3
464,ligue 1,Paris Saint Germain,2014,2015,38,24,11,3,83,36,83,78,5
465,ligue 1,Lyon,2014,2015,38,22,9,7,72,33,75,78,-3
466,ligue 1,Monaco,2014,2015,38,20,11,7,51,26,71,74,-3
467,ligue 1,Marseille,2014,2015,38,21,6,11,76,42,69,75,-6
468,ligue 1,Saint-Etienne,2014,2015,38,19,12,7,51,30,69,69,0
469,ligue 1,Bordeaux,2014,2015,38,17,12,9,47,44,63,53,10
470,ligue 1,Montpellier,2014,2015,38,16,8,14,46,39,56,59,-3
471,ligue 1,Lille,2014,2015,38,16,8,14,43,42,56,53,3
472,ligue 1,Rennes,2014,2015,38,13,11,14,35,42,50,44,6
473,ligue 1,Guingamp,2014,2015,38,15,4,19,41,55,49,43,6
474,ligue 1,Nice,2014,2015,38,13,9,16,44,53,48,45,3
475,ligue 1,SC Bastia,2014,2015,38,12,11,15,37,46,47,43,4
476,ligue 1,Caen,2014,2015,38,12,10,16,54,55,46,51,-5
477,ligue 1,Nantes,2014,2015,38,11,12,15,29,40,45,39,6
478,ligue 1,Reims,2014,2015,38,12,8,18,47,66,44,40,4
479,ligue 1,Lorient,2014,2015,38,12,7,19,44,50,43,48,-5
480,ligue 1,Toulouse,2014,2015,38,12,6,20,43,64,42,39,3
481,ligue 1,Evian Thonon Gaillard,2014,2015,38,11,4,23,41,62,37,39,-2
482,ligue 1,Metz,2014,2015,38,7,9,22,31,61,30,29,1
483,ligue 1,Lens,2014,2015,38,7,8,23,32,61,29,30,-1
484,ligue 1,Paris Saint Germain,2015,2016,38,30,6,2,102,19,96,98,-2
485,ligue 1,Lyon,2015,2016,38,19,8,11,67,43,65,68,-3
486,ligue 1,Monaco,2015,2016,38,17,14,7,57,50,65,54,11
487,ligue 1,Nice,2015,2016,38,18,9,11,58,41,63,65,-2
488,ligue 1,Lille,2015,2016,38,15,15,8,39,27,60,61,-1
489,ligue 1,Saint-Etienne,2015,2016,38,17,7,14,42,37,58,58,0
490,ligue 1,Caen,2015,2016,38,16,6,16,39,52,54,43,11
491,ligue 1,Rennes,2015,2016,38,13,13,12,52,54,52,49,3
492,ligue 1,Angers,2015,2016,38,13,11,14,40,38,50,53,-3
493,ligue 1,SC Bastia,2015,2016,38,14,8,16,36,42,50,47,3
494,ligue 1,Bordeaux,2015,2016,38,12,14,12,50,57,50,45,5
495,ligue 1,Montpellier,2015,2016,38,14,7,17,49,47,49,55,-6
496,ligue 1,Marseille,2015,2016,38,10,18,10,48,42,48,52,-4
497,ligue 1,Nantes,2015,2016,38,12,12,14,33,44,48,40,8
498,ligue 1,Lorient,2015,2016,38,11,13,14,47,58,46,43,3
499,ligue 1,Guingamp,2015,2016,38,11,11,16,47,56,44,45,-1
500,ligue 1,Toulouse,2015,2016,38,9,13,16,45,55,40,43,-3
501,ligue 1,Reims,2015,2016,38,10,9,19,44,57,39,43,-4
502,ligue 1,GFC Ajaccio,2015,2016,38,8,13,17,37,58,37,35,2
503,ligue 1,Troyes,2015,2016,38,3,9,26,28,83,18,18,0
504,ligue 1,Monaco,2016,2017,38,30,5,3,107,31,95,92,3
505,ligue 1,Paris Saint Germain,2016,2017,38,27,6,5,83,27,87,89,-2
506,ligue 1,Nice,2016,2017,38,22,12,4,63,36,78,70,8
507,ligue 1,Lyon,2016,2017,38,21,4,13,80,48,67,73,-6
508,ligue 1,Marseille,2016,2017,38,17,11,10,57,41,62,63,-1
509,ligue 1,Bordeaux,2016,2017,38,15,14,9,53,43,59,57,2
510,ligue 1,Nantes,2016,2017,38,14,9,15,40,54,51,41,10
511,ligue 1,Saint-Etienne,2016,2017,38,12,14,12,41,42,50,49,1
512,ligue 1,Rennes,2016,2017,38,12,14,12,36,42,50,44,6
513,ligue 1,Guingamp,2016,2017,38,14,8,16,46,53,50,47,3
514,ligue 1,Lille,2016,2017,38,13,7,18,40,47,46,47,-1
515,ligue 1,Angers,2016,2017,38,13,7,18,40,49,46,45,1
516,ligue 1,Toulouse,2016,2017,38,10,14,14,37,41,44,46,-2
517,ligue 1,Metz,2016,2017,38,11,10,17,39,72,43,30,13
518,ligue 1,Montpellier,2016,2017,38,10,9,19,48,66,39,40,-1
519,ligue 1,Dijon,2016,2017,38,8,13,17,46,58,37,42,-5
520,ligue 1,Caen,2016,2017,38,10,7,21,36,65,37,32,5
521,ligue 1,Lorient,2016,2017,38,10,6,22,44,70,36,37,-1
522,ligue 1,Nancy,2016,2017,38,9,8,21,29,52,35,32,3
523,ligue 1,SC Bastia,2016,2017,38,8,10,20,29,57,34,29,5
524,ligue 1,Paris Saint Germain,2017,2018,38,29,6,3,108,29,93,93,0
525,ligue 1,Monaco,2017,2018,38,24,8,6,85,45,80,75,5
526,ligue 1,Lyon,2017,2018,38,23,9,6,87,43,78,76,2
527,ligue 1,Marseille,2017,2018,38,22,11,5,80,47,77,69,8
528,ligue 1,Rennes,2017,2018,38,16,10,12,50,44,58,56,2
529,ligue 1,Bordeaux,2017,2018,38,16,7,15,53,48,55,57,-2
530,ligue 1,Saint-Etienne,2017,2018,38,15,10,13,47,50,55,49,6
531,ligue 1,Nice,2017,2018,38,15,9,14,53,52,54,53,1
532,ligue 1,Nantes,2017,2018,38,14,10,14,36,41,52,47,5
533,ligue 1,Montpellier,2017,2018,38,11,18,9,36,33,51,50,1
534,ligue 1,Dijon,2017,2018,38,13,9,16,55,73,48,42,6
535,ligue 1,Guingamp,2017,2018,38,12,11,15,48,59,47,44,3
536,ligue 1,Amiens,2017,2018,38,12,9,17,37,42,45,47,-2
537,ligue 1,Angers,2017,2018,38,9,14,15,42,52,41,42,-1
538,ligue 1,Strasbourg,2017,2018,38,9,11,18,44,67,38,36,2
539,ligue 1,Caen,2017,2018,38,10,8,20,27,52,38,30,8
540,ligue 1,Lille,2017,2018,38,10,8,20,41,67,38,35,3
541,ligue 1,Toulouse,2017,2018,38,9,10,19,38,54,37,39,-2
542,ligue 1,Troyes,2017,2018,38,9,6,23,32,59,33,32,1
543,ligue 1,Metz,2017,2018,38,6,8,24,34,76,26,25,1
544,ligue 1,Paris Saint Germain,2018,2019,38,29,4,5,105,35,91,90,1
545,ligue 1,Lille,2018,2019,38,22,9,7,68,33,75,77,-2
546,ligue 1,Lyon,2018,2019,38,21,9,8,70,47,72,66,6
547,ligue 1,Saint-Etienne,2018,2019,38,19,9,10,59,41,66,65,1
548,ligue 1,Marseille,2018,2019,38,18,7,13,60,52,61,58,3
549,ligue 1,Montpellier,2018,2019,38,15,14,9,53,42,59,58,1
550,ligue 1,Nice,2018,2019,38,15,11,12,30,35,56,45,11
551,ligue 1,Reims,2018,2019,38,13,16,9,39,42,55,46,9
552,ligue 1,Nimes,2018,2019,38,15,8,15,57,58,53,52,1
553,ligue 1,Rennes,2018,2019,38,13,13,12,55,52,52,52,0
554,ligue 1,Strasbourg,2018,2019,38,11,16,11,58,48,49,55,-6
555,ligue 1,Nantes,2018,2019,38,13,9,16,48,48,48,52,-4
556,ligue 1,Angers,2018,2019,38,10,16,12,44,49,46,45,1
557,ligue 1,Bordeaux,2018,2019,38,10,11,17,34,42,41,43,-2
558,ligue 1,Amiens,2018,2019,38,9,11,18,31,52,38,33,5
559,ligue 1,Toulouse,2018,2019,38,8,14,16,35,57,38,33,5
560,ligue 1,Monaco,2018,2019,38,8,12,18,38,57,36,36,0
561,ligue 1,Dijon,2018,2019,38,9,7,22,31,60,34,30,4
562,ligue 1,Caen,2018,2019,38,7,12,19,29,54,33,30,3
563,ligue 1,Guingamp,2018,2019,38,5,12,21,28,68,27,22,5
564,ligue 1,Paris Saint Germain,2019,2020,27,22,2,3,75,24,68,65,3
565,ligue 1,Marseille,2019,2020,28,16,8,4,41,29,56,47,9
566,ligue 1,Rennes,2019,2020,28,15,5,8,38,24,50,51,-1
567,ligue 1,Lille,2019,2020,28,15,4,9,35,27,49,47,2
568,ligue 1,Reims,2019,2020,28,10,11,7,26,21,41,41,0
569,ligue 1,Nice,2019,2020,28,11,8,9,41,38,41,40,1
570,ligue 1,Lyon,2019,2020,28,11,7,10,42,27,40,50,-10
571,ligue 1,Montpellier,2019,2020,28,11,7,10,35,34,40,39,1
572,ligue 1,Monaco,2019,2020,28,11,7,10,44,44,40,38,2
573,ligue 1,Angers,2019,2020,28,11,6,11,28,33,39,34,5
574,ligue 1,Strasbourg,2019,2020,27,11,5,11,32,32,38,38,0
575,ligue 1,Bordeaux,2019,2020,28,9,10,9,40,34,37,41,-4
576,ligue 1,Nantes,2019,2020,28,11,4,13,28,31,37,37,0
577,ligue 1,Brest,2019,2020,28,8,10,10,34,37,34,34,0
578,ligue 1,Metz,2019,2020,28,8,10,10,27,35,34,30,4
579,ligue 1,Dijon,2019,2020,28,7,9,12,27,37,30,29,1
580,ligue 1,Saint-Etienne,2019,2020,28,8,6,14,29,45,30,27,3
581,ligue 1,Nimes,2019,2020,28,7,6,15,29,44,27,27,0
582,ligue 1,Amiens,2019,2020,28,4,11,13,31,50,23,24,-1
583,ligue 1,Toulouse,2019,2020,28,3,4,21,22,58,13,16,-3
584,ligue 1,Lille,2020,2021,38,24,11,3,64,23,83,83,0
585,ligue 1,Paris Saint Germain,2020,2021,38,26,4,8,86,28,82,91,-9
586,ligue 1,Monaco,2020,2021,38,24,6,8,76,42,78,75,3
587,ligue 1,Lyon,2020,2021,38,22,10,6,81,43,76,73,3
588,ligue 1,Marseille,2020,2021,38,16,12,10,54,47,60,55,5
589,ligue 1,Rennes,2020,2021,38,16,10,12,52,40,58,61,-3
590,ligue 1,Lens,2020,2021,38,15,12,11,55,54,57,51,6
591,ligue 1,Montpellier,2020,2021,38,14,12,12,60,62,54,49,5
592,ligue 1,Nice,2020,2021,38,15,7,16,50,53,52,51,1
593,ligue 1,Metz,2020,2021,38,12,11,15,44,48,47,48,-1
594,ligue 1,Saint-Etienne,2020,2021,38,12,10,16,42,54,46,42,4
595,ligue 1,Bordeaux,2020,2021,38,13,6,19,42,56,45,43,2
596,ligue 1,Angers,2020,2021,38,12,8,18,40,58,44,39,5
597,ligue 1,Reims,2020,2021,38,9,15,14,42,50,42,43,-1
598,ligue 1,Strasbourg,2020,2021,38,11,9,18,49,58,42,46,-4
599,ligue 1,Lorient,2020,2021,38,11,9,18,50,68,42,41,1
600,ligue 1,Brest,2020,2021,38,11,8,19,50,66,41,42,-1
601,ligue 1,Nantes,2020,2021,38,9,13,16,47,55,40,44,-4
602,ligue 1,Nimes,2020,2021,38,9,8,21,40,71,35,32,3
603,ligue 1,Dijon,2020,2021,38,4,9,25,25,73,21,19,2
604,ligue 1,Paris Saint Germain,2021,2022,38,26,8,4,90,36,86,82,4
605,ligue 1,Marseille,2021,2022,38,21,8,9,63,38,71,71,0
606,ligue 1,Monaco,2021,2022,38,20,9,9,65,40,69,69,0
607,ligue 1,Nice,2021,2022,38,20,7,11,52,36,67,66,1
608,ligue 1,Rennes,2021,2022,38,20,6,12,82,40,66,79,-13
609,ligue 1,Strasbourg,2021,2022,38,17,12,9,60,43,63,62,1
610,ligue 1,Lyon,2021,2022,38,17,11,10,66,51,62,60,2
611,ligue 1,Lens,2021,2022,38,17,11,10,62,48,62,60,2
612,ligue 1,Nantes,2021,2022,38,15,10,13,55,48,55,56,-1
613,ligue 1,Lille,2021,2022,38,14,13,11,48,48,55,50,5
614,ligue 1,Brest,2021,2022,38,13,9,16,49,57,48,46,2
615,ligue 1,Reims,2021,2022,38,11,13,14,43,44,46,49,-3
616,ligue 1,Montpellier,2021,2022,38,12,7,19,49,61,43,45,-2
617,ligue 1,Angers,2021,2022,38,10,11,17,44,55,41,43,-2
618,ligue 1,Troyes,2021,2022,38,9,11,18,37,53,38,38,0
619,ligue 1,Lorient,2021,2022,38,8,12,18,35,63,36,31,5
620,ligue 1,Clermont Foot,2021,2022,38,9,9,20,38,69,36,31,5
621,ligue 1,Saint-Etienne,2021,2022,38,7,11,20,42,77,32,30,2
622,ligue 1,Metz,2021,2022,38,6,13,19,35,69,31,28,3
623,ligue 1,Bordeaux,2021,2022,38,6,13,19,52,91,31,31,0
624,serie a,Juventus,2014,2015,38,26,9,3,72,24,87,86,1
625,serie a,Roma,2014,2015,38,19,13,6,54,31,70,69,1
626,serie a,Lazio,2014,2015,38,21,6,11,71,38,69,76,-7
627,serie a,Fiorentina,2014,2015,38,18,10,10,61,46,64,62,2
628,serie a,Napoli,2014,2015,38,18,9,11,70,54,63,61,2
629,serie a,Genoa,2014,2015,38,16,11,11,62,47,59,61,-2
630,serie a,Sampdoria,2014,2015,38,13,17,8,48,42,56,53,3
631,serie a,Inter,2014,2015,38,14,13,11,59,48,55,57,-2
632,serie a,Torino,2014,2015,38,14,12,12,48,45,54,53,1
633,serie a,AC Milan,2014,2015,38,13,13,12,56,50,52,54,-2
634,serie a,Palermo,2014,2015,38,12,13,13,53,55,49,49,0
635,serie a,Sassuolo,2014,2015,38,12,13,13,49,57,49,45,4
636,serie a,Verona,2014,2015,38,11,13,14,49,65,46,40,6
637,serie a,Chievo,2014,2015,38,10,13,15,28,41,43,37,6
638,serie a,Empoli,2014,2015,38,8,18,12,46,52,42,43,-1
639,serie a,Udinese,2014,2015,38,10,11,17,43,56,41,42,-1
640,serie a,Atalanta,2014,2015,38,7,16,15,38,57,37,35,2
641,serie a,Cagliari,2014,2015,38,8,10,20,48,68,34,39,-5
642,serie a,Parma,2014,2015,38,6,8,24,33,75,26,25,1
643,serie a,Cesena,2014,2015,38,4,12,22,36,73,24,27,-3
644,serie a,Juventus,2015,2016,38,29,4,5,75,20,91,95,-4
645,serie a,Napoli,2015,2016,38,25,7,6,80,32,82,83,-1
646,serie a,Roma,2015,2016,38,23,11,4,83,41,80,75,5
647,serie a,Inter,2015,2016,38,20,7,11,50,38,67,63,4
648,serie a,Fiorentina,2015,2016,38,18,10,10,60,42,64,64,0
649,serie a,Sassuolo,2015,2016,38,16,13,9,49,40,61,57,4
650,serie a,AC Milan,2015,2016,38,15,12,11,49,43,57,55,2
651,serie a,Lazio,2015,2016,38,15,9,14,52,52,54,52,2
652,serie a,Chievo,2015,2016,38,13,11,14,43,45,50,49,1
653,serie a,Genoa,2015,2016,38,13,7,18,45,48,46,51,-5
654,serie a,Empoli,2015,2016,38,12,10,16,40,49,46,44,2
655,serie a,Torino,2015,2016,38,12,9,17,52,55,45,50,-5
656,serie a,Atalanta,2015,2016,38,11,12,15,41,47,45,46,-1
657,serie a,Bologna,2015,2016,38,11,9,18,33,45,42,41,1
658,serie a,Sampdoria,2015,2016,38,10,10,18,48,61,40,43,-3
659,serie a,Udinese,2015,2016,38,10,9,19,35,60,39,33,6
660,serie a,Palermo,2015,2016,38,10,9,19,38,65,39,33,6
661,serie a,Carpi,2015,2016,38,9,11,18,37,57,38,36,2
662,serie a,Frosinone,2015,2016,38,8,7,23,35,76,31,27,4
663,serie a,Verona,2015,2016,38,5,13,20,34,63,28,29,-1
664,serie a,Juventus,2016,2017,38,29,4,5,77,27,91,89,2
665,serie a,Roma,2016,2017,38,28,3,7,90,38,87,85,2
666,serie a,Napoli,2016,2017,38,26,8,4,94,39,86,82,4
667,serie a,Atalanta,2016,2017,38,21,9,8,62,41,72,67,5
668,serie a,Lazio,2016,2017,38,21,7,10,74,51,70,67,3
669,serie a,AC Milan,2016,2017,38,18,9,11,57,45,63,61,2
670,serie a,Inter,2016,2017,38,19,5,14,72,49,62,68,-6
671,serie a,Fiorentina,2016,2017,38,16,12,10,63,57,60,54,6
672,serie a,Torino,2016,2017,38,13,14,11,71,66,53,52,1
673,serie a,Sassuolo,2016,2017,38,14,7,17,60,61,49,52,-3
674,serie a,Sampdoria,2016,2017,38,12,12,14,49,55,48,46,2
675,serie a,Cagliari,2016,2017,38,14,5,19,55,76,47,42,5
676,serie a,Udinese,2016,2017,38,12,9,17,47,56,45,46,-1
677,serie a,Chievo,2016,2017,38,12,7,19,43,61,43,40,3
678,serie a,Bologna,2016,2017,38,11,8,19,40,58,41,39,2
679,serie a,Genoa,2016,2017,38,9,9,20,38,64,36,34,2
680,serie a,Crotone,2016,2017,38,9,7,22,34,58,34,34,0
681,serie a,Empoli,2016,2017,38,8,8,22,29,61,32,27,5
682,serie a,Palermo,2016,2017,38,6,8,24,33,77,26,24,2
683,serie a,Pescara,2016,2017,38,2,9,27,35,83,15,24,-9
684,serie a,Juventus,2017,2018,38,30,5,3,86,24,95,93,2
685,serie a,Napoli,2017,2018,38,28,7,3,77,29,91,85,6
686,serie a,Roma,2017,2018,38,23,8,7,61,28,77,79,-2
687,serie a,Lazio,2017,2018,38,21,9,8,89,49,72,73,-1
688,serie a,Inter,2017,2018,38,20,12,6,66,30,72,76,-4
689,serie a,AC Milan,2017,2018,38,18,10,10,56,42,64,62,2
690,serie a,Atalanta,2017,2018,38,16,12,10,57,39,60,64,-4
691,serie a,Fiorentina,2017,2018,38,16,9,13,54,46,57,58,-1
692,serie a,Torino,2017,2018,38,13,15,10,54,46,54,55,-1
693,serie a,Sampdoria,2017,2018,38,16,6,16,56,60,54,51,3
694,serie a,Sassuolo,2017,2018,38,11,10,17,29,59,43,28,15
695,serie a,Genoa,2017,2018,38,11,8,19,33,43,41,43,-2
696,serie a,Udinese,2017,2018,38,12,4,22,48,63,40,44,-4
697,serie a,Chievo,2017,2018,38,10,10,18,36,59,40,34,6
698,serie a,Bologna,2017,2018,38,11,6,21,40,52,39,44,-5
699,serie a,Cagliari,2017,2018,38,11,6,21,33,61,39,32,7
700,serie a,SPAL 2013,2017,2018,38,8,14,16,39,59,38,35,3
701,serie a,Crotone,2017,2018,38,9,8,21,40,66,35,35,0
702,serie a,Verona,2017,2018,38,7,4,27,30,78,25,22,3
703,serie a,Benevento,2017,2018,38,6,3,29,33,84,21,23,-2
704,serie a,Juventus,2018,2019,38,28,6,4,70,30,90,82,8
705,serie a,Napoli,2018,2019,38,24,7,7,74,36,79,78,1
706,serie a,Atalanta,2018,2019,38,20,9,9,77,46,69,70,-1
707,serie a,Inter,2018,2019,38,20,9,9,57,33,69,71,-2
708,serie a,AC Milan,2018,2019,38,19,11,8,55,36,68,66,2
709,serie a,Roma,2018,2019,38,18,12,8,66,48,66,62,4
710,serie a,Torino,2018,2019,38,16,15,7,52,37,63,61,2
711,serie a,Lazio,2018,2019,38,17,8,13,56,46,59,60,-1
712,serie a,Sampdoria,2018,2019,38,15,8,15,60,51,53,59,-6
713,serie a,Bologna,2018,2019,38,11,11,16,48,56,44,45,-1
714,serie a,Sassuolo,2018,2019,38,9,16,13,53,60,43,44,-1
715,serie a,Udinese,2018,2019,38,11,10,17,39,53,43,41,2
716,serie a,SPAL 2013,2018,2019,38,11,9,18,44,56,42,43,-1
717,serie a,Fiorentina,2018,2019,38,8,17,13,47,45,41,49,-8
718,serie a,Cagliari,2018,2019,38,10,11,17,36,54,41,37,4
719,serie a,Parma Calcio 1913,2018,2019,38,10,11,17,41,61,41,37,4
720,serie a,Genoa,2018,2019,38,8,14,16,39,57,38,37,1
721,serie a,Empoli,2018,2019,38,10,8,20,51,70,38,41,-3
722,serie a,Frosinone,2018,2019,38,5,10,23,29,69,25,23,2
723,serie a,Chievo,2018,2019,38,2,14,22,25,75,20,17,3
724,serie a,Juventus,2019,2020,38,26,5,7,76,43,83,75,8
725,serie a,Inter,2019,2020,38,24,10,4,81,36,82,78,4
726,serie a,Atalanta,2019,2020,38,23,9,6,98,48,78,76,2
727,serie a,Lazio,2019,2020,38,24,6,8,79,42,78,76,2
728,serie a,Roma,2019,2020,38,21,7,10,77,51,70,68,2
729,serie a,AC Milan,2019,2020,38,19,9,10,63,46,66,63,3
730,serie a,Napoli,2019,2020,38,18,8,12,61,50,62,60,2
731,serie a,Sassuolo,2019,2020,38,14,9,15,69,63,51,55,-4
732,serie a,Fiorentina,2019,2020,38,12,13,13,51,48,49,52,-3
733,serie a,Parma Calcio 1913,2019,2020,38,14,7,17,56,57,49,52,-3
734,serie a,Verona,2019,2020,38,12,13,13,47,51,49,47,2
735,serie a,Bologna,2019,2020,38,12,11,15,52,65,47,43,4
736,serie a,Cagliari,2019,2020,38,11,12,15,52,56,45,48,-3
737,serie a,Udinese,2019,2020,38,12,9,17,37,51,45,40,5
738,serie a,Sampdoria,2019,2020,38,12,6,20,48,65,42,42,0
739,serie a,Torino,2019,2020,38,11,7,20,46,68,40,39,1
740,serie a,Genoa,2019,2020,38,10,9,19,47,73,39,36,3
