,Team,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,AvgGS,AvgGA,Estimated_Wins_Extended,Estimated_Draws_Extended,Estimated_Loses_Extended,Points,Estimated_Points_Simple,Delta_Points_Simple,Estimated_Points_Extended,Delta_Points_Extended
0,Barcelona,38,30,4,4,110,21,2.8947368421052633,0.5526315789473685,30.0,1.0,7.0,94,96,-2,92.0,2.0
1,Real Madrid,38,30,2,6,118,38,3.1052631578947367,1.0,27.0,1.0,10.0,92,89,3,82.0,10.0
2,Atletico Madrid,38,23,9,6,67,29,1.763157894736842,0.7631578947368421,25.0,1.0,12.0,78,76,2,76.0,2.0
3,Valencia,38,22,11,5,70,32,1.8421052631578947,0.8421052631578947,24.0,1.0,13.0,77,74,3,75.0,2.0
4,Sevilla,38,23,7,8,71,45,1.868421052631579,1.1842105263157894,22.0,1.0,15.0,76,67,9,67.0,9.0
5,Villarreal,38,16,12,10,48,37,1.263157894736842,0.9736842105263158,21.0,1.0,16.0,60,58,2,63.0,-3.0
6,Athletic Club,38,15,10,13,42,41,1.105263157894737,1.0789473684210527,18.0,1.0,19.0,55,52,3,57.0,-2.0
7,Celta Vigo,38,13,12,13,47,44,1.236842105263158,1.1578947368421053,19.0,1.0,18.0,51,53,-2,58.0,-7.0
8,Malaga,38,14,8,16,42,48,1.105263157894737,1.263157894736842,17.0,1.0,20.0,50,48,2,53.0,-3.0
9,Espanyol,38,13,10,15,47,51,1.236842105263158,1.3421052631578947,18.0,1.0,19.0,49,49,0,55.0,-6.0
10,Rayo Vallecano,38,15,4,19,46,68,1.2105263157894737,1.7894736842105263,15.0,1.0,22.0,49,42,7,47.0,2.0
11,Real Sociedad,38,11,13,14,44,51,1.1578947368421053,1.3421052631578947,17.0,1.0,20.0,46,46,0,53.0,-7.0
12,Elche,38,11,8,19,35,62,0.9210526315789473,1.631578947368421,14.0,1.0,23.0,41,35,6,42.0,-1.0
13,Getafe,38,10,7,21,33,64,0.868421052631579,1.6842105263157894,13.0,1.0,24.0,37,33,4,40.0,-3.0
14,Levante,38,9,10,19,34,67,0.8947368421052632,1.763157894736842,13.0,1.0,24.0,37,31,6,40.0,-3.0
15,Eibar,38,9,8,21,34,55,0.8947368421052632,1.4473684210526316,14.0,1.0,23.0,35,38,-3,44.0,-9.0
16,Deportivo La Coruna,38,7,14,17,35,60,0.9210526315789473,1.5789473684210527,14.0,1.0,23.0,35,34,1,43.0,-8.0
17,Granada,38,7,14,17,29,64,0.7631578947368421,1.6842105263157894,12.0,1.0,25.0,35,27,8,37.0,-2.0
18,Almeria,38,8,8,22,35,64,0.9210526315789473,1.6842105263157894,13.0,1.0,24.0,32,34,-2,41.0,-9.0
19,Cordoba,38,3,11,24,22,68,0.5789473684210527,1.7894736842105263,10.0,1.0,27.0,20,21,-1,30.0,-10.0
