,Team,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,AvgGS,AvgGA,Estimated_Wins_Extended,Estimated_Draws_Extended,Estimated_Loses_Extended,Points,Estimated_Points_Simple,Delta_Points_Simple,Estimated_Points_Extended,Delta_Points_Extended
0,Barcelona,38,29,4,5,112,29,2.9473684210526314,0.7631578947368421,29.0,3.0,6.0,91,91,0,90.0,1.0
1,Real Madrid,38,28,6,4,110,34,2.8947368421052633,0.8947368421052632,28.0,3.0,7.0,90,86,4,87.0,3.0
2,Atletico Madrid,38,28,4,6,63,18,1.6578947368421053,0.47368421052631576,28.0,6.0,4.0,88,89,-1,90.0,-2.0
3,Villarreal,38,18,10,10,44,35,1.1578947368421053,0.9210526315789473,20.0,6.0,12.0,64,59,5,67.0,-3.0
4,Athletic Club,38,18,8,12,58,45,1.5263157894736843,1.1842105263157894,21.0,4.0,13.0,62,61,1,67.0,-5.0
5,Celta Vigo,38,17,9,12,51,59,1.3421052631578947,1.5526315789473684,17.0,4.0,17.0,60,47,13,56.0,4.0
6,Sevilla,38,14,10,14,51,50,1.3421052631578947,1.3157894736842106,18.0,4.0,16.0,52,52,0,60.0,-8.0
7,Malaga,38,12,12,14,38,35,1.0,0.9210526315789473,19.0,6.0,13.0,48,53,-5,63.0,-15.0
8,Real Sociedad,38,13,9,16,45,48,1.1842105263157894,1.263157894736842,18.0,5.0,15.0,48,50,-2,58.0,-10.0
9,Real Betis,38,11,12,15,34,52,0.8947368421052632,1.368421052631579,14.0,5.0,19.0,45,38,7,49.0,-4.0
10,Valencia,38,11,11,16,46,48,1.2105263157894737,1.263157894736842,18.0,5.0,15.0,44,50,-6,59.0,-15.0
11,Las Palmas,38,12,8,18,45,53,1.1842105263157894,1.394736842105263,17.0,5.0,16.0,44,47,-3,56.0,-12.0
12,Eibar,38,11,10,17,49,61,1.2894736842105263,1.605263157894737,16.0,4.0,18.0,43,45,-2,54.0,-11.0
13,Espanyol,38,12,7,19,40,74,1.0526315789473684,1.9473684210526316,13.0,4.0,21.0,43,34,9,44.0,-1.0
14,Deportivo La Coruna,38,8,18,12,45,61,1.1842105263157894,1.605263157894737,16.0,4.0,18.0,42,39,3,52.0,-10.0
15,Sporting Gijon,38,10,9,19,40,62,1.0526315789473684,1.631578947368421,15.0,4.0,19.0,39,39,0,49.0,-10.0
16,Granada,38,10,9,19,46,69,1.2105263157894737,1.8157894736842106,15.0,4.0,19.0,39,39,0,49.0,-10.0
17,Rayo Vallecano,38,9,11,18,52,73,1.368421052631579,1.9210526315789473,15.0,4.0,19.0,38,41,-3,51.0,-13.0
18,Getafe,38,9,9,20,37,67,0.9736842105263158,1.763157894736842,13.0,4.0,21.0,36,34,2,45.0,-9.0
19,Levante,38,8,8,22,37,70,0.9736842105263158,1.8421052631578947,13.0,4.0,21.0,32,33,-1,43.0,-11.0
