,Team,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,AvgGS,AvgGA,Estimated_Wins_Extended,Estimated_Draws_Extended,Estimated_Loses_Extended,Points,Estimated_Points_Simple,Delta_Points_Simple,Estimated_Points_Extended,Delta_Points_Extended
0,Real Madrid,38,26,9,3,70,25,1.8421052631578947,0.6578947368421053,12.0,141.0,-115.0,87,84,3,178.0,-91.0
1,Barcelona,38,25,7,6,86,38,2.263157894736842,1.0,12.0,141.0,-115.0,82,81,1,178.0,-96.0
2,Atletico Madrid,38,18,16,4,51,27,1.3421052631578947,0.7105263157894737,11.0,155.0,-128.0,70,69,1,187.0,-117.0
3,Sevilla,38,19,13,6,54,34,1.4210526315789473,0.8947368421052632,11.0,155.0,-128.0,70,66,4,187.0,-117.0
4,Villarreal,38,18,6,14,63,49,1.6578947368421053,1.2894736842105263,12.0,141.0,-115.0,60,63,-3,178.0,-118.0
5,Real Sociedad,38,16,8,14,56,48,1.4736842105263157,1.263157894736842,11.0,155.0,-128.0,56,58,-2,187.0,-131.0
6,Granada,38,16,8,14,52,45,1.368421052631579,1.1842105263157894,11.0,155.0,-128.0,56,58,-2,187.0,-131.0
7,Getafe,38,14,12,12,43,37,1.131578947368421,0.9736842105263158,11.0,155.0,-128.0,54,56,-2,187.0,-133.0
8,Valencia,38,14,11,13,46,53,1.2105263157894737,1.394736842105263,11.0,155.0,-128.0,53,46,7,187.0,-134.0
9,Osasuna,38,13,13,12,46,54,1.2105263157894737,1.4210526315789473,11.0,155.0,-128.0,52,44,8,187.0,-135.0
10,Athletic Club,38,13,12,13,41,38,1.0789473684210527,1.0,11.0,155.0,-128.0,51,53,-2,187.0,-136.0
11,Levante,38,14,7,17,47,53,1.236842105263158,1.394736842105263,11.0,155.0,-128.0,49,49,0,187.0,-138.0
12,Real Valladolid,38,9,15,14,32,43,0.8421052631578947,1.131578947368421,11.0,155.0,-128.0,42,39,3,187.0,-145.0
13,Eibar,38,11,9,18,39,56,1.0263157894736843,1.4736842105263157,11.0,155.0,-128.0,42,39,3,187.0,-145.0
14,Real Betis,38,10,11,17,48,60,1.263157894736842,1.5789473684210527,11.0,155.0,-128.0,41,43,-2,187.0,-146.0
15,Alaves,38,10,9,19,34,59,0.8947368421052632,1.5526315789473684,11.0,155.0,-128.0,39,33,6,187.0,-148.0
16,Celta Vigo,38,7,16,15,37,49,0.9736842105263158,1.2894736842105263,11.0,155.0,-128.0,37,39,-2,187.0,-150.0
17,Leganes,38,8,12,18,30,51,0.7894736842105263,1.3421052631578947,11.0,155.0,-128.0,36,32,4,187.0,-151.0
18,Mallorca,38,9,6,23,40,65,1.0526315789473684,1.7105263157894737,10.0,141.0,-113.0,33,36,-3,171.0,-138.0
19,Espanyol,38,5,10,23,27,58,0.7105263157894737,1.5263157894736843,11.0,155.0,-128.0,25,26,-1,187.0,-162.0
