,Team,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,AvgGS,AvgGA,Estimated_Wins_Extended,Estimated_Draws_Extended,Estimated_Loses_Extended,Points,Estimated_Points_Simple,Delta_Points_Simple,Estimated_Points_Extended,Delta_Points_Extended
0,Barcelona,38,28,9,1,99,29,2.6052631578947367,0.7631578947368421,26.0,6.0,6.0,93,89,4,84.0,9.0
1,Atletico Madrid,38,23,10,5,58,22,1.5263157894736843,0.5789473684210527,24.0,9.0,5.0,79,82,-3,82.0,-3.0
2,Real Madrid,38,22,10,6,94,44,2.473684210526316,1.1578947368421053,23.0,5.0,10.0,76,77,-1,75.0,1.0
3,Valencia,38,22,7,9,65,38,1.7105263157894737,1.0,22.0,7.0,9.0,73,72,1,72.0,1.0
4,Villarreal,38,18,7,13,57,50,1.5,1.3157894736842106,19.0,6.0,13.0,61,58,3,64.0,-3.0
5,Real Betis,38,18,6,14,60,61,1.5789473684210527,1.605263157894737,18.0,6.0,14.0,60,53,7,60.0,0.0
6,Sevilla,38,17,7,14,49,58,1.2894736842105263,1.5263157894736843,17.0,6.0,15.0,58,47,11,58.0,0.0
7,Getafe,38,15,10,13,42,33,1.105263157894737,0.868421052631579,20.0,9.0,9.0,55,60,-5,68.0,-13.0
8,Eibar,38,14,9,15,44,50,1.1578947368421053,1.3157894736842106,17.0,7.0,14.0,51,47,4,59.0,-8.0
9,Girona,38,14,9,15,50,59,1.3157894736842106,1.5526315789473684,17.0,6.0,15.0,51,46,5,58.0,-7.0
10,Real Sociedad,38,14,7,17,66,59,1.736842105263158,1.5526315789473684,19.0,5.0,14.0,49,57,-8,63.0,-14.0
11,Celta Vigo,38,13,10,15,59,60,1.5526315789473684,1.5789473684210527,18.0,6.0,14.0,49,51,-2,60.0,-11.0
12,Espanyol,38,12,13,13,36,42,0.9473684210526315,1.105263157894737,17.0,8.0,13.0,49,45,4,60.0,-11.0
13,Alaves,38,15,2,21,40,50,1.0526315789473684,1.3157894736842106,17.0,7.0,14.0,47,47,0,58.0,-11.0
14,Levante,38,11,13,14,44,58,1.1578947368421053,1.5263157894736843,16.0,7.0,15.0,46,40,6,56.0,-10.0
15,Athletic Club,38,10,13,15,41,49,1.0789473684210527,1.2894736842105263,17.0,7.0,14.0,43,44,-1,59.0,-16.0
16,Leganes,38,12,7,19,34,51,0.8947368421052632,1.3421052631578947,15.0,8.0,15.0,43,38,5,54.0,-11.0
17,Deportivo La Coruna,38,6,11,21,38,76,1.0,2.0,14.0,6.0,18.0,29,28,1,47.0,-18.0
18,Las Palmas,38,5,7,26,24,74,0.631578947368421,1.9473684210526316,11.0,7.0,20.0,22,18,4,41.0,-19.0
19,Malaga,38,5,5,28,24,61,0.631578947368421,1.605263157894737,12.0,8.0,18.0,20,23,-3,45.0,-25.0
