,Team,Matches,Wins,Draws,Loses,GoalsScored,GoalsReceived,AvgGS,AvgGA,Estimated_Wins_Extended,Estimated_Draws_Extended,Estimated_Loses_Extended,Points,Estimated_Points_Simple,Delta_Points_Simple,Estimated_Points_Extended,Delta_Points_Extended
0,Barcelona,38,26,9,3,90,36,2.3684210526315788,0.9473684210526315,22.0,15.0,1.0,87,83,4,81.0,6.0
1,Atletico Madrid,38,22,10,6,55,29,1.4473684210526316,0.7631578947368421,21.0,20.0,-3.0,76,75,1,82.0,-6.0
2,Real Madrid,38,21,5,12,63,46,1.6578947368421053,1.2105263157894737,19.0,16.0,3.0,68,67,1,74.0,-6.0
3,Valencia,38,15,16,7,51,35,1.3421052631578947,0.9210526315789473,19.0,19.0,0.0,61,62,-1,78.0,-17.0
4,Sevilla,38,17,8,13,62,47,1.631578947368421,1.236842105263158,19.0,16.0,3.0,59,63,-4,73.0,-14.0
5,Getafe,38,15,14,9,48,35,1.263157894736842,0.9210526315789473,19.0,20.0,-1.0,59,61,-2,78.0,-19.0
6,Espanyol,38,14,11,13,48,50,1.263157894736842,1.3157894736842106,17.0,17.0,4.0,53,49,4,70.0,-17.0
7,Athletic Club,38,13,14,11,41,45,1.0789473684210527,1.1842105263157894,17.0,19.0,2.0,53,46,7,71.0,-18.0
8,Real Sociedad,38,13,11,14,45,46,1.1842105263157894,1.2105263157894737,18.0,18.0,2.0,50,50,0,71.0,-21.0
9,Real Betis,38,14,8,16,44,52,1.1578947368421053,1.368421052631579,17.0,18.0,3.0,50,46,4,69.0,-19.0
10,Alaves,38,13,11,14,39,50,1.0263157894736843,1.3157894736842106,16.0,19.0,3.0,50,42,8,68.0,-18.0
11,Eibar,38,11,14,13,46,50,1.2105263157894737,1.3157894736842106,17.0,18.0,3.0,47,46,1,70.0,-23.0
12,Leganes,38,11,12,15,37,43,0.9736842105263158,1.131578947368421,17.0,20.0,1.0,45,45,0,70.0,-25.0
13,Villarreal,38,10,14,14,49,52,1.2894736842105263,1.368421052631579,17.0,17.0,4.0,44,47,-3,70.0,-26.0
14,Levante,38,11,11,16,59,66,1.5526315789473684,1.736842105263158,17.0,14.0,7.0,44,47,-3,67.0,-23.0
15,Celta Vigo,38,10,11,17,53,62,1.394736842105263,1.631578947368421,17.0,15.0,6.0,41,45,-4,67.0,-26.0
16,Real Valladolid,38,10,11,17,32,51,0.8421052631578947,1.3421052631578947,15.0,20.0,3.0,41,34,7,66.0,-25.0
17,Girona,38,9,10,19,37,53,0.9736842105263158,1.394736842105263,16.0,19.0,3.0,37,38,-1,66.0,-29.0
18,SD Huesca,38,7,12,19,43,65,1.131578947368421,1.7105263157894737,16.0,16.0,6.0,33,35,-2,64.0,-31.0
19,Rayo Vallecano,38,8,8,22,41,70,1.0789473684210527,1.8421052631578947,15.0,16.0,7.0,32,32,0,62.0,-30.0
