,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Bayern Munich,34,26,4,4,100,32,82,92.85,88.3,36.47,33.44,54.86,7.84,19.19,407,119,77.33
2,Borussia Dortmund,34,21,6,7,84,41,69,64.26,62.75,42.02,39.75,22.99,11.7,16.94,297,135,62.48
3,RasenBallsport Leipzig,34,18,12,4,81,37,66,76.13,72.34,37.58,36.07,36.27,10.55,12.83,303,157,68.71
4,Borussia M.Gladbach,34,20,5,9,66,40,65,73.58,69.01,46.05,44.54,24.47,10.82,11.55,232,166,62.63
5,Bayer Leverkusen,34,19,6,9,61,44,63,61.88,60.37,49.68,48.16,12.21,7.69,14.98,230,158,54.62
6,Hoffenheim,34,15,7,12,53,53,52,56.66,53.63,58.75,52.69,0.9400000000000001,12.35,12.56,201,230,45.87
7,Wolfsburg,34,13,10,11,48,46,49,54.43,51.4,41.91,38.12,13.28,9.6,9.45,192,171,55.69
8,Freiburg,34,13,9,12,48,47,48,46.14,41.59,63.37,60.31,-18.72,14.76,11.28,158,258,39.15
9,Eintracht Frankfurt,34,13,6,15,59,60,45,58.33,56.82,50.93,48.65,8.17,9.59,11.99,188,166,52.72
10,Hertha Berlin,34,11,8,15,48,59,41,44.3,42.03,55.58,50.27,-8.25,13.08,11.05,151,241,39.55
11,Union Berlin,34,12,5,17,41,58,41,41.58,37.79,54.94,51.91,-14.12,12.44,8.64,119,216,39.32
12,Schalke 04,34,9,12,13,38,58,39,35.93,34.41,54.22,49.68,-15.27,9.97,9.5,194,180,35.84
13,Mainz 05,34,11,4,19,44,65,37,46.19,43.92,62.9,59.11,-15.19,12.5,8.27,181,242,39.15
14,Augsburg,34,9,9,16,45,63,36,43.86,40.07,59.12,58.36,-18.29,15.83,7.93,133,223,39.78
15,FC Cologne,34,10,6,18,51,69,36,49.28,46.25,54.54,50.0,-3.75,10.65,9.34,167,226,43.89
16,Werder Bremen,34,8,7,19,42,69,31,37.74,33.19,56.94,56.18,-22.99,11.75,10.31,186,205,35.12
17,Fortuna Duesseldorf,34,6,12,16,36,67,30,35.69,32.66,64.45,60.66,-28.0,14.72,11.14,143,207,32.87
18,Paderborn,34,4,8,22,37,74,20,38.47,35.43,67.83,64.04,-28.61,12.53,8.74,113,295,28.67
