,match_id,home_team_id,home_team,home_short_title,away_team_id,away_team,away_short_title,home_goals,away_goals,datetime
61,12463,131,Wolfsburg,WOL,240,Union Berlin,UNI,1,0,2019-10-06 14:30:00
62,12464,132,Eintracht Frankfurt,EIN,123,Werder Bremen,WER,2,2,2019-10-06 17:00:00
63,12471,132,Eintracht Frankfurt,EIN,119,Bayer Leverkusen,LEV,3,0,2019-10-18 19:30:00
64,12466,121,Augsburg,AUG,117,Bayern Munich,BAY,2,2,2019-10-19 14:30:00
65,12468,240,Union Berlin,UNI,135,Freiburg,FRE,2,0,2019-10-19 14:30:00
66,12470,136,RasenBallsport Leipzig,RBL,131,Wolfsburg,WOL,1,1,2019-10-19 14:30:00
67,12472,123,Werder Bremen,WER,122,Hertha Berlin,HER,1,1,2019-10-19 14:30:00
68,12474,233,Fortuna Duesseldorf,FOR,125,Mainz 05,MAI,1,0,2019-10-19 14:30:00
69,12469,129,Borussia Dortmund,DOR,130,Borussia M.Gladbach,BMG,1,0,2019-10-19 17:30:00
70,12467,134,FC Cologne,COL,205,Paderborn,PAD,3,0,2019-10-20 14:30:00
71,12473,120,Hoffenheim,HOF,124,Schalke 04,SCH,2,0,2019-10-20 17:00:00
72,12483,125,Mainz 05,MAI,134,FC Cologne,COL,3,1,2019-10-25 19:30:00
73,12476,117,Bayern Munich,BAY,240,Union Berlin,UNI,2,1,2019-10-26 14:30:00
74,12477,205,Paderborn,PAD,233,Fortuna Duesseldorf,FOR,2,0,2019-10-26 14:30:00
75,12478,124,Schalke 04,SCH,129,Borussia Dortmund,DOR,0,0,2019-10-26 14:30:00
76,12481,135,Freiburg,FRE,136,RasenBallsport Leipzig,RBL,2,1,2019-10-26 14:30:00
77,12482,122,Hertha Berlin,HER,120,Hoffenheim,HOF,2,3,2019-10-26 14:30:00
78,12475,119,Bayer Leverkusen,LEV,123,Werder Bremen,WER,2,2,2019-10-26 17:30:00
79,12480,131,Wolfsburg,WOL,121,Augsburg,AUG,0,0,2019-10-27 14:30:00
80,12479,130,Borussia M.Gladbach,BMG,132,Eintracht Frankfurt,EIN,4,2,2019-10-27 17:00:00
81,12489,120,Hoffenheim,HOF,205,Paderborn,PAD,3,0,2019-11-01 19:30:00
82,12484,129,Borussia Dortmund,DOR,131,Wolfsburg,WOL,3,0,2019-11-02 14:30:00
83,12485,136,RasenBallsport Leipzig,RBL,125,Mainz 05,MAI,8,0,2019-11-02 14:30:00
84,12486,119,Bayer Leverkusen,LEV,130,Borussia M.Gladbach,BMG,1,2,2019-11-02 14:30:00
85,12487,132,Eintracht Frankfurt,EIN,117,Bayern Munich,BAY,5,1,2019-11-02 14:30:00
86,12488,123,Werder Bremen,WER,135,Freiburg,FRE,2,2,2019-11-02 14:30:00
87,12492,240,Union Berlin,UNI,122,Hertha Berlin,HER,1,0,2019-11-02 17:30:00
88,12490,233,Fortuna Duesseldorf,FOR,134,FC Cologne,COL,2,0,2019-11-03 14:30:00
89,12491,121,Augsburg,AUG,124,Schalke 04,SCH,2,3,2019-11-03 17:00:00
90,12498,134,FC Cologne,COL,120,Hoffenheim,HOF,1,2,2019-11-08 19:30:00
91,12494,122,Hertha Berlin,HER,136,RasenBallsport Leipzig,RBL,2,4,2019-11-09 14:30:00
92,12495,125,Mainz 05,MAI,240,Union Berlin,UNI,2,3,2019-11-09 14:30:00
93,12497,124,Schalke 04,SCH,233,Fortuna Duesseldorf,FOR,3,3,2019-11-09 14:30:00
94,12499,205,Paderborn,PAD,121,Augsburg,AUG,0,1,2019-11-09 14:30:00
95,12493,117,Bayern Munich,BAY,129,Borussia Dortmund,DOR,4,0,2019-11-09 17:30:00
96,12500,130,Borussia M.Gladbach,BMG,123,Werder Bremen,WER,3,1,2019-11-10 12:30:00
97,12501,131,Wolfsburg,WOL,119,Bayer Leverkusen,LEV,0,2,2019-11-10 14:30:00
98,12496,135,Freiburg,FRE,132,Eintracht Frankfurt,EIN,1,0,2019-11-10 17:00:00
99,12502,129,Borussia Dortmund,DOR,205,Paderborn,PAD,3,3,2019-11-22 19:30:00
100,12503,119,Bayer Leverkusen,LEV,135,Freiburg,FRE,1,1,2019-11-23 14:30:00
101,12505,233,Fortuna Duesseldorf,FOR,117,Bayern Munich,BAY,0,4,2019-11-23 14:30:00
102,12507,123,Werder Bremen,WER,124,Schalke 04,SCH,1,2,2019-11-23 14:30:00
103,12508,132,Eintracht Frankfurt,EIN,131,Wolfsburg,WOL,0,2,2019-11-23 14:30:00
104,12509,240,Union Berlin,UNI,130,Borussia M.Gladbach,BMG,2,0,2019-11-23 14:30:00
105,12504,136,RasenBallsport Leipzig,RBL,134,FC Cologne,COL,4,1,2019-11-23 17:30:00
106,12510,121,Augsburg,AUG,122,Hertha Berlin,HER,4,0,2019-11-24 14:30:00
107,12506,120,Hoffenheim,HOF,125,Mainz 05,MAI,1,5,2019-11-24 17:00:00
108,12515,124,Schalke 04,SCH,240,Union Berlin,UNI,2,1,2019-11-29 19:30:00
109,12513,122,Hertha Berlin,HER,129,Borussia Dortmund,DOR,1,2,2019-11-30 14:30:00
110,12516,134,FC Cologne,COL,121,Augsburg,AUG,1,1,2019-11-30 14:30:00
111,12517,205,Paderborn,PAD,136,RasenBallsport Leipzig,RBL,2,3,2019-11-30 14:30:00
112,12518,120,Hoffenheim,HOF,233,Fortuna Duesseldorf,FOR,1,1,2019-11-30 14:30:00
113,12512,117,Bayern Munich,BAY,119,Bayer Leverkusen,LEV,1,2,2019-11-30 17:30:00
114,12511,130,Borussia M.Gladbach,BMG,135,Freiburg,FRE,4,2,2019-12-01 14:30:00
115,12519,131,Wolfsburg,WOL,123,Werder Bremen,WER,2,3,2019-12-01 17:00:00
116,12514,125,Mainz 05,MAI,132,Eintracht Frankfurt,EIN,2,1,2019-12-02 19:30:00
117,12524,132,Eintracht Frankfurt,EIN,122,Hertha Berlin,HER,2,2,2019-12-06 19:30:00
118,12520,129,Borussia Dortmund,DOR,233,Fortuna Duesseldorf,FOR,5,0,2019-12-07 14:30:00
119,12521,136,RasenBallsport Leipzig,RBL,120,Hoffenheim,HOF,3,1,2019-12-07 14:30:00
120,12523,130,Borussia M.Gladbach,BMG,117,Bayern Munich,BAY,2,1,2019-12-07 14:30:00
121,12526,135,Freiburg,FRE,131,Wolfsburg,WOL,1,0,2019-12-07 14:30:00
122,12527,121,Augsburg,AUG,125,Mainz 05,MAI,2,1,2019-12-07 14:30:00
123,12522,119,Bayer Leverkusen,LEV,124,Schalke 04,SCH,2,1,2019-12-07 17:30:00
124,12528,240,Union Berlin,UNI,134,FC Cologne,COL,2,0,2019-12-08 14:30:00
125,12525,123,Werder Bremen,WER,205,Paderborn,PAD,0,1,2019-12-08 17:00:00
126,12531,120,Hoffenheim,HOF,121,Augsburg,AUG,2,4,2019-12-13 19:30:00
127,12529,117,Bayern Munich,BAY,123,Werder Bremen,WER,6,1,2019-12-14 14:30:00
128,12533,122,Hertha Berlin,HER,135,Freiburg,FRE,1,0,2019-12-14 14:30:00
129,12534,125,Mainz 05,MAI,129,Borussia Dortmund,DOR,0,4,2019-12-14 14:30:00
130,12536,134,FC Cologne,COL,119,Bayer Leverkusen,LEV,2,0,2019-12-14 14:30:00
131,12537,205,Paderborn,PAD,240,Union Berlin,UNI,1,1,2019-12-14 14:30:00
132,12532,233,Fortuna Duesseldorf,FOR,136,RasenBallsport Leipzig,RBL,0,3,2019-12-14 17:30:00
133,12530,131,Wolfsburg,WOL,130,Borussia M.Gladbach,BMG,2,1,2019-12-15 14:30:00
134,12535,124,Schalke 04,SCH,132,Eintracht Frankfurt,EIN,1,0,2019-12-15 17:00:00
135,12543,123,Werder Bremen,WER,125,Mainz 05,MAI,0,5,2019-12-17 17:30:00
136,12538,129,Borussia Dortmund,DOR,136,RasenBallsport Leipzig,RBL,3,3,2019-12-17 19:30:00
137,12545,121,Augsburg,AUG,233,Fortuna Duesseldorf,FOR,3,0,2019-12-17 19:30:00
138,12546,240,Union Berlin,UNI,120,Hoffenheim,HOF,0,2,2019-12-17 19:30:00
