,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Monaco,38,30,5,3,107,31,95,76.04,67.68,34.89,31.09,36.58,9.08,11.2,226,139,78.06
2,Paris Saint Germain,38,27,6,5,83,27,87,82.16,74.56,24.25,21.97,52.59,7.6,18.08,329,95,87.22
3,Nice,38,22,12,4,63,36,78,51.54,45.46,50.89,47.85,-2.39,11.66,12.18,198,173,53.47
4,Lyon,38,21,4,13,80,48,67,71.13,60.49,41.03,36.47,24.02,7.06,11.86,274,143,69.07
5,Marseille,38,17,11,10,57,41,62,53.83,50.79,47.33,45.8,4.98,8.75,11.96,197,185,56.84
6,Bordeaux,38,15,14,9,53,43,59,52.02,46.69,44.11,41.07,5.62,11.03,9.38,145,177,58.16
7,Nantes,38,14,9,15,40,54,51,42.99,39.95,44.62,37.78,2.16,9.53,9.54,174,159,52.83
8,Saint-Etienne,38,12,14,12,41,42,50,42.92,38.36,50.26,47.22,-8.87,9.52,10.4,185,171,49.18
9,Rennes,38,12,14,12,36,42,50,41.81,39.53,43.54,40.5,-0.97,9.79,10.49,136,163,50.94
10,Guingamp,38,14,8,16,46,53,50,47.14,44.1,52.31,43.83,0.27,10.69,9.33,205,192,48.49
11,Lille,38,13,7,18,40,47,46,44.08,38.0,48.77,44.06,-6.06,9.91,9.58,142,185,47.24
12,Angers,38,13,7,18,40,49,46,46.19,43.15,41.02,39.5,3.66,13.15,10.39,178,150,54.69
13,Toulouse,38,10,14,14,37,41,44,41.19,34.19,42.98,36.14,-1.94,8.65,7.68,147,164,50.61
14,Metz,38,11,10,17,39,72,43,34.76,27.91,63.68,58.35,-30.44,12.81,8.04,131,261,36.0
15,Montpellier,38,10,9,19,48,66,39,44.2,41.92,52.03,46.71,-4.79,12.11,9.76,187,161,47.03
16,Dijon,38,8,13,17,46,58,37,38.59,34.79,62.66,53.54,-18.75,10.84,9.51,166,222,36.73
17,Caen,38,10,7,21,36,65,37,45.28,40.72,56.47,50.38,-9.67,11.12,8.79,122,213,45.49
18,Lorient,38,10,6,22,44,70,36,44.46,39.79,51.88,47.32,-7.52,12.26,11.81,172,179,46.81
19,Nancy,38,9,8,21,29,52,35,32.58,30.3,54.45,48.37,-18.07,10.32,8.75,121,208,39.45
20,SC Bastia,38,8,10,20,29,57,34,32.27,31.51,58.01,51.93,-20.42,12.78,6.96,100,195,36.84
