,team_id,team_name,clean_sheets
0,89,Manchester United,5
1,86,Newcastle United,10
2,90,Watford,6
3,219,Huddersfield,4
4,228,Fulham,5
5,73,Bournemouth,9
6,229,Wolverhampton Wanderers,8
7,74,Southampton,5
8,87,Liverpool,20
9,83,Arsenal,8
10,227,Cardiff,8
11,81,West Ham,6
12,82,Tottenham,13
13,75,Leicester,8
14,72,Everton,13
15,80,Chelsea,14
16,88,Manchester City,20
17,92,Burnley,8
18,220,Brighton,6
19,78,Crystal Palace,9
