,player_number,name,age,position,tall,weight,games,mins,total_passes,accurate_long_ball_passes,inaccurate_long_ball_passses,accurate_short_passes,inaccurate_short_passes,rating,accurate_cross_passes,inaccurate_cross_passes,accurate_corner_passes,inaccurate_corner_passes,accurate_freekicks,innaccurate_freekicks,total_key_passes,long_passes,short_passes,cross_passes,corner_passes,throughball_passes,freekick_passes,throwin_passes,other_passes,cross_assist,corner_assist,throughball_assist,freekick_assist,throwin_assist,other_assists,total_assists
23,422939,Nico González,21.0, DMC,188.0,85.0,27.0,1111.0,673.0,12.0,7.0,594.0,60.0,6.53,2.0,5.0,0.0,0.0,10.0,0.0,13.0,2.0,11.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
24,90782,Sergi Roberto,31.0," D(R),M(CR)",178.0,68.0,9.0,400.0,238.0,2.0,2.0,217.0,17.0,6.53,1.0,8.0,0.0,0.0,7.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
25,396158,Ferran Jutglà,24.0, FW,176.0,75.0,6.0,303.0,113.0,3.0,1.0,93.0,16.0,6.52,2.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,80774,Marc-André ter Stegen,31.0, GK,187.0,85.0,35.0,3150.0,1129.0,220.0,141.0,750.0,18.0,6.51,0.0,0.0,0.0,0.0,38.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,397469,Óscar Mingueza,24.0, D(CR),184.0,75.0,19.0,892.0,654.0,24.0,25.0,560.0,45.0,6.49,9.0,23.0,0.0,0.0,7.0,0.0,9.0,3.0,6.0,5.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
28,80767,Philippe Coutinho,31.0, M(CLR),172.0,68.0,12.0,500.0,302.0,7.0,4.0,255.0,36.0,6.46,3.0,16.0,2.0,7.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,236511,Clément Lenglet,28.0, D(C),186.0,81.0,21.0,818.0,813.0,48.0,32.0,692.0,41.0,6.3,0.0,1.0,0.0,0.0,12.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30,14260,Sergio Agüero,35.0," AM(CL),FW",173.0,70.0,4.0,151.0,39.0,0.0,0.0,29.0,10.0,6.3,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,372827,Riqui Puig,23.0," AM(C),FW",169.0,56.0,15.0,475.0,450.0,16.0,4.0,401.0,29.0,6.29,0.0,1.0,1.0,0.0,6.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,328512,Emerson Royal,24.0," D(R),M(R)",181.0,79.0,3.0,90.0,52.0,1.0,1.0,44.0,6.0,6.28,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,399627,Yusuf Demir,20.0, Forward,173.0,69.0,6.0,191.0,75.0,0.0,0.0,68.0,7.0,6.2,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,422938,Alejandro Balde,19.0, D(LR),175.0,69.0,5.0,188.0,139.0,0.0,3.0,133.0,3.0,6.14,2.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,430512,Estanis Pedrola,19.0, Forward,185.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,6.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,427284,Álvaro Sanz,22.0, Midfielder,0.0,0.0,2.0,27.0,12.0,0.0,1.0,10.0,1.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,430511,Mika Mármol,22.0, Defender,0.0,0.0,1.0,1.0,5.0,0.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
