,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Bayern Munich,34,24,6,4,88,32,78,92.24,89.21,27.41,22.87,66.34,8.16,22.59,435,89,82.0
2,Borussia Dortmund,34,23,7,4,81,44,76,64.99,61.96,42.88,39.09,22.88,13.42,14.03,268,159,62.85
3,RasenBallsport Leipzig,34,19,9,6,63,29,66,68.25,62.94,39.65,35.11,27.84,9.77,9.27,245,160,63.06
4,Bayer Leverkusen,34,18,4,12,69,52,58,61.49,57.7,45.71,41.16,16.54,9.39,14.16,288,165,57.4
5,Borussia M.Gladbach,34,16,7,11,55,42,55,54.93,49.52,52.87,50.6,-1.08,15.15,16.59,237,227,51.38
6,Wolfsburg,34,16,7,11,62,50,55,49.49,45.7,49.84,45.19,0.51,9.47,12.18,181,182,47.04
7,Eintracht Frankfurt,34,15,9,10,60,48,54,61.84,58.81,51.02,50.26,8.55,10.52,10.12,178,217,54.38
8,Werder Bremen,34,14,11,9,58,49,53,49.36,46.33,56.71,52.92,-6.59,10.86,13.62,233,206,44.36
9,Hoffenheim,34,13,12,9,70,52,51,79.95,74.65,53.29,47.98,26.67,8.72,12.53,308,239,62.96
10,Fortuna Duesseldorf,34,13,5,16,49,65,44,49.47,44.17,63.06,57.76,-13.59,15.67,9.48,163,223,39.21
11,Hertha Berlin,34,11,10,13,49,57,43,50.52,47.49,61.58,57.04,-9.55,11.2,11.21,194,252,41.95
12,Mainz 05,34,12,7,15,46,57,43,49.21,46.94,62.8,59.77,-12.83,12.68,9.65,211,244,39.34
13,Freiburg,34,8,12,14,46,61,36,41.23,36.58,61.43,56.12,-19.54,13.87,10.06,141,249,35.67
14,Schalke 04,34,8,9,17,37,55,33,46.62,39.8,51.94,47.39,-7.59,11.05,8.61,168,184,44.16
15,Augsburg,34,8,8,18,51,71,32,47.44,43.65,63.79,62.17,-18.52,10.89,10.33,182,266,37.08
16,VfB Stuttgart,34,7,7,20,32,70,28,37.38,36.62,62.7,60.42,-23.81,13.19,10.5,153,260,31.99
17,Hannover 96,34,5,6,23,31,71,21,34.81,32.54,73.12,67.82,-35.28,11.49,9.01,157,309,25.21
18,Nuernberg,34,3,10,21,26,68,19,35.37,30.83,54.8,51.77,-20.94,18.19,8.99,148,259,35.12
