,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Bayern Munich,1,1,0,0,6,1,3,4.5600000000000005,4.5600000000000005,0.76,0.76,3.8,8.17,31.85,12,3,2.95
2,Freiburg,1,1,0,0,4,0,3,1.54,1.54,0.59,0.59,0.96,9.92,6.67,6,6,2.13
3,Borussia M.Gladbach,1,1,0,0,3,1,3,2.07,2.07,0.12,0.12,1.96,9.96,18.8,21,3,2.75
4,FC Cologne,1,1,0,0,3,1,3,4.42,4.42,0.23,0.23,4.19,4.33,21.67,11,2,2.99
5,Union Berlin,1,1,0,0,3,1,3,1.18,1.18,0.35000000000000003,0.35000000000000003,0.8300000000000001,5.97,15.83,10,1,2.1
6,Mainz 05,1,1,0,0,2,1,3,1.5899999999999999,1.5899999999999999,0.8200000000000001,0.8200000000000001,0.78,16.62,6.84,3,3,1.99
7,Borussia Dortmund,1,1,0,0,1,0,3,2.38,2.38,1.24,1.24,1.15,9.1,9.0,8,2,2.27
8,Werder Bremen,1,0,1,0,2,2,1,1.04,1.04,0.9500000000000001,0.9500000000000001,0.09,8.97,4.32,9,6,1.45
9,Wolfsburg,1,0,1,0,2,2,1,0.9500000000000001,0.9500000000000001,1.04,1.04,-0.09,4.32,8.97,6,9,1.21
10,VfB Stuttgart,1,0,1,0,1,1,1,0.5700000000000001,0.5700000000000001,2.13,2.13,-1.57,14.0,5.39,8,14,0.34
11,RasenBallsport Leipzig,1,0,1,0,1,1,1,2.13,2.13,0.5700000000000001,0.5700000000000001,1.57,5.39,14.0,14,8,2.5
12,Bayer Leverkusen,1,0,0,1,0,1,0,1.24,1.24,2.38,2.38,-1.15,9.0,9.1,2,8,0.52
13,Bochum,1,0,0,1,1,2,0,0.8200000000000001,0.8200000000000001,1.5899999999999999,1.5899999999999999,-0.78,6.84,16.62,3,3,0.75
14,Hoffenheim,1,0,0,1,1,3,0,0.12,0.12,2.07,2.07,-1.96,18.8,9.96,3,21,0.14
15,Hertha Berlin,1,0,0,1,1,3,0,0.35000000000000003,0.35000000000000003,1.18,1.18,-0.8300000000000001,15.83,5.97,1,10,0.61
16,Schalke 04,1,0,0,1,1,3,0,0.23,0.23,4.42,4.42,-4.19,21.67,4.33,2,11,0.01
17,Augsburg,1,0,0,1,0,4,0,0.59,0.59,1.54,1.54,-0.96,6.67,9.92,6,6,0.62
18,Eintracht Frankfurt,1,0,0,1,1,6,0,0.76,0.76,4.5600000000000005,4.5600000000000005,-3.8,31.85,8.17,3,12,0.03
