,Unnamed: 0.1,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,0,831,Richard Dunne,42, D(C),188,89,2,180,0,0,0,0,0.0,85.1,3.0,0,7.61,2,0.0
1,1,1,14167,Carlos Tevez,38," AM(CL),FW",173,75,32(3),2871,23,7,6,0,3.6,81.7,0.1,6,7.57,32,3.0
2,2,2,188,Gareth Barry,41, M(C),185,87,34,2996,2,7,4,0,0.9,77.5,1.5,1,7.41,34,0.0
3,3,3,6363,Emmanuel Adebayor,38, FW,191,82,25(1),2212,14,3,1,0,2.2,78.2,1.8,3,7.37,25,1.0
4,4,4,3817,Kolo Touré,41, D(C),183,74,31,2711,1,0,1,0,0.4,79.1,2.0,1,7.29,31,0.0
5,5,5,10136,Vincent Kompany,36, D(C),193,85,21(4),1913,2,1,2,0,0.4,81.1,2.2,2,7.26,21,4.0
6,6,6,14269,Adam Johnson,35, M(CLR),175,63,14(2),1180,1,5,1,0,1.1,80.4,0.1,0,7.23,14,2.0
7,7,7,1982,Craig Bellamy,43, AM(R),175,68,26(6),2379,10,8,3,1,1.8,80.8,0.1,2,7.2,26,6.0
8,8,8,14244,Pablo Zabaleta,37," D(R),DMC,M(R)",176,74,23(4),2102,0,1,8,1,0.4,75.7,1.2,1,7.13,23,4.0
9,9,9,31212,Marton Fülöp,39, GK,196,92,3,270,0,0,0,0,0.0,35.4,0.0,0,7.04,3,0.0
10,10,10,341,Patrick Vieira,46," D(C),DMC",192,82,8(5),815,1,1,2,0,0.5,77.4,1.1,0,7.03,8,5.0
11,11,11,8137,Joleon Lescott,40, D(CL),190,89,17(1),1565,1,1,1,0,0.4,73.2,2.2,0,7.02,17,1.0
12,12,12,836,Wayne Bridge,42, D(L),178,69,23,1897,0,0,2,0,0.7,73.6,1.0,0,7.01,23,0.0
13,13,13,14168,Micah Richards,34, D(CR),180,83,19(4),1647,3,1,2,0,0.8,76.5,2.7,0,7.01,19,4.0
14,14,14,2703,Shaun Wright-Phillips,40, M(LR),168,64,19(11),1748,4,7,2,0,1.3,72.1,0.2,1,7.0,19,11.0
15,15,15,4608,Nigel de Jong,37, M(C),174,72,30(4),2631,0,0,7,0,0.4,84.9,0.4,0,6.98,30,4.0
16,16,16,3987,Benjani,44, FW,188,78,1(1),126,0,1,0,0,1.0,71.9,1.5,0,6.89,1,1.0
17,17,17,6210,Javier Garrido,37, D(CL),180,76,7(2),634,1,0,1,0,0.4,82.3,0.4,0,6.88,7,2.0
18,18,18,14169,Stephen Ireland,36, M(C),173,67,16(6),1453,2,2,0,0,0.7,76.0,0.2,0,6.81,16,6.0
19,19,19,2910,Martin Petrov,43," M(CL),FW",180,77,8(8),724,4,3,0,0,1.8,81.1,0.0,0,6.79,8,8.0
20,20,20,11669,Nedum Onuoha,35, D(CR),183,94,5(5),571,1,1,0,0,0.4,71.8,0.3,0,6.73,5,5.0
21,21,21,1034,Shay Given,46, GK,185,84,35,3136,0,0,2,0,0.0,43.2,0.1,2,6.68,35,0.0
22,22,22,14247,Robinho,38," AM(CLR),FW",172,60,6(4),542,0,3,0,0,2.3,81.4,0.0,0,6.68,6,4.0
23,23,23,130,Sylvinho,48, D(C),173,66,6(3),484,0,0,2,0,0.6,82.4,0.3,0,6.53,6,3.0
24,24,24,954,Roque Santa Cruz,41, FW,191,93,6(13),636,3,0,1,0,1.0,70.5,1.9,2,6.51,6,13.0
25,25,25,43073,Gunnar Nielsen,35, GK,191,85,0(1),14,0,0,0,0,0.0,22.2,0.0,0,6.42,0,1.0
26,26,26,83032,Dedryck Boyata,31, D(C),188,84,1(2),124,0,0,1,0,0.0,71.8,0.3,0,6.33,1,2.0
27,27,27,83211,Abdisalam Abdulkadir Ibrahim,31, M(C),185,71,0(1),14,0,0,0,0,1.0,66.7,0.0,0,6.16,0,1.0
28,28,28,85465,Alex Nimely,31, Forward,180,74,0(1),7,0,0,0,0,1.0,100.0,0.0,0,6.07,0,1.0
29,29,29,83394,Greg Cunningham,31," D(CL),M(L)",183,77,0(2),2,0,0,0,0,0.0,100.0,0.0,0,6.0,0,2.0
30,30,30,22606,Michael Johnson,34, Midfielder,183,80,0(1),1,0,0,0,0,0.0,66.7,0.0,0,5.99,0,1.0
