,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Paris Saint Germain,1,1,0,0,5,0,3,4.12,4.12,0.19,0.19,3.92,10.72,18.2,12,4,2.9699999999999998
2,Lille,1,1,0,0,4,1,3,1.3,1.3,0.77,0.77,0.53,14.17,23.69,15,7,1.78
3,Marseille,1,1,0,0,4,1,3,2.77,2.77,0.68,0.68,2.09,6.96,15.4,7,8,2.74
4,Montpellier,1,1,0,0,3,2,3,1.58,1.58,1.8399999999999999,1.08,0.49,9.87,14.44,6,2,1.1400000000000001
5,Monaco,1,1,0,0,2,1,3,2.48,2.48,1.3900000000000001,1.3900000000000001,1.09,11.04,7.36,7,8,2.13
6,Lyon,1,1,0,0,2,1,3,1.8599999999999999,1.1,1.1400000000000001,0.38,0.72,10.69,13.84,5,3,2.0
7,Lorient,1,1,0,0,1,0,3,0.71,0.71,1.4,1.4,-0.7000000000000001,23.19,7.43,3,14,0.8
8,Lens,1,1,0,0,3,2,3,3.32,2.56,1.04,0.28,2.27,5.92,18.71,7,4,2.74
9,Angers,1,0,1,0,0,0,1,1.92,1.92,1.15,1.15,0.77,7.63,7.67,11,3,1.9500000000000002
10,Nantes,1,0,1,0,0,0,1,1.15,1.15,1.92,1.92,-0.77,7.67,7.63,3,11,0.8200000000000001
11,Nice,1,0,1,0,1,1,1,0.7000000000000001,0.7000000000000001,1.85,1.85,-1.16,14.16,9.06,4,7,0.39
12,Toulouse,1,0,1,0,1,1,1,1.85,1.85,0.7000000000000001,0.7000000000000001,1.16,9.06,14.16,7,4,2.42
13,Rennes,1,0,0,1,0,1,0,1.4,1.4,0.71,0.71,0.7000000000000001,7.43,23.19,14,3,1.9100000000000001
14,Troyes,1,0,0,1,2,3,0,1.8399999999999999,1.08,1.58,1.58,-0.49,14.44,9.87,2,6,1.58
15,Strasbourg,1,0,0,1,1,2,0,1.3900000000000001,1.3900000000000001,2.48,2.48,-1.09,7.36,11.04,8,7,0.67
16,Brest,1,0,0,1,2,3,0,1.04,0.28,3.32,2.56,-2.27,18.71,5.92,4,7,0.17
17,Ajaccio,1,0,0,1,1,2,0,1.1400000000000001,0.38,1.8599999999999999,1.1,-0.72,13.84,10.69,3,5,0.72
18,Reims,1,0,0,1,1,4,0,0.68,0.68,2.77,2.77,-2.09,15.4,6.96,8,7,0.17
19,Auxerre,1,0,0,1,1,4,0,0.77,0.77,1.3,1.3,-0.53,23.69,14.17,7,15,0.92
20,Clermont Foot,1,0,0,1,0,5,0,0.19,0.19,4.12,4.12,-3.92,18.2,10.72,4,12,0.02
