,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
1,Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bologna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Sampdoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Inter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Empoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,AC Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Lecce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Spezia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Salernitana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Monza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Cremonese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
